disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,State / regional,No lower level of government,438.23,21-30%,3774179,2025,3448826,2050,JPY Japanese yen,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,State / regional,No lower level of government,26.68,31-40%,237278,2024,289796,2041,AUD Australian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,1645,31-40%,5800000,2022,9000000,2040,ZAR South African Rand,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,630.0,31-40%,3025647,2022,3299000.0,2041,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31146,Addis Ababa City Administration,City,UKWW,Ethiopia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,527,51-60%,5800000,2024,7300000,2030,ETB Ethiopian Birr,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,39,11-20%,643452.0,2021,718928.0,2030,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Other: District,1568.737,<5%,5455020,2024,8457222.0,2030,THB Baht,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,891.0,31-40%,3755251.0,2022,3925000.0,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,1636,51-60%,7918660,2024,7112442,2050,COP Colombian Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Other: Comunas,202.0,11-20%,3121707,2022,3124645,2030,ARS Argentine Peso,CRF Complete level
