disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,49327,"City of Providence, RI",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,47.7,11-20%,190934,2020,201344,2040,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Independent city / municipality,State / regional,No lower level of government,815.0,41-50%,516032,2024,554200.0,2040,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Consolidated city-county,State / regional,County / Province,986.27,<5%,793881,2024,,,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,49334,"City of Richmond, VA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,County / Province,162.05,5-10%,230787,2025,270425,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Consolidated city-county,State / regional,Sub-municipal district,1367.0,51-60%,715884.0,2020,861817.0,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,49342,"City of Rochester, NY",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,59.77,21-30%,207282,2024,202253.0,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,49345,"City of Birmingham, AL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,387,11-20%,200500,2020,196357,2026,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,49346,"City of Allentown, PA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,45.3,21-30%,127138,2024,133269,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,49347,"City of Omaha, NE",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,635.5,11-20%,582638,2022,736658.0,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,6298.0,61-70%,3597000.0,2020,5450000.0,2050,ZAR South African Rand,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,49367,Freetown City,City,UKWW,Sierra Leone,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Local government area within a greater metropolitan area,City / Municipality,83,21-30%,8461000,2023,10140000,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,49385,Bandung City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Federal district,166.59,11-20%,2591763,2024,2627860,2029,IDR Rupiah,CRF Complete level
2025 Disclosure Cycle,779465,CDP,49389,Kyoto City,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,827.83,71-80%,1437377,2024,1240645,2050,JPY Japanese yen,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,246,51-60%,206073,2024,216000,2029,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,City / Municipality,6.819,11-20%,2130432.0,2021,2694407.0,2050,TRY New Turkish Lira,
2025 Disclosure Cycle,779465,CDP,50235,City of Kraków,City,Europe,Poland,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,327.0,51-60%,809168,2024,771934.0,2050,PLN Zloty,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50355,Ayuntamiento de Tijuana,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,1239.49,<5%,1922523,2020,2663508,2040,MXN Mexican Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50357,Ciudad de Mendoza,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,106,61-70%,127160,2022,148387.0,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,State / regional,City / Municipality,16926,61-70%,936263.0,2020,1034738.0,2030,MXN Mexican Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50368,Municipalidad de Provincial de Arequipa,City,Latin America,Peru,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,City/Municipality,Local government area within a greater metropolitan area,7.8,5-10%,55437,2017,54400,2030,PEN Nuevo Sol,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50369,Ayuntamiento de San Luis Potosí,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Other: Delegaciones,1471,I do not have this data,911908,2020,1097107,2026,MXN Mexican Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50371,Municipalidad de Córdoba,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,576,51-60%,1565250,2022,1640600,2026,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Independent city / municipality,City / Municipality,178.69,81-90%,1009037,2023,1006671,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50374,Alcaldia Distrital de Cartagena de Indias,City,Latin America,Colombia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,609.1,81-90%,1052015,2023,998638,2033,COP Colombian Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50375,Ayuntamiento de Chihuahua,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Town,9219,91-100%,937674,2020,1299000,2026,MXN Mexican Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50381,Municipio de Torreón,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,1282.7,41-50%,720848,2020,815533,2030,MXN Mexican Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50382,Municipio de Mérida,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,865.71,51-60%,995129,2020,1112861,2030,MXN Mexican Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50383,Prefeitura de Sorocaba,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,449.872,11-20%,757459,2024,865600,2030,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50384,Prefeitura de Florianópolis,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,674.844,31-40%,537213.0,2022,876000.0,2050,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50385,Prefeitura de Campo Grande,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Consolidated city-county,8083.97,11-20%,898100,2022,1035678,2030,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,1392,31-40%,866300,2022,887775,2030,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50394,Prefeitura Municipal de João Pessoa,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,210.044,31-40%,833932.0,2022,1355329.0,2050,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50396,Prefeitura Municipal de Santos,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,No lower level of government,281.03,61-70%,418608.0,2022,441783.0,2050,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50397,Presidencia Municipal de Saltillo,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,6837,5-10%,879958,2020,1141072,2030,MXN Mexican Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50401,"City of Madison, WI",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,267.12,41-50%,272903.0,2022,319210.0,2040,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,490.9,21-30%,560274,2023,681386,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,50541,"City of Greensboro, NC",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,362.37,11-20%,307381,2024,331240.0,2040,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50545,"City of Henderson, NV",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,315.071,11-20%,359059,2025,390000.0,2036,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,50550,"City of Buffalo, NY",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,104.6355,21-30%,278349,2020,274310,2026,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,50551,"City of Long Beach, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,131.3382,5-10%,451347,2022,480424,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Independent city / municipality,1128.4,21-30%,569355.0,2021,820000.0,2050,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50558,"City of London, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,420.6,61-70%,452000,2023,520000.0,2030,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50559,"City of St Catharines, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,99.5,11-20%,144829,2022,150903.0,2030,CAD Canadian Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50562,"City of Chula Vista, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,134.0,21-30%,274449.0,2021,285194.0,2035,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50565,"City of Toledo, OH",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,217,5-10%,265638,2024,213946,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,50566,"City of Anchorage, AK",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,4415.1,,290761,2024,281302,2035,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,50568,"City of Saskatoon, SK",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,236.34,5-10%,316342,2025,502400.0,2050,CAD Canadian Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50569,"City of Stockton, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,161.12,I do not have this data,319543,2023,325000,2026,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,50572,"City of Saint Paul, MN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,134.63,61-70%,310992,2022,313900,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50577,"City of Wichita, KS",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,426.66,<5%,400991,2024,429380,2035,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,50578,"City of Windsor, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,146.3,51-60%,229660.0,2021,306482.0,2050,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50579,"City of Winnipeg, MB",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,464.33,21-30%,749607.0,2021,1067825.0,2050,CAD Canadian Dollar,
2025 Disclosure Cycle,779465,CDP,50650,City of Gibraltar,City,Europe,Gibraltar,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Sovereign city-state,No higher level of government,No lower level of government,6.8,31-40%,38659,2022,33914.0,2030,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50664,Municipality of Almada,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,70.21,,181232,2023,190743,2050,EUR Euro,
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,Other: Parish/ Freguesia,62.42,31-40%,179558,2023,163154.0,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50673,Municipality of Faro,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,201.6,21-30%,67859,2021,68500.0,,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50674,Municipality of Viseu,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Other: Freguesias,507.1,61-70%,100105,2023,79676.0,2050,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Other: O município de Évora é constituído por 12 Freguesias.,1307.08,41-50%,53591.0,2021,50918.0,2027,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,97.0,41-50%,216000.0,2021,220000.0,2030,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,51075,City of Shenzhen,City,China,China,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,1997.47,41-50%,17989500,2024,19000000,2035,CNY Yuan Renminbi,
2025 Disclosure Cycle,779465,CDP,51374,Prefeitura de Rio Branco,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,8.8348,11-20%,365756,2022,389,2026,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,52638,Prefeitura de Aracaju,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,182.163,21-30%,630932,2025,,,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,52896,"City of Fort Lauderdale, FL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,89.58,21-30%,186076,2021,247613.0,2045,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,9.47,61-70%,6556,2024,7581.0,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,451.9,21-30%,132485.0,2021,145900.0,2040,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,103.1,<5%,190114,2024,253489,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,53931,"City of Alexandria, VA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,39.63,5-10%,159467.0,2020,204755.0,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,53937,"City of Naperville, IL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,103.64,41-50%,150245,2023,157642.0,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,53959,"City of Fayetteville, AR",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,140.22,61-70%,102805,2024,217638,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,54026,"City of Tacoma, WA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,128.79,21-30%,221776,2022,338277.0,2040,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54027,"City of St. John's, NL",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,446.04,81-90%,110525.0,2021,249924,2036,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,City / Municipality,180.1,21-30%,230900,2022,256057,2046,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54030,"City of Little Rock, AR",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,318.6,51-60%,202864.0,2022,209792.0,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,54034,"City of Grand Rapids, MI",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,117.25,41-50%,198917,2020,203529,2027,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54040,"City of Regina, SK",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Independent province,No lower level of government,182.42,11-20%,255395,2024,382532.0,2050,CAD Canadian Dollar,
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Town,255.6,31-40%,190740,2020,207907,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54060,"City of Greater Sudbury / Grand Sudbury, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,3627,71-80%,186337,2024,188510,2050,CAD Canadian Dollar,
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,148.0,41-50%,176414,2024,189915,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54075,"City of Lakewood, CO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,115.6,51-60%,156865,2024,161622.0,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54080,"City of Sunnyvale, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,58.8,<5%,156792,2024,174700,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,54084,"City of Guelph, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,87.2,21-30%,148200,2023,208000,2050,CAD Canadian Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54088,"City of Peterborough, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,53.81,31-40%,85000,2021,125000.0,2050,CAD Canadian Dollar,
2025 Disclosure Cycle,779465,CDP,54092,"City of Ann Arbor, MI",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,75.34,21-30%,119380,2023,132325.0,2045,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54096,"City of Saint John, NB",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Consolidated city-county,315.5,5-10%,73611,2022,77500,2031,CAD Canadian Dollar,
2025 Disclosure Cycle,779465,CDP,54098,"City of Thunder Bay, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,328.36,51-60%,108843.0,2021,124000.0,2050,CAD Canadian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54100,"City of Columbia, MO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,163.38,21-30%,128464.0,2020,132399.0,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54102,"City of Albany, NY",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,21.8,21-30%,99224.0,2020,99040.0,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54104,"City of Boulder, CO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,70.89,61-70%,108150,2024,147400,2040,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54105,"City of Duluth, MN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,226.44,21-30%,86619,2022,87203,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,54109,"City of Bloomington, IN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,60.6834,31-40%,78840,2023,94878.0,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54110,"City of Santa Monica, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,21.7973,21-30%,90729,2024,103700.0,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54111,"City of Iowa City, IA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,67.83,5-10%,75678,2023,85068,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54113,"City of Flagstaff, AZ",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,171.0,21-30%,77539,2024,89956,2045,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54114,"City of Asheville, NC",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,City / Municipality,119.0,<5%,94992,2024,99631.0,2042,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,54116,"City of Dubuque, IA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,80.86,61-70%,58877,2023,61000.0,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54119,"City of Palo Alto, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,41.6015,I do not have this data,67901,2023,72284,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54124,"City of Fremont, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,88.46,41-50%,226208,2023,256000,2035,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54125,"City of Boise, ID",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,221.4,31-40%,237963,2024,353534.0,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,54128,"City of Reno, NV",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,288.98,11-20%,281714,2024,285000.0,,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,54144,City of Yarra,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,19.5,11-20%,96990,2024,136983,2046,AUD Australian Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,54253,Wollongong City Council,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,684.4,61-70%,219141,2023,239125,2031,AUD Australian Dollar,CRF Complete level
