disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Does your jurisdiction have a consumption-based emissions inventory?,"col2_Attach your consumption-based inventory, along with any supporting documents","col3_Provide an overview of your consumption-based inventory, including URL links, if applicable, along with any supporting methods/calculations"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",2023 11 Kbh forbrugsbaseree udledninger og forudsætninger for mål.pdf,"A consumption-based emissions inventory was developed for Copenhagen to assist in the development of goals and sub-goals for the coming Climate Strategy 2035, and in the identification of consumption hotspots to be addressed by actions in the first Climate Action Plan. This covered the period 2010 to 2021 and was derived from top-down, input-output methods. Private households' consumption footprint was estimated specifically for Copenhagen residents, while the climate footprints of capital investments and public consumption were scaled down (based on Copenhagen's share of residents in Denmark) from the national consumption-based inventory prepared annually by the Danish Energy Agency. \n\nIn 2019, the average Copenhagen resident emitted approximately 10 tons CO2-e annually from a consumption-based perspective, distributed as follows: Newbuild and construction (buildings and other infrastructure) 14%, Housing (primarily energy consumption) 9%, Food and beverages 19%, Mobility/transportation 11%, Consumer goods 8%, Leisure and travels ,7%, Other private consumption 4%, Other capital investments 13%, Public consumption 15%. For further details see the technical note for the City's Technical and Environmental Committee on Copenhagen's consumption-based emissions (in Danish): www.kk.dk/sites/default/files/agenda/0beb135a-b4ee-4384-891a-fb94ab2e4b5a/2f3287f6-6ce2-4ed1-8e7f-9a7e41b83949-bilag-6_0.pdf\n\nThe strategy includes a goal of halving consumption-based emissions per citizen by 2035, compared to baseline year 2019. The strategy is expected to be finally adopted politically in autumn 2025 following a public hearing phase completed in summer 2025. Methods for developing an improved consumption-based emissions inventory are currently under development. This inventory will, as far as possible, use Copenhagen-specific data, such that it is responsive over for changes resulting from initiatives included in consecutive climate action plans."
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, but intending to develop and report a consumption-based emissions inventory in the next 2 years",,
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",,"Glasgow's Net Zero Route Map (published November 2024) includes consumption-based emissions in multiple categories including: \n• Energy e.g. jurisdiction (local authority) level gas and electricity consumption\n• Transport e.g. passenger consumption of fuel when travelling by train\n• Waste e.g. household and business waste\n\nGCC are currently working with the Scottish Climate Intelligence Service (SCIS) to further enhance and refine Glasgow's Net Zero Route Map, looking at areas such as adaptation, waste, and co-benefits.\n\nGlasgow's Net Zero Route Map: https://app.climateview.global/v4/public/board/3e7cb896-9a30-4aad-9590-aab0349ac538"
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, but development of a consumption-based emissions inventory is in progress and will be reported next year",,
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",,"Municipal Consumption Emissions:\nCity of Melbourne does not currently maintain an inventory of jurisdiction-wide emissions, however, consumption-based emissions were calculated and published in the Climate Change Mitigation Strategy to 2050 as additional to the BASIC method that is more accurate for the purpose of tracking emission reductions due to the availability of data. The City of Melbourne's consumption-based emissions for the calendar year 2011 were 3,114,928 tonnes CO2-e which was 28.19 tonnes CO2-e per person. The Climate Change Mitigation Strategy includes actions to reduce consumption based emissions by adopting circular economy principles to reduce the environmental impact and embodied emissions from products, materials and buildings across the city through procurement, urban design and planning and waste avoidance.\n\nCorporate Consumption Emissions:\nThe City of Melbourne commits a significant budget to capital or infrastructure works every year. We are committed through our five-year Emissions Reduction Plan (ERP) 2021-26, the City to better understanding the embodied emissions in our infrastructure projects and assessing alternative materials which might reduce these emissions. Of the eight priorities in the ERP, number three is 'Measure and minimise embodied carbon in design and construction' Actions over the next five years:1. Prioritise low emissions criteria for new buildings.2. Minimise embodied emissions and maximise circular design principles in design and construction.3. Leverage contracting to deliver optimal low carbon outcomes. \n\nThe City's Sustainable Assets Policy, including design specifications, implementation tool and accompanying technical guidance is currently still in development. When complete, it will ensure all assets are built with future climate scenarios in mind as well as meeting a host of new minimum environmental performance standards.\n"
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, but intending to develop and report a consumption-based emissions inventory in the next 2 years",,
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",,"The result of consumption-based emissions preliminary calculation is disclosed. \n消費ベース排出量の試算結果を公表している。\n\nAccording to the preliminary calculation by the Tokyo Metropolitan Government, consumption-based GHG emissions associated with final demand in Tokyo are approximately 214 million t-CO2.CO2 emissions from land use change, ocean transport and international air transport are not included.Household consumption expenditure 52%Non-household consumption expenditure 5%Government consumption expenditure and gross fixed capital formation by public sectors 17%Gross fixed capital formation by private sectors 25%Others 1%\n東京都内最終需要に係る消費ベースGHG 排出量は 約 214百万t-CO2※東京都による試算。※土地利用変化 CO2 や外洋輸送・国際航空輸送に係る CO2 は計上していない。"
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services","3-2-2_CarbonFootprintReport_Intercontinental0606.pdf,3-2-2_InterConStatement.pdf,3-2-3_AccommodationService.pdf,3-2-3_SimaProFactors.xlsx","The \'Carbon Footprint Inventory Report for Accommodation Service (per room per day) (Deluxe Classic Room - King Bed 10 pings)\' of InterContinental Kaohsiung Hotel is based on the requirements of the ISO 14067:2018 standard and “the Key Points for Promoting Product Carbon Footprint Management” by Taiwan's Environmental Protection Administration of the Executive Yuan(current name: Ministry of Environment) as per Attachment 3-2-3_AccommodationService. The hotel commissioned Afnor International Co., Ltd. to conduct external verification of the carbon footprint report. On-site verifications were carried out on May 21-24, 2024, and June 6-7, 2024, to confirm that the carbon footprint data complies with the Guidelines for Calculating the Carbon Footprint of Products and Services.\nThe inventory data is in Attachment 3-2-3_InterconinventoryS2. This inventory uses the life cycle assessment tool “SimaPro v9.4.0.2,” with the database “Ecoinvent 3” (in Attachment 3-2-3_SimaProFactors). The life cycle impact assessment methodology follows the IPCC 2021 GWP 100a (incl. CO2 uptake) v1.00 greenhouse gas emission evaluation method, calculating the carbon dioxide equivalent from raw material extraction to the waste stage (cradle to grave, B-2-C). For this service, InterContinental Kaohsiung Hotel provides the \'Deluxe Classic Room - King Bed (10 pings) per room per day\' accommodation service, and all greenhouse gas emissions are fully included in the calculation without excluding any items.\nHowever, the inventory belongs to the InterContinental Kaohsiung Hotel and hence is confidential, we cannot upload the inventory. The attachments include all supporting methods, carbon footprint report and 3rd party verification statements."
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, and we are not intending to develop and report one in the next 2 years due to a reason not listed above: 国全体の算定方法がなく、また、統計の不足などから市独自で算定するためのデータを取得することが困難なため",,
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",FINAL - Urban Consumption Emissions Report - 190924.pdf,"The City of Sydney completed the first assessment of urban consumption emissions for its area in August 2024. The result is approximately 18 million tonnes C02e which includes the full boundary based emissions as well as other cosumption based emissions including food, aviation, construction, infrastructure, purchased goods and services.. The report has been uploaded for CDP however it is not public and is not to be distributed by CDP or any of its project partners."
