disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Global initiative/convention,col2_Please describe your region's involvement
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: Acordo de Paris,"As metas assumidas pelo estado de Mato Grosso em sua Estratégia PCI, lançada em Paris, demonstram como o estado apoia os Acordos do Clima, bem como o cumprimento da NDC brasileira ao Acordo de Paris."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Rio Branco Declaration,"Comprometeu-se com a meta de redução de 80% do desmatamento, bem como de zerar o desmatamento ilegal até 2020."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,Governors' Climate and Forests (GCF) Task Force,"A Força-Tarefa GCF foi criada para responder aos problemas fundamentais de desmatamento tropical e mudança climática - e as complexidades correspondentes de perturbação ecológica, perda de biodiversidade, insegurança alimentar, energética e hídrica e pobreza rural. O GCF é uma colaboração subnacional única entre 38 estados e províncias do Brasil, Indonésia, México, Perú, Colômbia, Equador, Espanha, Nigéria, Costa do Marfim e dos Estados Unidos, focada no desenvolvimento de regras e capacidades necessárias para implementar o mecanismo de Redução de Emissões por Desmatamento e Degradação Florestal (REDD), objetivando a conservação das florestas e proteção do clima. O GCF foi instituído em novembro de 2008 por meio de Memorandos de Entendimento (MOU) assinados na Cúpula dos primeiros governadores sobre o Clima Global, em Los Angeles, com o objetivo de compartilhar experiências e melhores práticas, capacitação e elaboração de recomendações para os gestores políticos e as autoridades reguladoras, visando formas de integrar ações de REDD+ e outras atividades florestais aos sistemas de conformidade para a redução de emissões de gases de efeito estufa (GEE)."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,6,Row 6,Other: Race to Zero,"O Decreto n. 1.160/2021 dispõe, entre outros, sobre a adesão do estado de Mato Grosso à campanha Race to Zero no âmbito da Convenção-Quadro das Nações Unidas sobre Mudança do Clima, objetivando à redução de emissões de gases de efeito estufa e à resiliência climática, com metas de redução de emissões de gases de efeito estufa em 80% até 2030, em comparação com a linha de base estabelecida no relatório final do Projeto Trajetórias de Descarbonização, e a neutralização de emissões líquidas do estado até 2035."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,7,Row 7,Other: Convenção do Clima,"O estado trabalha fortemente para combater o desmatamento e reduzir suas emissões de GEE, o que pode ser comprovado pelas diversas políticas e iniciativas em execução, tais como Política de Mudanças Climáticas, Política de REDD+, Política Florestal, Política de Regularização ambiental, Programa REM, Projeto Trajetórias de Descarbonização, entre outros."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,8,Row 8,LEAF Coalition,"O estado de Mato Grosso se prepara para atender aos requerimentos do Padrão de Excelência para REDD+ - TREES e poder negociar reduções de emissões de GEE com a Coalizão LEAF. Para esse fim, conta com o apoio do GCF-TF, da Embaixada do Reino Unido e das instituições parceiras que apoiam o estado por meio do Fórum Mato-grossense de Mudanças Climáticas."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,9,Row 9,Other: Race to Zero,"Race to Zero: após estabelecer as metas da PCI e sua trajetória de descarbonização, o estado de Mato Grosso emitiu decreto n. 1.160/2021, no qual, entre outros, afirma submeter à Coalizão Under 2 candidatura à campanha \'Race to Zero\' no âmbito da Convenção-Quadro das Nações Unidas sobre Mudança do Clima, objetivando à redução de emissões de gases de efeito estufa e à resiliência climática, conforme detalhado nos sítios eletrônicos https://unfccc.int/climate-action/race-to-zero-campaign e https://racetozero.unfccc.int/race-to-resilience/"
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Reserva Mundial da Biosfera,"A Reserva Mundial da Biosfera é um estatuto atribuído pelo Programa Homem e Biosfera da UNESCO a certas áreas protegidas. Esse estatuto é concedido a áreas protegidas que cobrem porções de ecossistemas terrestres ou costeiros e que cumprem certos requisitos, como buscar meios de conciliar a conservação e o seu uso sustentável dos elementos da biosfera, particularmente a diversidade biológica. Em Pernambuco, a Reserva da Biosfera da Mata Atlântica se localiza nos municípios litorâneos, tendo como limites os Estados de Alagoas, ao sul; e da Paraíba, ao norte (estuário do Rio Goiana), estendendo se pela região da Zona da Mata (Norte e Sul). É nessa região onde se encontra a maior porção contínua da Mata Atlântica no Estado, compreendendo a floresta ombrófila densa (mata úmida), a floresta semidecidual (mata seca) e os ecossistemas associados manguezais, restingas, dunas, praias e arrecifes. De forma descontínua, encontram se alguns remanescentes de ecossistemas associados, como os brejos de altitude, situados no agreste e no sertão, e as ilhas continentais (Itamaracá e Santo Aleixo) e oceânicas (Arquipélago de Fernando de Noronha). O zoneamento da RBMA - PE foi realizado em 1992, possuindo as seguintes características: Zonas Núcleo - são áreas protegidas por legislação específica. Seus limites coincidem com as áreas protegidas por lei, abrangendo um total de 40 reservas ecológicas estaduais, somados às porções de 13 zonas estuarinas, além de porções da Área de Proteção Ambiental de Guadalupe (APA de Guadalupe), duas áreas protegidas por lei municipal e de 6 unidades de conservação federais, das quais 5 são de uso indireto. Zonas de Amortecimento Zonas de Transição A RBMA é coordenada pelo Comitê Estadual da Reserva da Biosfera da Mata Atlântica - Cerbma. O Comitê foi criado pelo Governo de Pernambuco, em 22 de setembro de 1998, através do Decreto Estadual nº 20.860. O Cerbma PE é um órgão colegiado - composto de doze membros, sendo seis representantes de organizações governamentais e seis representantes da sociedade civil - vinculado ao Conselho Nacional da Reserva Biosfera da Mata Atlântica, que possui os seguintes objetivos: (1) Promover a conservação da biodiversidade. (2) Desenvolvimento sustentável. (3) Conhecimento científico. Para a implementação das suas atribuições, o Comitê Estadual da RBMA deverá seguir as seguintes estratégias: a) promover a integração de municípios, comunidades locais, ONGs, centros de pesquisa e iniciativa privada nas ações de implementação da RBMA; b) otimizar a operacionalização entre os diferentes órgãos ligados direta ou indiretamente à questão da RBMA no Estado, colaborando para a integração de suas políticas e ações técnicas; c) buscar cooperação com outros Comitês Estaduais, bem como instituições em âmbito estadual e nacional. O Estado de Pernambuco também integra a reserva da Biosfera da Caatinga. A RB da Caatinga, criada em 2001, envolvendo 10 estados, abrange uma área de 189.990 km2. Suas prioridades, além da conservação da rica biodiversidade regional, são o combate à desertificação, a promoção de atividades sustentáveis (apicultura, turismo, artesanato, etc.), o estudo e a divulgação de dados sobre esses importantes ecossistemas. A Reserva da Biosfera da Caatinga - RBCAAT, aprovada pela UNESCO em 2001, é regida pelo Conselho Nacional da Reserva da Biosfera da Caatinga. Esse Conselho, paritário, possui 15 membros representantes da esfera governamental (4 do governo federal, 10 dos órgãos ambientais de cada um dos governos estaduais abrangidos pela Reserva e 1 representante dos municípios) e 15 representantes da sociedade civil (comunidade científica, moradores, empresários e organizações não governamentais)."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,RegionsWithNature,São Paulo é membro fundador da rede.
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Cities4Forests,Os municípios de São Paulo e Campinas e contam com o apoio da SEMIL.
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Governors' Climate and Forests (GCF) Task Force,"Apesar de não ser membro da rede, a SEMIL presta apoio por meio da Coordenação da CTBIO-ABEMA, Coordenação da Câmara Técnica de Biodiversidade e CTClima-ABEMA, da Associação Brasileira de Entidades Estaduais de Meio Ambiente."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Nature4Climate,Municípios da região do Pontal do Paranapanema são membros da rede e a SEMIL presta assistência.
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Rio Branco Declaration,"O Tocantins atua fortemente na Força Tarefa dos Governadores para o Clima e Florestas (GCF Task Force), a qual busca a implementação efetiva da Declaração de Rio Branco.A Força Tarefa tem buscado incessantemente fundos e recursos para financiar projetos para as jurisdições membro. Um exemplo disso é a Janela A de financiamento do PNUD, a qual o Tocantins tem um projeto aprovado, o Campo Sustentável.O principal objetivo do projeto é reduzir o desmatamento em terras privadas no Tocantins, focando na conversão causada pela expansão da produção agrícola e pecuária, que constitui o principal vetor do desmatamento no Estado.O projeto tem ambição estruturante. Trabalhando com recursos limitados, atua em uma área significativa de 50 hectares e com 2 a 3 modelos produtivos integrados distintos, que serão monitorados por programa MRV específico ao projeto. Os resultados do projeto irão informar Planos deNegócios atrativos para produtores rurais da região e irão embasar o desenvolvimento de uma Estratégia de Investimento para transição agroecológica e redução do desmatamento no Estado, dando segurança aos investidores potenciais.Em resumo, o projeto estará estruturado em 4 eixos:Eixo 1: Assistência técnica continuada aos agricultores selecionadas pelo Programa “Campo Sustentável”voltada à implementação de módulos demonstrativos de integração lavoura, pecuária e floresta, em um total de 50 hectares.Eixo 2: Construção de plataforma de MRV para o Programa Campo Sustentável, incluindo monitoramento das propriedades no que se refere à manutenção de vegetação nativa, redução do desmatamento, aumento de produtividade e rastreabilidade da produção.Eixo 3: Desenvolvimento de Estratégia de Investimento para transição agroecológica e redução do desmatamento no Estado do Tocantins,visando a expansão do Programa Campo Sustentável para outras propriedades no Estado.Eixo 4: Prospecção de novos investimentos e fundraising: Elaboração de material de comunicação e prospecção de investimentos adicionais para o Estado do Tocantins, voltados a redução do desmatamento através da intensificação da produção pecuária. Neste eixo, estão previstos participaçãoem eventos e fóruns estratégicos, apresentação para investidores nacionais e internacionais e interlocução com empresas do setor, como traders e frigoríficos."
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Under 2 MoU,"Para a construção do Anexo do Tocantins para o Under 2 MOU, foram realizadas consultas públicas e workshops sobre Mudanças Climáticas, em 5 regionais estaduais (nos municípios de Gurupi, Dianópolis, Araguaína, Araguatins e Palmas), abrangendo os 139 municípios, promovendo o envolvimento dos participantes nas discussões para determinar as ações e metas estaduais. Os eventos contaram com a participação dos mais diversos interessados na questão das Mudanças Climáticas, sendo eles representantes de instituições públicas municipais, estaduais e federais, representantes de ONGs, estudantes e sociedade civil. O resultado desses eventos foi levado para as Câmaras Técnicas do Fórum Estadual de Mudanças Climáticas - FEMC, onde foram debatidas as propostas e consolidado um escopo do Anexo. Esse escopo foi levado à plenária do FEMC, onde cada tópico foi debatido para concretizar e concluir o Anexo do Tocantins do Under 2 MOU.Dentro das Ações e Compromissos Específicos, o anexo do Tocantins traz:i.Plano Estadual de Redução das Emissões de GEE e Adaptação às Mudanças Climáticas;ii.Prevenção, Controle e Combate às Queimadas e Incêndios Florestaisiii.Energia e Biocombustíveisiv.Mudança e Uso da Terra e Setor Agropecuáriov.Arborização Urbana Integrada ao Transporte Urbano Sustentávelvi.Áreas Protegidasvii.Combate ao DesmatamentoDentro do tópico de Adaptação, o Estado apresenta:O Estado do Tocantins tem seu regime pluviométrico definido por dois períodos bem distintos: um seco compreendido entre os meses de abril a setembro e outro chuvoso entre os meses de outubro a março. Durante o primeiro período há uma deficiência na disponibilidade hídrica principalmente das comunidades da zona rural, agravada pela má distribuição das chuvas, que se concentram somente num período do ano.Visando minimizar os efeitos dos eventos críticos de estiagem prolongada dessa região, propõe-se a execução de obras nos municípios inseridos diretamente nas áreas impactadas pela escassez de água, para a acumulação de água da chuva, para conter as enxurradas, erosões e assoreamento dos corpos d'águas bem como recarregar o lençol freático, e a médio e longo prazo perenizar os pequenos rios e ribeirões das sub-bacias, através da implementação de Barraginhas. Hoje estão implementadas 600 Barraginhas em dois municípios da região sudeste e para os próximos anos serão implementadas mais 3.564 em 18 municípios. Portanto, o Tocantins compromete-se, até o ano de 2030, em garantir infra-estrutura hídrica a 100% dos municípios atingidos pelas secas no Estado. O Tocantins possui um monitoramento de informações climatológicas realizado por instituições estaduais e federais. Com o intuito de ter uma resposta rápida e eficaz aos efeitos climáticos extremos, o Estado compromete-se em fortalecer a Defesa Civil, órgão estadual responsável por atender situações emergenciais, através de aquisição de equipamentos, aumento de efetivo e capacitações, até 2050.Uma das preocupações do Tocantins é o bem estar e a saúde da população. Tendo em vista o quadro de doenças possíveis de serem agravadas pelas mudanças climáticas e, para promover uma resposta eficaz aos efeitos nocivos à saúde humana, decorrentes das mudanças nos parâmetros do clima,o Estados e compromete em fortalecer a capacidade de atendimento dos serviços públicos de saúde no Tocantins, até 2050.Para maiores detalhes, vide:https://www.under2coalition.org/members"
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,REDD+,"REDD+ é um incentivo desenvolvido no âmbito da Convenção-Quadro das Nações Unidas sobre Mudança do Clima (UNFCCC) para recompensar financeiramente países em desenvolvimento por seus resultados de Redução de Emissões de gases de efeito estufa provenientes do Desmatamento e da Degradação florestal, considerando o papel da conservação de estoques de carbono florestal, manejo sustentável de florestas e aumento de estoques de carbono florestal (+).O Tocantins será o primeiro estado a apresentar um REDD+ para o bioma Cerrado. O mecanismo representa um marco regulatório capaz de dar ao programa a segurança jurídica necessária. Tal estratégia pode abranger diversos subprogramas e possibilitar a transformação de carbono em ativos financeiros que possam subsidiar atividades de baixo impacto e com salvaguardas sociais.(https://www.to.gov.br/semarh/redd/4axfztcknoi3)"
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Pacto Trinacional da Mata Atlântica,"Durante a COP15, de 2022, a conferência da Organização das Nações Unidas (ONU) sobre a biodiversidade, realizada em Montreal, no Canadá, a ONU reconheceu o Pacto Trinacional da Mata Atlântica como um dos 10 esforços pioneiros para reavivar o mundo natural em todo o planeta.O Paraná está entre os entes brasileiros que fazem parte da iniciativa, coordenada pelo Pacto pela Restauração da Mata Atlântica e pela Rede Trinacional para a Restauração da Mata Atlântica, formada pelo Brasil, Argentina e Paraguai. As Iniciativas de Referência da Restauração Mundial se tornam elegíveis para receber apoio, financiamento e expertise técnica da ONU."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Regions4,"Em 2023, o Paraná aderiu à Regions4, coalizão internacional formada por governos regionais para buscar soluções voltadas às mudanças climáticas, biodiversidade e desenvolvimento sustentável."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Sustainable Development Goals,"O Paraná de Olho nos ODS é uma estratégia do Governo do Paraná para implementar a agenda 2030 da ONU e tem como objetivo desenvolver capacidades, no setor público paranaense, visando o planejamento, execução e monitoramento de políticas públicas voltadas para o desenvolvimento sustentável do Estado. Ou seja, alinhadas aos Objetivos de Desenvolvimento Sustentável - ODS, por meio de ferramentas que oportunizam o acompanhamento e a análise dessas políticas, bem como seu planejamento e a sua execução de modo eficiente, aumentando os retornos sociais das ações do Governo."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,RegionsWithNature,"Na COP15, o Paraná se tornou membro-fundador da plataforma RegionsWithNature (RwN), da Regions4 e da associação Governos Locais pela Sustentabilidade (ICLEI). A plataforma será utilizada para a promoção das iniciativas de governos subnacionais (estados, regiões e províncias) e municipais voltadas à preservação da biodiversidade, com a proposta de conectar as lideranças regionais, fornecer ferramentas e recursos para capacitação e troca de boas práticas de sustentabilidade.O Estado também formalizou sua participação como membro oficial da Regions4, coalização internacional que coordena a Declaração de Edimburgo junto a esses governos. Também avançou nas negociações com o Secretariado da Convenção da Biodiversidade da ONU, com quem o Governo do Paraná mantém uma parceria desde 2008 para neutralizar as pegadas de carbono da entidade."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,Other: COP30,"Participação da delegação do estado do Paraná na COP16 de Biodiversidade em Cali, na Colômbia. No evento foi lançada a a Resolução SEDEST 53/2024, que institui a Política Estadual de Créditos de Biodiversidade."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,6,Row 6,Other: Under2 Coalition,"O estado do Paraná atua com pioneirismo e vocação em assumir um papel de liderança climática em âmbito não apenas nacional, mas também internacional, atuando, inclusive, como membro da Coalizão Under2 desde 2024."
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Lista Vermelha de Espécies da Flora Ameaçada,Lista Vermelha de Espécies da Flora Ameaçada\n
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Aliança Global pelos Manguezais,Aliança Global pelos Manguezais
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: Pacto pela Restauração da Mata Atlântica,Pacto pela Restauração da Mata Atlântica
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Pacto pela Restauração da Mata Atlântica,"Em 6 de dezembro, o Instituto Estadual de Florestas (IEF) formalizou sua adesão ao Pacto pela Restauração da Mata Atlântica, por meio da assinatura de Termo de Adesão.\n\nO Pacto constitui a maior articulação coletiva voltada à restauração de um bioma na América Latina, reunindo cerca de 300 organizações — entre instituições públicas, privadas, comunidade científica e proprietários rurais — com o objetivo comum de promover a recuperação e conservação da Mata Atlântica, presente em 17 estados brasileiros.\n\nDesde sua criação, em 2009, o Pacto já viabilizou a recuperação de aproximadamente 800 mil hectares de floresta atlântica, e mantém como meta a recomposição de mais 1 milhão de hectares até 2025.\n\nO IEF contribui de forma direta na execução da agenda do Pacto no Estado, participando do mapeamento de fragmentos florestais, da criação de corredores ecológicos e da definição de áreas prioritárias para conservação.\n\nLink para acesso Pacto pela Restauração da Mata Atlântica: https://pactomataatlantica.org.br/o-movimento/membros/"
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Edinburgh Declaration on post-2020 global biodiversity framework,South Australia is a signatory to this declaration and supports its intentions.
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: The Montreal Process,"PIRSA sits on the Montreal Process Implementation Group, assisting with the development of appropriate indicators and the collation of data to report against them in Australia's State of the Forests Report."
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Sustainable Development Goals,"El Estado ha participado con la implementación de los Objetivos de Desarrollo Sostenible, alineando sus metas con los mencionados objetivos."
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,"Other: Declaración de Edimburgo que impulsa la participación de gobiernos subnacionales y locales en el Marco Post-2020 del CDB, como agentes clave en la visión 2050 “vivir en armonía con la naturaleza”.",El Estado se sumó a la declaración de Edimburgo durante el 2022.
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: Adopción del Marco mundial Kunming-Montreal de la diversidad biológica,El Estado se encuentra trabajando en adoptar lo estipulado en el marco mencionado a través de la Estrategia de Biodiversidad para la entidad.
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Ninguno,"No se tiene participación, pero en futuro se pretende participar en ellas."
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Consórcio Nordeste,"O Consórcio foi criado em 2019 para ser o instrumento jurídico, político e econômico de integração dos nove Estados da região Nordeste do Brasil, um território de desenvolvimento sustentável e solidário neste momento de grandes desafios. O Consórcio é uma iniciativa que pretende atrair investimentos e alavancar projetos de forma integrada, constituindo-se, ao mesmo tempo, como uma ferramenta de gestão criada e à disposição dos seus entes consorciados, e como um articulador de pactos de governança. Dentre as possibilidades abertas com a criação do Consórcio, estão a realização de compras conjuntas, a implementação integrada de políticas públicas e a busca por cooperação, também em nível internacional.\nE tem como principais objetivos\nPromover a integração regional;\nArticular e implementar de políticas públicas integradas;\nAmpliar e modernizar a infraestrutura de exploração dos recursos naturais da região;\nAtrair investimentos internos e externos para região Nordeste;\nModernizar a gestão dos Estados Membros e buscar parcerias com o setor privado;\nRealizar compras compartilhadas;\nPromover o desenvolvimento sustentável, respeitando o meio ambiente e a democracia;\nFortalecer a participação de micro e pequenas empresas na economia regional;\nGerar o bem-estar social na região.\n"
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Nature4Climate,"Sergipe planeja integrar-se com a Nature4Climate visto que essa iniciativa tem a missão de garantir que soluções climáticas naturais - como plantar árvores nas cidades e manejar florestas de forma sustentável - sejam priorizadas em políticas e investimentos dos setores público e privado, o que está em consonância como que o Estado busca para o seu futuro."
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,RegionsWithNature,"Sergipe busca o apoio de iniciativas como o RegionsWithNature para aprimorar a restauração de ecossistemas, a conservação da biodiversidade e soluções baseadas na natureza. Por possuir apenas 13% da sua cobertura florestal original, o Estado pretende desenvolver estas soluções baseadas na natureza, além de fomentar a recuperação de áreas degradadas nos biomas Caatinga e Mata Atlântica."
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Sustainable Development Goals,"O Movimento Nacional ODS Rio Grande do Norte é um movimento social constituído por voluntários, de caráter apartidário, plural e ecumênico, com a finalidade de contribuir para a melhoria da qualidade de vida da sociedade. Visamos cumprir com os compromissos da Agenda 2030 para o Desenvolvimento Sustentável, aprovada pelos países membros da ONU durante sua 70ª Assembleia Geral realizada em setembro de 2015, em Nova York.Disponível em: https://rn.movimentoods.org.br/quem-somos/"
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Sustainable Development Goals,Se participa en programas de restauración y conservación dentro del estado
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Cumming Montereal,Iniciativa que contempla la proteccion del 30% del territorio 
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Governors' Climate and Forests (GCF) Task Force,"North Kalimantan together with other provinces in Indonesia that are members of the GCF Task Force since 2016 has committed to supporting national targets and commitments to reduce greenhouse gas emissions in the forestry and land sectors as an effort to control climate change. Making involvement in this initiative by exchanging information with other regions, as well as determining the roadmap to achieve the target simultaneously."
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Under2 Coalition,"North Kalimantan Governor signed a membership commitment letter by officially joining the Under Coalition in 2009. With that, North Kalimantan is involved in international commitments to preserve the environment. Especially North Kalimantan which has extensive forests."
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: Manaus Action Plan,"In 2022, GCF Task Force renewed their commitment in Manaus Action Plan (MAP). This commitment marked as the renewal of the Rio Branco Declaration in 2014. North Kalimantan has been involved with 7 provinces in GCF TF Indonesia. MAP has three main commitments to reduce deforestation rate by at least 80% relative to the current level by 2030, as well as increasing forest restoration and adaptation efforts, if long-term, sufficient financing, and support are made available. MAP has 6 main pillars which were aligned with the 2021 GCF Task Force Regional Meeting's results in Bali. The 6 pillars are: (1) Facilitation of communication/stakeholder forum; (2) support for development of jurisdictional model and low carbon plan; (3) support for innovative sustainable financing schemes; (4) support for REDD+ monitoring system; (5) Steering Committee on Sustainable Agriculture (SCAI); (6) Steering Committee on Indigenous People and Local Community (IPLC)."
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Governors' Climate and Forests (GCF) Task Force,"As one of GCF-TF founder, Government of Papua is actively in involve almost every meetings"
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Under 2 Coalition,Government of Papua sign MoU in 2015. The 2015 Global Climate Leadership MOU set a standard for leadership that was sufficient for the Paris Agreement in 2015 i.e. 80-90% emissions reduction below 1990 levels by 2050 or below 2 tons per capita emissions by 2050
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Rio Branco Declaration,"As one of GCF-TF founder, Government of Papua is actively in involve in approval of Rio Branco Declaration"
