disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Global initiative/convention,col2_Please describe your region's involvement
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,World Heritage Convention,Hawaii includes a number of world heritage sites and hosted the IUCN World Conservation Congress in 2016.
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,New York Declaration on Forests,"Hawaii's 30th Legislature, 2019 included measure SCR 129 \'engaging, endorsing, accepting, and adopting the New York Declaration on Forests to achieve the United Nations Paris Agreement and the 2030 Agenda for Sustainable Development; specifically sustainable development goal 15, life on land.\'"
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,World Heritage Convention,AONB and World Heritage sites pertaining to landscapes 
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,New York Declaration on Forests,MOU with sub regions ( California and Quebec)
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Bonn Challenge,"The Bonn Challenge is about an effort to bring 150 million hectares of the world's deforested and degraded land into restoration by 2020, and 350 million hectares by 2030. Welsh Government do have something to contribute to this even if we are not directly signed up to the challenge we are contributing to the delivery under the Convention on Biological Diversity's target in relation "
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,REDD+,Wales and Africa programme and Plant ! programme 
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,6,Row 6,,Link in to the negotiations.
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,7,Row 7,,Wales for Africa programme and Plant! programme 
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: 2022 Scoping Plan for Achieving Carbon Neutrality,"In November 2022, California approved the 2022 Scoping Plan for Achieving Carbon Neutrality. The 2022 Scoping Plan lays out a path to achieve targets for carbon neutrality and reduce anthropogenic GHG emissions by 85 percent below 1990 levels no later than 2045, as directed by AB 1279 (Muratsuchi, Chapter 337, Statutes of 2022). It includes a quantitative analysis of increased natural and working lands (NWL) actions on forests, shrublands, grasslands, wetlands, agricultural lands, developed lands, and sparsely vegetated lands that can contribute to reduced emissions and increased carbon sequestration. The 2022 Scoping Plan establishes goals for NWL management, quantifies ecological and health benefits from those actions, and takes into account economic costs associated with actions, as required under SB 27 (Skinner, Chapter 237, Statutes of 2021). This NWL analysis, the first of its kind at a jurisdiction scale, addresses NWL in the context of California's climate goals, as part of the international movement to connect land management with climate change as recommended in the IPCC 2018 Special Report on Climate Change and Land. "
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Technical collaboration with Panama,"Since October 2021, California and Panama have engaged in weekly technical meetings that cover aspects of the California Cap-and-Trade Program related to forests and forest offsets. These in-depth discussions have addressed the rigor of carbon accounting, our tracking system for allowances and offsets, verification accreditation, verification team requirements, implementation of an offsets program, the forest offset protocol itself, and the California Tropical Forest Standard. "
