disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Use of carbon credits,col2_Identify target,col3_Emissions purchased/sold (metric tonnes CO2e),col4_Verified to which standard,col5_Outline the crediting period and country(ies)/area(s) where offsetting efforts are or will be taking place,col6_Comment
2025 Disclosure Cycle,779465,CDP,44205,Gwangmyeong City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"○ 국내에서 '탄소배출권'은 실제 EU 지역 등에서 비교적 명확히 표현하는 할당량(allowance)과 크레딧(credit)을 포괄하는 개념으로서 일반적으로 사용됨\n\n○ 광명시는 국가에서 정한 온실가스 배출총량(cap)만큼 발전설비나 생산설비 등 주요 온실가스 배출원(광명시의 경우, 환경기초시설) 대상으로 지급된 온실가스 배출 권리인 \'할당량\'과 관련된 탄소배출권(KAU)에 대해서 사용\n\n○ 광명시는 외부 온실가스 감축 프로젝트에 의해 기준전망치 대비 온실가스 배출량을 줄였다는 증서로서 해당 프로젝트에 지급되는 \'크레딧\' 과 관련된 탄소배출권(KCU)와 관련된 계획은 아직 없음\n"
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,Not a business subject to carbon emissions trading
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"Ahmedabad Municipal Corporation (AMC) with support from ICLEI South Asia and South Pole under Swiss Agency for Development and Cooperation funded CapaCITIES project has done pre-feasibility to access carbon credits from 1) Replacement of diesel buses with electric buses, 2) Waste to energy plants, 3) urban forests\n\nAMC will decide on possibilities to grab carbon credits. "
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,Pendiente comentario
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,Sin comentarios
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"In 2019, Portugal published its 2050 Roadmap to Carbon Neutrality (RNC20250), which sets out the long-term strategy for a sustainable, zero-carbon economy by 2050. The RNC250 brings together a range of energy and mobility policies that can reduce greenhouse gas emissions by around 85 per cent compared to 2015 and increase carbon sequestration by expanding and strengthening the ecosystem services provided by land use and forestry to offset the remaining 15 per cent of emissions. Within this remit, the FUN Porto (Native Urban Forests) project aims to produce native trees and shrubs for strategic planting in the city, citizen participation in private spaces and export for ecological restoration in surrounding regions. The initiative aims to offset a significant amount of CO2 (at least 9,877 tonnes/year) through strategic tree planting, contributing to urban greening and ecological restoration. However, it should also be noted that Porto is a city with a very limited territory (42 km2) and very densely urbanised (historic city and World Heritage Site), which limits carbon offsetting within its territorial limits, despite efforts to promote nature-based solutions in all their aspects and on all possible surfaces. Therefore, the main solution that the city intends to use to offset most of its residual emissions is the Voluntary Carbon Market (in Portugal), recently established by Law No. 4/2024 of 5 January, which opens the possibility of establishing carbon offset projects in the national territory. These projects aim to use nature-based solutions for carbon sequestration, while providing important benefits for the protection of biodiversity and natural capital, for the regulation of various natural cycles, for landscape design and for interventions in territories, especially the most vulnerable, and also contributing to adaptation to climate change by increasing the resilience of the national territory. This law, which is still subject to specific regulations, is of great interest to cities such as Porto, which want to offset their carbon emissions and at the same time hope to have the most positive impact on the surrounding territory (the North region of Porto). The city will therefore take advantage of this new regulation and develop a comprehensive strategy based on it in the coming years. "
2025 Disclosure Cycle,779465,CDP,49172,"City of St. Petersburg, FL",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"The City does participate in Duke Energy's Clean Energy Connection Program. The City's Clean Energy Connection subscription generated 10,592,258 kWh of renewable energy. The renewable energy certificates (RECs) retired on the City's behalf would account for 18.56% of the total consumption that can be claimed as renewable. "
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,49327,"City of Providence, RI",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"We have plans to continue to consider purchasing credits, but we do not intend to rely on carbon credits for the majority of our emission reductions. If we pursue them it will be as a last resort for bridging the gap to reach our goals. We have considered selling credits in relationship to some of our work on street tree planting, but the project has not been developed yet."
