disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Climate component,"col2_Other types of governments engaged in the development, implementation and/or monitoring of component",col3_Outline the purpose of this engagement,col4_Comment
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate action plan,State/Regional-level government,To facilitate the integration of this component into assessments and policy developed across different levels of government|To collect data and/or feedback from other levels of government to inform its development|To facilitate capacity building across different levels of government|To facilitate information sharing across different levels of government,"The Department of Environment has been renamed as Department of Environment and Climate Change at Brihanmumbai Municipal Corporation (BMC). This step has been taken to institutionalise climate actions in the ULB. This department would serve as a nodal point for any climate-related initiatives and primarily works on MCAP, alongside other related projects and initiatives such as MVA, Women for Climate, Cities4Forests, NCAP and sustainable development projects under the 15th Finance Commission fund. The department will continue to report to AMC City and be headed by the DMC, Environment & Climate Change. This department will be supported by the State Government of Maharashtra, and the Maharashtra Council for Climate Change. Additionally, a group of honorary advisors (which can be expanded as the plan progresses) will support the Department of Environment and Climate Change for the effective implementation of the MCAP."
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Community-wide GHG emissions inventory,State/Regional-level government,To facilitate the integration of this component into assessments and policy developed across different levels of government|To collect data and/or feedback from other levels of government to inform its development,"GHG inventory has been updated this year by BMC. There are some responses in the inventory which is pending review which will be modified at a later stage this year, if required."
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Community-wide GHG emissions inventory,National-level government|State/Regional-level government,"Progress tracking and/or updates associated with this component are shared with a higher-level of government (e.g., via a digital platform)|The method used to develop this component was required or recommended by a higher-level of government|To collect data and/or feedback from other levels of government to inform its development",We collaborate with the regional enviromental agency and use national agency's sources to make an inventory of our GHG emissions. 
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Climate mitigation target,National-level government,"The development of this component is required by the national government (e.g., by law, regulation and/or agreement)",We provide a local implemantation of a national target.
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,3,Row 3,Climate action plan,National-level government|State/Regional-level government,"The development of this component is required by the national government (e.g., by law, regulation and/or agreement)","Climate action plan appears in the Regional Energy Strategy (RES), Lobby activities and in the National climate agreement. "
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,4,Row 4,Climate adaptation goal,National-level government|Other: regional water authorities|Higher level of government (not listed above)|State/Regional-level government,To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate capacity building across different levels of government|To facilitate information sharing across different levels of government|To facilitate the integration of this component into the National Adaptation Plan (NAP),To accelerate adaptation strategies and implementations.
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate action plan,State/Regional-level government,"To facilitate the integration of this component into the National Adaptation Plan (NAP)|To facilitate the integration of this component into assessments and policy developed across different levels of government|The development of this component is required by the national government (e.g., by law, regulation and/or agreement)|To facilitate the integration of this component into the Nationally Determined Contribution (NDC)|To facilitate capacity building across different levels of government|To facilitate information sharing across different levels of government|Progress tracking and/or updates associated with this component are shared with a higher-level of government (e.g., via a digital platform)|To collect data and/or feedback from other levels of government to inform its development|The method used to develop this component was required or recommended by a higher-level of government"," Ley N° 21.455, publicada el 13 de junio 2022, establece variados instrumentos de gestión a nivel nacional, regional y local; en el artículo 11 , indica que el instrumento regional, será el Plan Acción Regional Cambio Climático -PARCC, los cuales deben ser elaborados por el Comité Regional para el Cambio Climático - CORECC. Los Planes de Acción Regional de cambio climático contendrán, al menos: a) Contexto del cambio climático, sus proyecciones y sus potenciales impactos en la región; b) Caracterización de la vulnerabilidad al cambio climático en la región; c) Inventario de emisiones de gases de efecto invernadero y forzantes climáticos de vida corta, tales como carbono negro, dióxido de azufre y compuestos orgánicos volátiles, a nivel regional, que permita enfocar las medidas de mitigación; d) Medidas de mitigación y adaptación propuestas en los planes sectoriales respectivos, considerando sus efectos en las reducciones de emisiones de gases de efecto invernadero y vulnerabilidad a los efectos adversos del cambio climático a nivel regional; e) Medidas relativas a los medios de implementación, incluyendo identificación de fuentes de financiamiento a nivel regional; f) Identificación y priorización de medidas de mitigación y adaptación para la región, las que deberán contar con financiamiento regional y apoyar el cumplimiento de los objetivos de la Estrategia Climática de Largo Plazo y los Planes Sectoriales de Mitigación y Adaptación; g) Las medidas que incluya el plan deberán describirse detalladamente, con indicación de plazos de implementación y asignación de responsabilidades, y h) Indicadores de monitoreo, reporte y verificación de cumplimiento de las medidas del plan a que se hace referencia en el literal f), en relación con el cumplimiento de las metas sectoriales establecidas en la Estrategia Climática de Largo Plazo, con una frecuencia anual.En la Propuesta del Plan de Acción Regional de Cambio Climático, en las página 66 -85 , se presenta el inventario regional de GEI para el periodo 1990-2050, se utiliza la estructura y categorías señaladas en el “Protocolo Global para Inventarios de Emisión de Gases de Efecto Invernadero a Escala Comunitaria” (GPC), permitiendo catalogar el inventario como de nivel Básico+, de acuerdo a lo indicado por los consultores contratados para la ejecución del PARCC RM.Se anexa planilla excel denominado 2023 IRGEI PARCC RM_en proceso de revisión.xlsx, el cual contiene el inventario regional en GPC. La Base de datos utilizada para la generación del inventario regional es aquella publicada por el Ministerio de Medio Ambiente, que tiene disponible para todas las regiones del país en el siguiente enlace, y que para la Región Metropolitana se identifica con el nombre \'2022_IRGEI_07MET_NL.xlsx\'https://snichile.mma.gob.cl/wp-content/uploads/2023/04/IRGEI_BD1990-2020.zip "
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Community-wide GHG emissions inventory,National-level government|State/Regional-level government|Lower level of government,"To facilitate capacity building across different levels of government|The method used to develop this component was required or recommended by a higher-level of government|To facilitate the integration of this component into assessments and policy developed across different levels of government|The development of this component is required by the national government (e.g., by law, regulation and/or agreement)|To facilitate information sharing across different levels of government","La Ley N° 21.455, publicada el 13 de junio 2022, establece variados instrumentos de gestión a nivel nacional, regional y local; en el artículo 11 , indica que el instrumento regional, será el Plan Acción Regional Cambio Climático -PARCC, los cuales deben ser elaborados por el Comité Regional para el Cambio Climático - CORECC. Los Planes de Acción Regional de cambio climático contendrán, al menos: a) Contexto del cambio climático, sus proyecciones y sus potenciales impactos en la región; b) Caracterización de la vulnerabilidad al cambio climático en la región; c) Inventario de emisiones de gases de efecto invernadero y forzantes climáticos de vida corta, tales como carbono negro, dióxido de azufre y compuestos orgánicos volátiles, a nivel regional, que permita enfocar las medidas de mitigación; d) Medidas de mitigación y adaptación propuestas en los planes sectoriales respectivos, considerando sus efectos en las reducciones de emisiones de gases de efecto invernadero y vulnerabilidad a los efectos adversos del cambio climático a nivel regional; e) Medidas relativas a los medios de implementación, incluyendo identificación de fuentes de financiamiento a nivel regional; f) Identificación y priorización de medidas de mitigación y adaptación para la región, las que deberán contar con financiamiento regional y apoyar el cumplimiento de los objetivos de la Estrategia Climática de Largo Plazo y los Planes Sectoriales de Mitigación y Adaptación; g) Las medidas que incluya el plan deberán describirse detalladamente, con indicación de plazos de implementación y asignación de responsabilidades, y h) Indicadores de monitoreo, reporte y verificación de cumplimiento de las medidas del plan a que se hace referencia en el literal f), en relación con el cumplimiento de las metas sectoriales establecidas en la Estrategia Climática de Largo Plazo, con una frecuencia anual.En la Propuesta del Plan de Acción Regional de Cambio Climático, en las página 66 -85 , se presenta el inventario regional de GEI para el periodo 1990-2050, se utiliza la estructura y categorías señaladas en el “Protocolo Global para Inventarios de Emisión de Gases de Efecto Invernadero a Escala Comunitaria” (GPC), permitiendo catalogar el inventario como de nivel Básico+, de acuerdo a lo indicado por los consultores contratados para la ejecución del PARCC RM.Se anexa planilla excel denominado 2023 IRGEI PARCC RM_en proceso de revisión.xlsx, el cual contiene el inventario regional en GPC. La Base de datos utilizada para la generación del inventario regional es aquella publicada por el Ministerio de Medio Ambiente, que tiene disponible para todas las regiones del país en el siguiente enlace, y que para la Región Metropolitana se identifica con el nombre \'2022_IRGEI_07MET_NL.xlsx\'https://snichile.mma.gob.cl/wp-content/uploads/2023/04/IRGEI_BD1990-2020.zip "
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,3,Row 3,Climate risk and vulnerability assessment,State/Regional-level government|National-level government|Lower level of government,"The method used to develop this component was required or recommended by a higher-level of government|To facilitate capacity building across different levels of government|The development of this component is required by the national government (e.g., by law, regulation and/or agreement)|To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate information sharing across different levels of government","La Ley N° 21.455, publicada el 13 de junio 2022, establece variados instrumentos de gestión a nivel nacional, regional y local; en el artículo 11 , indica que el instrumento regional, será el Plan Acción Regional Cambio Climático -PARCC, los cuales deben ser elaborados por el Comité Regional para el Cambio Climático - CORECC. Los Planes de Acción Regional de cambio climático contendrán, al menos: a) Contexto del cambio climático, sus proyecciones y sus potenciales impactos en la región; b) Caracterización de la vulnerabilidad al cambio climático en la región; c) Inventario de emisiones de gases de efecto invernadero y forzantes climáticos de vida corta, tales como carbono negro, dióxido de azufre y compuestos orgánicos volátiles, a nivel regional, que permita enfocar las medidas de mitigación; d) Medidas de mitigación y adaptación propuestas en los planes sectoriales respectivos, considerando sus efectos en las reducciones de emisiones de gases de efecto invernadero y vulnerabilidad a los efectos adversos del cambio climático a nivel regional; e) Medidas relativas a los medios de implementación, incluyendo identificación de fuentes de financiamiento a nivel regional; f) Identificación y priorización de medidas de mitigación y adaptación para la región, las que deberán contar con financiamiento regional y apoyar el cumplimiento de los objetivos de la Estrategia Climática de Largo Plazo y los Planes Sectoriales de Mitigación y Adaptación; g) Las medidas que incluya el plan deberán describirse detalladamente, con indicación de plazos de implementación y asignación de responsabilidades, y h) Indicadores de monitoreo, reporte y verificación de cumplimiento de las medidas del plan a que se hace referencia en el literal f), en relación con el cumplimiento de las metas sectoriales establecidas en la Estrategia Climática de Largo Plazo, con una frecuencia anual."
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate action plan,National-level government|State/Regional-level government|Higher level of government (not listed above),To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate information sharing across different levels of government|To collect data and/or feedback from other levels of government to inform its development|To facilitate capacity building across different levels of government,"The City of Philadelphia is committed to meeting the goals of the Paris Climate Agreement, and its Climate Action Plan outlines the actions the City is taking to meet these goals and respond to the impacts that already have and will occur as a result of climate change. Philadelphia also follows the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories to calculate these emissions.\nPhiladelphia has joined C40 Cities: Deadline 2020 Initiative, a commitment from some of the largest cities to deliver on the Paris Climate Agreement."
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Climate adaptation goal,State/Regional-level government|Higher level of government (not listed above)|National-level government,To facilitate information sharing across different levels of government|To collect data and/or feedback from other levels of government to inform its development|To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate capacity building across different levels of government,"The Philadelphia Water Department (PWD) released Climate Resilience and Planning Guidance in 2022. March 2024 updates include updated climate science, guidance and tools for each major climate impact. Precipitation and air temperature projections are based on Global Climate Model (GCM) output from Coupled Model Intercomparison Project Phase 5 (CMIP5). Outputs from a new suite of GCMs (CMIP6), which were released with the Intergovernmental Panel on Climate Change (IPCC) Sixth Assessment Report, are currently being analyzed by the PWD Climate Change Adaptation Program (CCAP) and will be included in future updates. The Office of Sustainability is also very involved in regional planning and utilizes collaboration with multiple levels of government in creating various levels of climate adaptation goals. One example being the coordination between local, state, and federal efforts to address flood risk in Eastwick, an environmental justice neighborhood in southwest Philadelphia, and put together an action plan to aid in adaptation."
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,3,Row 3,Climate risk and vulnerability assessment,State/Regional-level government|National-level government,To collect data and/or feedback from other levels of government to inform its development|To facilitate capacity building across different levels of government|To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate information sharing across different levels of government,"The risk assessment process used for Philadelphia's 2022 Hazard Mitigation Playbook (HMP) is consistent with the process and steps presented in the FEMA's Local Mitigation Planning Handbook, and utilized Hazus, a nationally standardized risk modeling methodology provided by FEMA, to analyze potential losses for Earthquake, Flood, Sea Level Rise, and Hurricane. Existing hazard profiles were also revised to match the categories in the Pennsylvania Hazard Mitigation Plan Standard Operating Guide (PA SOG)."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate risk and vulnerability assessment,National-level government,"The development of this component is required by the national government (e.g., by law, regulation and/or agreement)","San Francisco has performed multiple climate risk and vulnerability assessments as mandated by the Federal Government. The San Francisco Department of Public Health monitors and reports on the state of the City's climate risk and vulnerability. The Department, through the Program on Health, Equity, and Sustainability, has previously released a report titled Climate and Health that identifies the scope of local climate impacts and associated potential health outcomes, and highlights populations and locations especially vulnerable to these health impacts. The Office of Resilience and Capital Planning (ORCP) also monitors and reports on the City's climate risk and vulnerability. ORCP has developed in-depth vulnerability and consequences profiles developed for 29 asset classes, focused on 13 hazards: earthquakes, tsunami, landslide, flooding, pandemics, hazardous materials, extreme heat, high wind, drought, and wildfires/large urban fires (including poor air quality from wildfire smoke)."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Climate adaptation goal,Lower level of government,To facilitate information sharing across different levels of government|To facilitate capacity building across different levels of government|To facilitate the integration of this component into assessments and policy developed across different levels of government,"The Office of Resilience and Capital Planning (ORCP) oversees the collaborative ClimateSF working group. ClimateSF brings together key City agencies whose services could be critically impacted by climate change. These agencies are taking collective action through planning, policy, and guidance, championing a coordinated vision on climate resilience that streamlines City responses and promotes an equitable, safe, and healthy city for generations to come. This group meets biweekly and includes: the Office of Resilience and Capital Planning, the Department of Public Health, the San Francisco Municipal Transportation Authority, the Department of the Environment, the San Francisco Port, the San Francisco International Airport, and San Francisco Planning. This working group has aided the development of multiple programs and plans, including: the 2025 Hazards and Climate Resilience Plan, the 2021 Climate Action Plan and 2025 update, the Waterfront Resilience Framework, the Ocean Beach Climate Adaptation Plan, the SFMTA Climate Roadmap, and the Sustainable Neighborhoods and Environmental Justice frameworks for the San Francisco General Plan."
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate mitigation target,State/Regional-level government|National-level government,To collect data and/or feedback from other levels of government to inform its development|To facilitate the integration of this component into the Nationally Determined Contribution (NDC)|To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate information sharing across different levels of government|To facilitate capacity building across different levels of government,"As metas de redução de emissão de GEE estão incorporadas no Plano de Ação Climática local, conforme útlima NDC estabelecida no país "
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Community-wide GHG emissions inventory,National-level government|State/Regional-level government,"Progress tracking and/or updates associated with this component are shared with a higher-level of government (e.g., via a digital platform)|To facilitate the integration of this component into the Nationally Determined Contribution (NDC)|The development of this component is required by a higher-level of government that is not the national government (e.g., by law, regulation and/or agreement)|To facilitate the integration of this component into assessments and policy developed across different levels of government",O inventário de emissões de GEE é exigido pela Política de Mudança do Clima da Cidade de São Paulo (14.933/2009). 
