disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide electricity consumption in MWh,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%),col4_Percentage of total consumption from gas (%),col5_Percentage of total consumption from oil (%),col6_Percentage of total consumption from nuclear (%),col7_Percentage of total consumption from hydropower (%),col8_Percentage of total consumption from bioenergy (biomass and biofuels) (%),col9_Percentage of total consumption from wind (%),col10_Percentage of total consumption from geothermal (%),col11_Percentage of total consumption from solar (%),col12_Percentage of total consumption from waste to energy (excluding biomass component) (%),col13_Percentage of total consumption from wave (%),col14_Percentage of total consumption from tidal (%),col15_Percentage of total consumption from other renewable sources (%),col16_Percentage of total consumption from other non-renewable sources (%),col17_Year data applies to,col18_Comment
2025 Disclosure Cycle,779465,CDP,54113,"City of Flagstaff, AZ",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,757907.1,Utility-level data,14.3,54.9,0,12.1,0,0,6.7,0,8.2,0,0,0,3.5,0.4,2023,"Data Source: APS 2023 Integrated Resource Plan (IRP), Table 2-3 on page 26, available at https://www.aps.com/-/media/APS/APSCOM-PDFs/About/Our-Company/Doing-business-with-us/Resource-Planning-and-Management/APS_IRP_2023_PUBLIC.pdf?la=en&hash=F601897086C6836F7FD33C5C2F295F47.\n\nMethodology: The IRP includes 29% of their energy mix as \'Customer-Based\' resources including energy efficiency, distributed energy and demand response. This was subtracted from the total, which allowed for a breakdown strictly between coal, gas, nuclear, and renewables to be calculated. "
2025 Disclosure Cycle,779465,CDP,54116,"City of Dubuque, IA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,601143.289,Regional/State-level data,30,33,0,,,,33,,,,,,4,,2024,"Electricity data for the City including commercial, residential, industrial, and street light consumptions. "
2025 Disclosure Cycle,779465,CDP,54119,"City of Palo Alto, CA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,843870.66,Jurisdiction-level data,0.0,0,0,0.0,60.2,1.1,0.3,0.0,33.7,0.0,0.0,0.0,4.7,0,2023,"Since 2013, Palo Alto has provided 100% carbon neutral electricity. https://www.paloalto.gov/Departments/Utilities/Customer-Service/About-CPAU/Carbon-Neutral-Electricity-and-Natural-Gas/Power-Content-Label\n"
2025 Disclosure Cycle,779465,CDP,54124,"City of Fremont, CA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1233692,Utility-level data,0.0,0,0,2,34,12,30,2,9,0.0,0,0,0,10,2024,"Note* The City is served by both the Investor-Owned Utility (PG&E) and a Community Choice Aggregator (Ava Community Energy). Ava offers two power mixes for its customers, each with a different amount of renewable content. Because of this, we had to multiply the total usage for each power product under each utility to get a blended total percentage for each power source. The power content labels for each utility are found here: PG&E: \nhttps://www.energy.ca.gov/filebrowser/download/7281\n\nAva: https://www.energy.ca.gov/filebrowser/download/7230\n\n\nNote* The commercial data is missing nongovernmental commercial usage from PG&E due to 15/15 rule.\nNote* The value entered for Hydropower (30) is combined values of Eligible Hydro (2) + Large Hydro (32). \nNote* The value in \'non-renewable\' is taken from \'Unspecified\' power content. Since there was no other field available for Unspecified, we entered the values here. "
2025 Disclosure Cycle,779465,CDP,54253,Wollongong City Council,City,South East Asia & Oceania,Australia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,372952,Regional/State-level data,60,3,0.8,0.0,4.2,1.4,7.9,0.0,22.2,0.0,0.0,0.0,0.0,0.0,2023,"Data from Australian Energy Statistics Table O (2021/22).Consumption data FY 23/24, only include residential consumption."
2025 Disclosure Cycle,779465,CDP,54290,Qingdao Municipal Government,City,China,China,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,576470000,Jurisdiction-level data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,未估计上述能源组合占比
2025 Disclosure Cycle,779465,CDP,54293,People's Government of Guangzhou Municipality,City,China,China,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,12807100,Regional/State-level data,,,,,,,,,,,,,,,2024,
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5628472,Jurisdiction-level data,0,98.4,40,0,0,0,0,0,0,0,0,0,0,0,2023,"Total konsumsi listrik Kota Medan pada tahun 2023 sebesar 5.628.472 MWh yang dirinci sebagai berikut :\n1. Rumah Tangga : 469.244 MWh\n2. Komersil : 35.556 MWh\n3. Industri : 1.026 MWh\n4. Sosial : 5.568 MWh\n5. Kantor Pemerintah : 808 MWh\n6. PJU : 5.150 MWh\n7. Layanan Khusus : 424 MWh\n\nSektor Transportasi\npresentase konsumsi minyak (BBM) di dominasi: kendaraan pribadi (sepeda motor & mobil bensin/solar).\nBBM: konsumsi bensin dan solar tinggi → menjadi penyumbang emisi terbesar (±40%).\n\npresentase konsumsi gas di Kota Medan yaitu 98,5%"
2025 Disclosure Cycle,779465,CDP,54308,Coimbatore City Municipal Corporation,City,India,India,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3793000,Utility-level data,72.6,2.4,0,3.2,10.2,1.5,5,0,4.7,0.3,0,0,0,0.1,2021,"Fuel/technology mix is based on the Central Electricity Authority (CEA) All India Gross Electricity Generation (mode-wise, utilities) for FY 2021-22, and the relative split of non-hydro renewables from the Ministry of Power / CEA data for 2021-22. These national-level grid shares are used as Coimbatore's electricity mix because the city is fully supplied by the state grid, which follows the national mix.\nThe same CEA dataset underpins the grid emission factor used in the Coimbatore Climate Resilient City Action Plan (CRCAP) community GHG inventory (via the ICLEI HEAT+ tool). Using this ensures that CDP reporting is consistent with the CRCAP inventory year (2021-22)."
2025 Disclosure Cycle,779465,CDP,54310,Government of Palembang,City,South East Asia & Oceania,Indonesia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2665207,Jurisdiction-level data,84.5,2,12,0,0,0,0,0,1.5,0,0,0,0,0,2023,"Data konsumsi energi di Kota Palembang tahun 2024 adalah data berasal dari dokumen Palembang Dalam Angka Tahun 2024, sedangkan data persentase total konsumsi batubara, gas dan oil adalah berasal dari kuesioner pengumpulan data inventarisasi gas rumah kaca Kota Palembang dan perhitungan inventarisasi gas rumah kaca Kota Palembang Tahun 2024. \n"
2025 Disclosure Cycle,779465,CDP,54327,Semarang City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,21674848,Regional/State-level data,50.62,1.04,34.95,,,,,,,,,,13.38,,2023,Data terlampir adalah data di level Provinsi Jawa Tengah. Adapun jumlah konsumsi listrik di level Kota Semarang adalah : 4.694.801 MWH
2025 Disclosure Cycle,779465,CDP,54328,City of Niigata,City,Japan,Japan,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,4610000,Jurisdiction-level data,,,,,,18.6,,,3.9,,,,,,2021,
2025 Disclosure Cycle,779465,CDP,54337,Greater Amman Municipality,City,UKWW,Jordan,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,7691600,Jurisdiction-level data,3.0,30,54,0.0,0.1,0.0,4.4,0.0,8.5,0.06,0,0,0,0,2022,Based on national figures from Ministry of Energy report
2025 Disclosure Cycle,779465,CDP,54348,The Local Government of Quezon City,City,South East Asia & Oceania,Philippines,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5321410.586,Jurisdiction-level data,98.43,,,,,,,,1.57,,,,,,2024|2023,"Annual jurisdiction-wide energy consumption is based on the 2023 total electricity consumption of the City.\n\nQuezon City currently accounts for 18.82% of the National Capital Region's electricity consumption. About 0.66% of all available rooftop area is covered by solar panels, amounting to only 1.57% of the\ncurrent electricity consumption, or about 86.29 GWh annually. (Based from the study: Renewable Energy in Quezon City, Determining the Solar Energy Penetration and the Potential Market Demand in Buildings)"
2025 Disclosure Cycle,779465,CDP,54349,Balikpapan City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1225580000,National-level data,39.69,17.11,29.91,0,2.46,4.54,0.06,1.7,0.16,0,0,0,8.92,86.71,2023,Sumber data menggunakan Handbook of Energy Economic Statistics of Indonesia
2025 Disclosure Cycle,779465,CDP,54354,City Government of Makati,City,South East Asia & Oceania,Philippines,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2923500,Jurisdiction-level data,47,31,0,0.0,0,0,0.0,0,13,0,0.0,0.0,0,9,2024,"Electric power supply connections in all barangays of the City are provided by the Manila Electric Company (MERALCO), which is the sole electric distributor for the Metro Manila or the National Capital Region. MERALCO gets its bulk supply from the state-owned National Power Corporation (NPC). Transmission lines that bring power to Metro Manila are operated and maintained by the National Grid Corporation of the Philippines.\n\nTo decrease the energy dependence on fossil fuels, the city is currently in venture to adopt the Green Energy Option Program (GEOP) in government-owned buildings and facilities. GEOP is a policy initiative under the Philippines' Renewable Energy Act of 2008 (RA 9513). It empowers qualified energy consumers—typically businesses with a monthly peak demand of 100 kW or more—to directly source electricity from renewable energy (RE) suppliers, rather than relying solely on the traditional distribution utilities using mostly fossil-fuel sources."
2025 Disclosure Cycle,779465,CDP,54386,Tainan City Government,City,China,East Asia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,33225857,National-level data,34.06,44.13,1.25,6.99,2.82,0.02,2.08,0.01,5.17,0.08,0,0,0,3.39,2023,目前臺灣電力由屬於單一電網模式的輸配電業者（台電公司）負責全國統一的輸電與調度。因此，僅有全國層級的電力來源組成比例資料，並無各縣市獨立的電力來源組成比例數據。\n1.各項電力來源結構：https://www.taipower.com.tw/media/fqhlcgod/02-%E6%AD%B7%E5%B9%B4%E6%B7%A8%E7%99%BC%E8%B3%BC%E9%9B%BB%E9%87%8F(91-113).pdf
2025 Disclosure Cycle,779465,CDP,54388,Iskandar Regional Development Authority,City,South East Asia & Oceania,Malaysia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,154705000,National-level data,49.2,30.7,0.5,0.0,18,0.5,0.0,0.0,1.1,0,0.0,0.0,0,0.0,2021,"Data is at national level, from National Energy Balance 2021, as link follows: \n\nhttps://www.st.gov.my/contents/files/download/111/National_Energy_Balance_2021.pdf\n"
2025 Disclosure Cycle,779465,CDP,54389,Taichung City Government,City,China,East Asia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,34181751,National-level data,31.1,47.2,1.4,4.7,1.2,0.56,3.8,0.1,6.3,1.1,0,0,0,2.4,2024,Taichung City's electricity consumption in 2024
2025 Disclosure Cycle,779465,CDP,54391,Nonthaburi City Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1103,Jurisdiction-level data,0,1,99,0,0,0,0,0,,0,0,0,0,0,2019,
2025 Disclosure Cycle,779465,CDP,54395,Taoyuan City Government,City,China,East Asia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,29519745416,National-level data,31.1,47.2,1.4,4.7,1.48,1.36,3.69,0.02,5.35,0,0.0,0.0,0.0,3.7,2024,"According to the current Electricity Industry Law, electricity is transmitted and dispatched nationwide by the power transmission and distribution industry (Taipower Company), which belongs to a single grid model. Therefore, only nationwide data on the composition ratio of power sources is available. There is no independent composition ratio data for counties and cities."
2025 Disclosure Cycle,779465,CDP,54402,City of Lahti,City,Europe,Finland,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1002000,National-level data,2.5,0.8,0.2,41,18.8,13,18.2,0.0,0.8,0.9,0.0,0.0,0.0,1.6,2023,"Total annual jurisdiction-wide consumption from 2023. Percentage breakdown of consumption by energy type from 2023, based on electricity consumption, hence including imported electricity. Source: https://energia.fi/wp-content/uploads/2024/01/Sahkovuosi-2023_paivitetty.pdf"
2025 Disclosure Cycle,779465,CDP,54403,City of Tampere,City,Europe,Finland,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2086000,National-level data,2.6,0.8,0.2,42,19.2,13.3,18.5,0,0.8,0.9,0,0,0,1.7,2023,"Electricity consumption — including electricity used in housing and agriculture, industry, services, and construction — refers to the area of Tampere. The energy mix of electricity consumption is based on Finland's national electricity production mix"
2025 Disclosure Cycle,779465,CDP,54439,City of Münster,City,Europe,Germany,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1300444,National-level data,23,11.7,0,0,5.3,8.9,33,0,14.5,0,0,0,0,3.6,2024,electricity mix germany 2024
2025 Disclosure Cycle,779465,CDP,54467,Municipality of Eindhoven,City,Europe,Netherlands,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1336388.89,National-level data,6.5,26,0,3.2,0,3,25.2,13.2,18.7,2.5,0,0,0,1.7,2023,Im not sure but i've categorised our WKK (CHP in english) under geothermal\n
2025 Disclosure Cycle,779465,CDP,54484,Stavanger Municipality,City,Europe,Norway,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1948132,National-level data,0.55,0.57,,1.85,82.9,,11.24,,,,,,1.34,1.55,2023,Data source: https://www.nve.no/energi/energisystem/energibruk/stroemdeklarasjoner/
2025 Disclosure Cycle,779465,CDP,54488,Trondheim Municipality,City,Europe,Norway,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2791448,Regional/State-level data,0.0,1.29,0,0.0,60.09,0,38.52,0,0.09,0.0,0.0,0.0,0.0,1.29,2024,"Thermal power production stands for a little contribution in Norway, which is mainly based on natural gas, heat recovery from industrial processes and waste incineration. In 2024, thermal power production accounted for nearly 1.3% of electricity in Trøndelag County, where Trondheim Municipality is located. The main electricity production is dominated by hydropower and wind power. Note that in 2024 there was also a small contribution from solar PV (0.09%) in Trøndelag County, and slightly higher contribution share than 2023 (0.06%). \nSources: Statistics Norway (SSB), Production of electricity, by type (GWh), https://www.ssb.no/en/statbank/table/08308; The Norwegian Water Resources and Energy Directorate (NVE), Energy use in municipalities, https://www.nve.no/energi/energisystem/energibruk/energibruk-i-kommuner/; The Norwegian Water Resources and Energy Directorate (NVE), Thermal power (“Termisk kraft” in Norwegian), https://www.nve.no/energi/energisystem/termisk-energi/termisk-kraft/.\n"
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1407759,Jurisdiction-level data,0.0,0.0,0,31,41,2.2,24,0,2.4,0.5,0.0,0.0,,0,2024,"Based on statistics from Swedish Energy Agency. Electricity from CHP produced with 80 % biomass and 20 % waste, separated into two categories.\n\n"
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,City,Europe,Sweden,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1237687,Jurisdiction-level data,0,0,0,0,11,0,44,0,12,18,0,0,14,0,2023,No comment.
2025 Disclosure Cycle,779465,CDP,54519,Lund Municipality,City,Europe,Sweden,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1023182.0,National-level data,0.0,0.5,0.0,31.0,43.0,5.5,16.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,,
2025 Disclosure Cycle,779465,CDP,54530,City of Brighton & Hove,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,834080.45,National-level data,1.83,38.5,0.87,14.59,1.74,11.03,24.79,0.0,4.11,0,0.0,0.0,0,2.54,2022,"2023 national grid fuel mix data was available at the time of reporting, but the latest total energy consumption data for Brighton & Hove is from 2022, so for consistency between responses, we have used the national electricity fuel mix figures from 2022. In 2022, the UK exported more electricity than we imported so Net Imports are not included in the fuel mix we are reporting. When reporting “Other fuels” (2.1% of electricity generated in the UK in 2022) , the UK government does not distinguish between renewable sources (e.g. geothermal, wave, and tidal) and non-renewable (e.g. waste to energy) 'other fuels'. These are reported together with \'energy storage\' (<1% of electricity consumed in the UK in 2022) as “other non-renewable fuels”. As such, the figures above likely slightly underestimate the share of renewables in the 2022 UK electricity mix. In 2024, renewable fuels accounted for a greater share of the total electricity fuel mix, as compared to 2022, and was the first year that renewables constituted more than 50% of electricity fuel mix in the UK. Data used as follows - \nJurisdiction energy consumption:\nhttps://www.data.gov.uk/dataset/4b7b7f64-0b97-4a6e-8e45-1218b9a81876/total_fuels_consumption_at_local_authority_level\nJurisdiction electricty consumption: https://www.gov.uk/government/collections/sub-national-electricity-consumption-data\nFuel mix in electricity generation: https://www.gov.uk/government/statistics/electricity-chapter-5-digest-of-united-kingdom-energy-statistics-dukes\nTotal renewables in 2024: \nhttps://assets.publishing.service.gov.uk/media/67e4f5d855239fa04d412067/Energy_Trends_March_2025.pdf"
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1046474,National-level data,1,30,1.0,18.4,1,14,29,0.0,5,0.0,0.0,0.0,0,5,2024,"Total electricity consumption is the Sunderland citywide figure derived from the Regional and Local Authority Electricity Consumptions statistics 2024, published annually by the Department for Energy Security and Net Zero (DESNZ). The source mix is based on national data based on the most recent Digest of UK Energy Statistics (DUKES). \n\nFurther information can be found at Digest of UK Energy Statistics (DUKES) 2024 - GOV.UK (www.gov.uk) and https://www.gov.uk/government/statistical-data-sets/regional-and-local-authority-electricity-consumption-statistics."
2025 Disclosure Cycle,779465,CDP,54637,Alcaldía de Cuenca,City,Latin America,Ecuador,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,750925.64,Jurisdiction-level data,,,10.0,,100,,,,,,,,,,2022,La energía proviene de las hidroeléctricas.
2025 Disclosure Cycle,779465,CDP,55180,City of Shizuoka,City,Japan,Japan,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3864505,National-level data,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,55324,Municipality of Guimarães,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,748465,National-level data,0,16.7,2.2,0,24.7,6.2,27.3,0.4,12.1,0,0,0,6,4.4,2023,Fonte: Anuário 2024 APREN \nLink: https://anuario.apren.pt/contents/APREN-ANUARIO_RESUMO_DE_ANO.pdf
2025 Disclosure Cycle,779465,CDP,55325,Municipality of Águeda,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,233633.0,National-level data,10.0,34.0,3.0,0.0,20.0,9.0,18.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,"A origem das fontes energéticas para a produção de eletricidade utilizada depende do fornecedor. A produção de energia a partir de fontes de energias renováveis varia, como pode ver-se nos sites das entidades, conforme a fonte geradora em causa (vento, disponibilidade hídrica nas barragens, irradiação solar, etc). Neste sentido podem ser consultados os sites:https://www.apren.pt/pt/energias-renovaveis/producaohttps://www.edp.pt/origem-energia/?sector=Total%20EDP%20Comercial&year=2020&period=13Os dados apresentados correspondem ao mix disponibilizado no site da Associação Portuguesa de Energias Renováveis (APREN), uma associação sem fins lucrativos, constituída em outubro de 1988, com a missão de coordenação e representação dos interesses comuns dos seus Associados na promoção das Energias Renováveis no setor da eletricidade.O fornecedor do município de Águeda é a EDP comercial, o mix energético, segundo apresentado no site próprio, apresenta uma percentagem de eletricidade produzida a partir de fontes renováveis mais elevada do que a apresentada de forma genérica para Portugal.Foi facultado o mix facultado pela empresa responsável pela elaboração do relatório de monitorização do PAES, bem como do inventário de emissões, cuja fonte foi o Balanço energético nacional, segundo estatísticas apresentadas pela DGEG, 2020.No território do município existem diversos operadores que fornecem energia, de que são exemplo a EDP Comercial, Iberdrola, Endesa, entre outros. A título exemplificativo, a Iberdrola tem um desempenho ambiental ambicioso, referindo para Portugal o fornecimento de energia a partir de fontes renováveis: 100%. Da mesma forma, EDP Comercial para clientes residenciais e pequenos negócios verdes é de 100% de energia a partir de fontes de energia renováveis. Em anexo estas evidências."
2025 Disclosure Cycle,779465,CDP,55334,Municipality of Braga,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,709033935,Utility-level data,0.0,17.0,0.0,0.0,26.0,7.0,29.0,0.0,8.0,0.0,0.0,0.0,71.0,2.0,,"O Município de Braga utiliza dados oriundas de entidades de informação e estatística nacionais para completar os seus inventários. Deste modo, estas mesmas entidades reportam as suas informações no segundo semestre de cada ano. Desta forma, estão disponíveis os dados referentes ao período de 2022 no qual se considera o mais atualizado possível."
2025 Disclosure Cycle,779465,CDP,55800,"City of Cambridge, MA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1650237.0,Regional/State-level data,0.6,54.3,0.2,26.3,5.7,5.2,3.7,0.0,2.4,0.0,0.0,0.0,0.0,1.8,2022,Data supplied from state.
2025 Disclosure Cycle,779465,CDP,55801,"City of West Palm Beach, FL",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1628926,Utility-level data,0.4,70.4,0.2,19.5,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,2.2,2024,FPL Q4 2024 Energy Notes published sourced from FPL website: https://www.fpl.com/news/energy-notes.html
2025 Disclosure Cycle,779465,CDP,56276,New Taipei City Government,City,China,East Asia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,10331828.686,National-level data,39.19,42.36,1.45,4.21,1.46,0.08,3.63,0.01,5.29,1.26,0.0,0.0,0.0,0.0,2024,"1.\'Total electricity consumption within the jurisdiction\' refers to the electricity consumption within New Taipei City in the year 2024, covering the residential, commercial, industrial, agricultural, forestry, and fishing sectors.\n\n2.As all electricity in Taiwan is supplied by the Taiwan Power Company (Taipower), and New Taipei City does not operate or regulate any municipal or private power plants, the calculation is based on the nationwide electricity generation data for 2024 provided by the Bureau of Energy, Ministry of Economic Affairs (central government)."
2025 Disclosure Cycle,779465,CDP,58489,Høje-Taastrup Municipality,City,Europe,Denmark,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,501388,Regional/State-level data,1,1.69,0.55,10.9,16.5,17.46,38.1,0,7.92,5.6,0.0,0.0,82.96,17.04,2024,inclusiv import
2025 Disclosure Cycle,779465,CDP,58597,Municipalidad de La Unión,City,Latin America,Costa Rica,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,155170.32,National-level data,0.0,0.0,0.8,0.0,73.0,0.5,11.5,13.6,0.1,0.0,0.0,0.0,0.0,0.5,,"Se adjunta el informe de atención de demanda y producción de electricidad con fuentes renovables del gobierno de Costa Rica 2022, en este se describe la matriz energética nacional"
2025 Disclosure Cycle,779465,CDP,58613,City of York Council,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1469703.63,National-level data,1.8,35.7,3.3,16.1,2.2,12.7,26.4,0,1.8,0,0,0,3.4,4.5,2020,National-level data 
2025 Disclosure Cycle,779465,CDP,58616,Vijayawada Municipal Corporation,City,India,India,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2037211.27,Jurisdiction-level data,99.93,0,0,0,0,0,0,0,0.07,0,0,0,0,0,2021,As per the data received from DISCOM
2025 Disclosure Cycle,779465,CDP,58866,Beşiktaş Municipality,City,UKWW,Türkiye,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2154.8,Jurisdiction-level data,0,46,0.27,0,0,0,0,0,0,0,0,0,0,0,2024,The values entered in the table correspond to the 2024 data of the Beşiktaş Municipality Main Service Building. 
2025 Disclosure Cycle,779465,CDP,58871,"City of Salem, MA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,259443,Jurisdiction-level data,0.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0,0.0,0.0,2022,n/a
2025 Disclosure Cycle,779465,CDP,59151,City of Akureyri,City,Europe,Iceland,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,623685.865,Jurisdiction-level data,0.0,0.0,0.17,0,69.28,0,0.06,30.48,0,0.0,0.0,0.0,0.0,0.0,2024,"National data. Not possible to divide between regions as almost all electricity is bought from the national grid. Thus, national data is used.\n\nOf the total electricity consumption in Akureyri, 483,320 MWh (77.49% of the total consumption) was used by two companies (one aluminum foil production plant and one date centre)."
2025 Disclosure Cycle,779465,CDP,59166,Municipalidad de Independencia,City,Latin America,Chile,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,187531.701,National-level data,2.57,16.05,16.58,0.0,0.002,1.42,0.274,0,1.37,0.0,0.0,0.0,0.0,28.07,2023,"Independencia se ha consolidado históricamente como una comuna mixta, donde coexisten el uso residencial, comercial e industrial, característica que se refleja en la participación del consumo eléctrico. La caracterización vienen dada por la trayectoria que se sigue a nivel regional, la información fue extraída de http://energiaabierta.cl/visualizaciones/balance-de-energia/"
2025 Disclosure Cycle,779465,CDP,59167,Municipalidad de Providencia,City,Latin America,Chile,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1255205,Jurisdiction-level data,0,,0,0,0,0,0,0,0,0,0,0,0,0,2014,"En la EEL existe un balance total de energía diferenciado por sector residencial, privado y municipal. El cual se compone de gas natural, gas licuado petróleo y electricidad. Datos año 2014."
