disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide electricity consumption in MWh,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%),col4_Percentage of total consumption from gas (%),col5_Percentage of total consumption from oil (%),col6_Percentage of total consumption from nuclear (%),col7_Percentage of total consumption from hydropower (%),col8_Percentage of total consumption from bioenergy (biomass and biofuels) (%),col9_Percentage of total consumption from wind (%),col10_Percentage of total consumption from geothermal (%),col11_Percentage of total consumption from solar (%),col12_Percentage of total consumption from waste to energy (excluding biomass component) (%),col13_Percentage of total consumption from wave (%),col14_Percentage of total consumption from tidal (%),col15_Percentage of total consumption from other renewable sources (%),col16_Percentage of total consumption from other non-renewable sources (%),col17_Year data applies to,col18_Comment
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1016798,Jurisdiction-level data,0.0209,2.8577,0,28.9063,0.6414,7.405,17.3967,0,1.3878,0,0.0,0.0,0.0,41.3821,2023|2024,The above source mix of electricity consumed in the city has been derived from National Grid ESO carbon intensity data at regional (North East England) level on 30 minute time resolution between 01/04/2023 and 31/03/2024 - please see attached document entitled '4.1.3 Renewable Grid Mix'. This source data is available at the following link: api.carbonintensity.org.uk/regional/intensity/2023-04-01T08:00Z/2023-05-01T08:00Z/regionid/4 (and repeating for each month) The electricity consumption is based on https://www.gov.uk/government/statistical-data-sets/regional-and-local-authority-electricity-consumption-statistics
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1226537.01,Jurisdiction-level data,1.4,34,0.6,12.4,2.3,9.1,25.2,0,6.4,8.3,0,0,0,0,2023," The electricity mix for Nottingham's local authority area in 2023 is derived from multiple datasets due to the absence of a single comprehensive source. The calculation incorporates:\n•\tDomestic and non-domestic electricity consumption data (DESNZ, 2023)\n•\tRenewable generation datasets where available (DESNZ, 2023)\n•\tLocal Energy from Waste statistics (2023)\n•\tLocal Combined Heat and Power (CHP) data (Ricardo)\n•\tNational grid electricity mix, excluding certified green tariffs used by individual organizations\n"
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,6218831.22,Other data source: Multnomah County,14,38,15,0,16,1,11,0,5,0,0.0,0.0,0.0,0,2023,The data includes both utility generation and grid market purchases for electricity sales for Multnomah County for both PacificPower and Portland General Electric combined. This data does not include RECS (voluntary green power purchases by households and businesses). 
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,660100,Regional/State-level data,1.6,37.7,0.2,17.1,1.6,6.9,31.2,0,1.9,0,0,0,0,0.7,2023,"The figures above are from statistics on the national electricity grid mix for 'major power producers' - see table 5.6. https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fassets.publishing.service.gov.uk%2Fmedia%2F688a31dda11f859994409290%2FDUKES_5.6.xlsx&wdOrigin=BROWSELINK\nThe 2024 data is available but 2023 data is used here to align with the latest emissions data available. \nWhilst this is a national statistic, national benefit is experienced locally in Reading in terms of energy drawn from the National Grid, particularly as we seek to electrify more sources of heating and transport."
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,7874550.04,Jurisdiction-level data,0.0,0.0,0.0,4.65,78.28,0.95,8.24,0.0,0.0,0.0,0.0,0.0,7.88,0,2023,"Fuel mix last updated 2023, consumption data is from 2023. Note that consumption data for electricity use includes ALL end uses including heating and cooling via ACs, heat pumps etc. Link to power mix page: https://www.seattle.gov/city-light/environment"
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,342296,Jurisdiction-level data,0,13.74,52.22,0,30.01,0,26.53,0.42,10.42,0,0,0,7.67,75.05,2023,Total annual electricity consumption:\nDGEG\n\nPercentages:\nhttps://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&contecto=pi&indOcorrCod=0007273&selTab=tab0&xlang=pt\n
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5398065,Utility-level data,0.0,2.0,0.0,0.0,91,6.0,1.0,0.0,0.0,0.0,0,0,0,0.0,2024,"Usage data is from 2024. However, as of 2024, utility does not provide usage by generation-type (data provided for last known breakdown from 2023).\n"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2208268,National-level data,1.5,1.9,0.1,11.4,17.9,17.6,35.3,0.0,4,2.7,0.0,0.0,7.5,0.0,2023,Consumption data is from 2023 for Copenhagen municipality. Source: https://energinet.dk/data-om-energi/data-til-dit-klimaregnskab/lokationsbaseret-deklaration-miljodeklaration/ (energinet.dk). Renewable sources: biogenic waste + lokal VE. 
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1790000,National-level data,2.4,36,39,,,,,,,,,,,,2023,"Total jurisdiction-wide electricity consumption is sourced from Cardiff's Local Area Energy Plan (LAEP) and has been converted from gigawatt-hours (GWh) to megawatt-hours (MWh).\n\nAt the national level, the UK's final energy consumption percentages encompassing oil (39%), natural gas (36%), and coal (2.4%), were sourced from the Digest of UK Energy Statistics (DUKES) 2024. Of the other percentages and sources requested in the questionnaire, only generation data - not consumption data - could be located."
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2361800,National-level data,0.0,11.2,0.0,23.1,7.5,1.6,54.1,0.0,1.6,0.0,0,0,0.0,0.9,2023,"'Total annual jurisdiction-wide electricity consumption' for Glasgow City Council is taken from the UK Government's Subnational electricity consumption statistics 2005 to 2023 dataset, using the \'Total consumption (GWh): All meters\' figure for 2023 - https://www.gov.uk/government/statistics/regional-and-local-authority-electricity-consumption-statistics\n\nDue to the lack of availability of city-level consumption data by fuel source, Scottish-level data has been used. This is taken from the Scottish Energy Statistics Hub - https://scotland.shinyapps.io/sg-scottish-energy-statistics/ using the 'proportion of electricity consumption by fuel' dataset for 2023. \n\nThe figure for 'Percentage of total consumption from other non-renewable sources (%)' represents the 'imports' figure as given for 2023 in the aforementioned Scottish Energy Statistics Hub data. The renewable vs. non-renewable energy mix of this source is unknown and therefore we have represented this figure in the non-renewable column."
