disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Policy name,col2_Year enforced,col3_Focus area,col4_Drivers covered by the policy,col5_Policy web link,col6_Policy description and region's role in its enforcement
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,6,Row 6,"RESOLUÇÃO CONSEMA Nº 173, DE 04 DE SETEMBRO DE 2020\n",2020,Other: aproveitamento de material lenhoso,"Other: fenômenos climáticos, eventos naturais",RESOLUCAO-CONSEMA-No-173-Aproveitamento-do-material-lenhoso_eventos-extremos-ASSINADA.pdf,Estabelece critérios para o aproveitamento emergencial de material lenhoso em remanescentes naturais derrubado ou danificado por fenômenos climáticos e eventos naturais extremos no Estado de Santa Catarina
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,7,Row 7,"Decreto Estadual nº 2.955, de 20 de janeiro de 2010.\n\n",2010,Conversion of natural habitats|Other: licenciamento ambiental|Forest restoration|Forest degradation|Deforestation,Other: etapas e procediementos para o licenciamento ambiental no Estado.,http://server03.pge.sc.gov.br/LegislacaoEstadual/2010/002955-005-0-2010-002.htm,Estabelece os procedimentos para o licenciamento ambiental a ser seguido pelo órgão estadual fiscalizador e estabelece outras providências.
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,8,Row 8,"Lei Estadual nº 18.200, de13 de setembro de 2021",2021,"Other: Agricultura orgânica, sustentabilidade","Small-scale agriculture|Other: produção familiar, extrativismo sustentável",https://leis.alesc.sc.gov.br/html/2021/18200_2021_lei.html,"Institui a Política Estadual de Agroecologia e Produção Orgânica (PEAPO), com o objetivo de promover e incentivar o desenvolvimento da agroecologia e dos sistemas orgânicos de produção e extrativismo sustentável, assim como, sistemas em processos de transição agroecológica, contribuindo para a sustentabilidade e a qualidade de vida das populações do campo, da floresta, e da cidade, por meio da oferta e consumo de alimentos saudáveis a todos e do uso sustentável dos recursos naturais."
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,SB21-258,2021,Forest restoration,Fires,https://leg.colorado.gov/bills/sb21-258,"Concerning the administration of state assistance programs to mitigate the risk of wildfire, and, in connection therewith, creating the wildfire mitigation capacity development fund and the hazard mitigation fund; transferring money into specially designed wildfire funds; and making an appropriation."
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,SB17-050,2017,Forest restoration,Fires,https://csfs.colostate.edu/grants/forest-restoration-wildfire-risk-mitigation/,"The Colorado Legislature established the Forest Restoration & Wildfire Risk Mitigation (FRWRM) grant program in 2017. This program provides state support through competitive grant funds that encourage community-level actions across the state for some specific purposes: Reduce the risk of wildfire to people, property and infrastructure in the wildland-urban interface (WUI) Promote forest health and forest restoration projects Encourage use of woody material for traditional forest products and biomass energy"
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.5.1,Please provide details of your region's forests-related policies.,3,Row 3,SB22-1379,2022,Other: ,Fires|Infrastructure,https://leg.colorado.gov/bills/hb22-1379,"Concerning transfers from the economic recovery and relief cash fund to provide additional funding for the management of certain natural resources, and, in connection therewith, making an appropriation."
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.5.1,Please provide details of your region's forests-related policies.,4,Row 4,HB23-1060,2023,Forest restoration,Fires,https://leg.colorado.gov/bills/hb23-1060,"Concerning updates to the Colorado state forest service seedling tree nursery, and, in connection therewith, making an appropriation."
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,Maryland Forest Conservation Act and Forest Preservation and Retention Act (SB 526 / HB 723),1991,Deforestation|Conversion of natural habitats,Infrastructure,"https://dnr.maryland.gov/forests/Pages/programapps/newfca.aspx#:~:text=The%20main%20purpose%20of%20the,integral%20part%20of%20the%20site","Description: The main purpose of the Maryland Forest Conservation Act (Natural Resources Article Section 5-1601 through 5-1613) enacted in 1991 was to minimize the loss of Maryland's forest resources during land development by making the identification and protection of forests and other sensitive areas an integral part of the site planning process. Identification of priority areas prior to development makes their retention possible. Of primary interest are areas adjacent to streams or wetlands, those on steep or erodible soils or those within or adjacent to large contiguous blocks of forest or wildlife corridors. The Act was reinforced and updated with 2023 legislation known as the Forest Preservation and Retention Act (SB 526 / HB 723). "
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Maryland Reforestation Law,1989,Forest restoration|Conversion of natural habitats|Deforestation,Infrastructure,https://dnr.maryland.gov/forests/Pages/programapps/newreforest.aspx,"When highway construction using State funds causes the cutting or clearing of forests lands, the Maryland Reforestation Law requires that these trees be replaced. While construction activities by private citizens don't fall under this law, the impact of the Maryland Reforestation Law on the statewide greenscape cover is huge."
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.5.1,Please provide details of your region's forests-related policies.,3,Row 3,Tree Solutions Now Act,2021,Forest restoration,Infrastructure,"https://www.marylandforestryfoundation.org/forest-advocacy/current-policy-issues/5-million-trees/#:~:text=The%20Tree%20Solutions%20Now%20Act,Calendar%20Year%20(CY)%202031.",The Tree Solutions Now Act of 2021 (TSNA) set forth an ambitious statewide carbon mitigation objective: the planting and sustained maintenance of 5 million native trees across Maryland by the close of Calendar Year (CY) 2031.
