disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Policy name,col2_Year enforced,col3_Focus area,col4_Drivers covered by the policy,col5_Policy web link,col6_Policy description and region's role in its enforcement
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,4,Row 4,PERATURAN GUBERNUR KALIMANTAN TIMUR NOMOR 6 TAHUN 2016 TENTANG Rehabilitasi Hutan Pemanfaatan Lahan Kritis,2012.0,Conversion of natural habitats,Charcoal and fuelwood production|Small-scale agriculture|Fires|Large-scale agriculture,https://jdih.kaltimprov.go.id/produk_hukum/detail/b103bc71-d81e ,Governor regulation regarding forest rehabiltation for utilization of critical land
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,5,Row 5,PERATURAN GUBERNUR KALIMANTAN TIMUR NOMOR 54 TAHUN 2012 TENTANG RENCANA AKSI DAERAH PENURUNAN EMISI GAS RUMAH KACA 2010-2020,2012.0,Other: emission reduction from land based sector,Large-scale agriculture|Charcoal and fuelwood production|Small-scale agriculture|Fires,https://jdih.kaltimprov.go.id/produk_hukum/detail/b0f7c6ba-d81e ,"Governor regulation regarding regional action plan to reduce GHG emission in sector priorities namely: energy, IPPU, waste, and AFOLU"
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,6,Row 6,PERATURAN GUBERNUR KALIMANTAN TIMUR NOMOR 34 TAHUN 2018 TENTANG PERHUTANAN SOSIAL,2018.0,Forest restoration,Charcoal and fuelwood production|Large-scale agriculture|Fires|Small-scale agriculture,https://jdih.kaltimprov.go.id/produk_hukum/detail/b109cf06-d81e ,Governor regulation regarding implementation of social forestry
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,7,Row 7,PERATURAN GUBERNUR KALIMANTAN TIMUR NOMOR 5 TAHUN 2009 TENTANG Pengendalian Kebakaran Hutan dan Lahan,2009.0,Other: forest fire control,Fires,https://jdih.kaltimprov.go.id/produk_hukum/detail/b0fb38c0-d81e ,Governor regulation regarding forest fire controlling
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,8,Row 8,PERATURAN GUBERNUR KALIMANTAN TIMUR NOMOR 19 TAHUN 2022 TENTANG RENCANA AKSI DAERAH KELAPA SAWIT BERKELANJUTAN 2022-2024,2022.0,Deforestation|Forest degradation,Small-scale agriculture|Large-scale agriculture,https://jdih.kaltimprov.go.id/produk_hukum/detail/b32f7232-3d49,This regulation contains action plans and strategies for developing low emission plantations
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,9,Row 9,PERATURAN GUBERNUR KALIMANTAN TIMUR NOMOR 12 TAHUN 2021 TENTANG KRITERIA AREA DENGAN NILAI KONSERVASI TINGGI,2021.0,Conversion of natural habitats,Small-scale agriculture,https://jdih.kaltimprov.go.id/produk_hukum/detail/75185be6-ac76,determination of ANKT criteria in plantation areas aims to determine ANKT indicative maps as a basis for plantation business actors to manage areas indicated by ANKT in plantation areas.
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,10,Row 10,PERATURAN DAERAH PROVINSI KALIMANTAN TIMUR NOMOR 07/2019 TENTANG Adaptasi dan Mitigasi Perubahan Iklim Kalimantan Timur,2019.0,Forest restoration|Conversion of natural habitats|Deforestation|Forest degradation,Fires|Charcoal and fuelwood production|Small-scale agriculture|Large-scale agriculture,https://jdih.kaltimprov.go.id/produk_hukum/detail/57aeff30-3e58 ,"Regulation of East Kalimantan Province regarding Adaptation and Mitigation of Climate Change (this has implications for a reduction in the rate of use of natural forests including in protected areas and cultivation areas; prevent forest, garden and land fires)."
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,11,Row 11,PERATURAN GUBERNUR KALIMANTAN TIMUR NOMOR 39 TAHUN 2014 TENTANG RENCANA AKSI DAERAH PENURUNAN EMISI GAS RUMAH KACA,2014.0,Other: emission reduction from land based sector,Charcoal and fuelwood production|Large-scale agriculture|Small-scale agriculture|Fires,https://jdih.kaltimprov.go.id/produk_hukum/detail/b0ff0e87-d81e ,"Governor regulation regarding regional action plan to reduce ghg emission in sector priorities namely: energy, IPPU, waste, and AFOLU"
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,Provincial Regulation Number 6 Year 2018 on Sustainable Land-based Business Management,2018,Other: Conservation of Natural Forest or Sustainable Forest Management in the non forest area (APL),Large-scale agriculture|Mining|Forest plantations|Small-scale agriculture,https://jdih.kalbarprov.go.id/peraturan/pengelolaan-usaha-berbasis-lahan-berkelanjutan,"This regulation encourages the private sector in land-based industry to conserve the natural forest (HCV) in their concession to minimum 7% of their concession. area Through this regulation, the provincial government has jurisdictional role to maintain the forestry development including the conservation of forest to support the West Kalimantan commitment to reduce the emission of GHG from LULUCF sector by 60% on 2020."
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Provincial Regulation No 8/2021 on protection and management of peat mangrove ecosystem,2021.0,Other: Peat and Mangrove Protection,Forest plantations|Mining|Large-scale agriculture|Small-scale agriculture|Unsustainable logging,https://jdih.kalbarprov.go.id/peraturan/detail-peraturan/905,This regulation regulates peat and mangrove protection from the planning activity to law enforcement.
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,3,Row 3,Provincial Regulation No 2/2018 on Integrated Catchment Management,2018.0,Forest restoration|Other: Catchment,Large-scale agriculture|Small-scale agriculture|Forest plantations,https://jdih.kalbarprov.go.id/peraturan/detail-peraturan/112,This regulation promotes integrated catchment management including the sustainable use of land use. This regulation act as the ground policy for restoration activity on the degraded catchment.
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,4,Row 4,Provincial regulation no 2/2022 Fores and Land Fire Management,2022.0,Other: Forest Fire,Unsustainable logging|Forest plantations|Small-scale agriculture|Large-scale agriculture|Mining,https://jdih.kalbarprov.go.id/peraturan/detail-peraturan/1011,"The scope included in this regulation are to avoid forest fire, provide countermeasure, manage post-forest and land fire activity, report forest and land fire incidents, manage the capacity building and MRV, regulate community involvement, regulate source of funding, and provide basis for the sanction."
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.5.1,Please provide details of your region's forests-related policies.,5,Row 5,Provincial Regulation Number 8 Year 2019 on Forestry Management,2019.0,Forest degradation|Deforestation|Forest restoration,Mining|Forest plantations|Small-scale agriculture|Large-scale agriculture|Unsustainable logging,https://jdih.kalbarprov.go.id/peraturan/pengelolaan-kehutanan,This regulation focused on provincial authority management on forestry sector management based on the Law Number 23 Year 2014 on Regional Government .
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,Hessisches Waldgesetz (HWaldG),2013,Forest degradation|Conversion of natural habitats|Deforestation,Other: no info,https://www.rv.hessenrecht.hessen.de/bshe/document/jlr-WaldGHEV5P13,no information
2025 Disclosure Cycle,779465,CDP,73102,Region of Kanta-Häme,States & Regions,Europe,Finland,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,Hämeen metsäohjelma 2021-2025,2021,Forest restoration|Forest degradation|Conversion of natural habitats|Deforestation,,https://metsakeskus.maps.arcgis.com/apps/MapSeries/index.html?appid=c0301656b8f44e349b7f762ac78d3151,
2025 Disclosure Cycle,779465,CDP,73102,Region of Kanta-Häme,States & Regions,Europe,Finland,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Hämeen metsäohjelma 2026-2030,2025,Forest degradation|Conversion of natural habitats|Forest restoration|Deforestation,,Not published yet.,
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Ordenanza de Políticas Ambientales en la provincia de Pastaza,2023.0,Forest restoration|Forest degradation|Deforestation|Conversion of natural habitats,Unsustainable logging,https://pastaza.gob.ec/baselegal/ordenanzas/126.pdf,"Establecer políticas en pro de conservar, preservar el medio ambiente en la provincia de Pastaza"
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,Stratégie d'aménagement durable des forêts (Sustainable Forestry Strategy),2015,Deforestation|Forest restoration|Conversion of natural habitats,,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/energie-ressources-naturelles/publications-adm/strategie/STR_amenagement_durable_forets_MFFP.pdf,"The Sustainable Forest Management Strategy is structured around around six challenges that have been chosen to reflect the department's vision of sustainable forest management\nand cover all aspects of forest management in Quebec.\n\nThese challenges are based on the criteria for sustainable forest management environmental, social and economic dimensions, social and economic dimensions:\n- forest management that integrates the interests, values and needs of Quebec's population including Aboriginal nations;\n- forest management that ensures ecosystem sustainability;\n- a productive forest environment that creates diversified wealth;\n- a diversified, competitive and innovative wood products and a diversified, competitive and innovative wood products industry and forestry companies;\n- forests and the forestry sector that contribute to and adapt to climate change;\n- sustainable, structured and transparent forest management."
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Stratégie nationale de production du bois (National Strategy for Wood Production),2020,Forest restoration,,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/energie-ressources-naturelles/publications-adm/strategie/STR_production_bois_MFFP.pdf,"The National Wood Production Strategy defines five main areas of work, broken down into eleven objectives, all aimed at create wealth through the effects they will have on improving the characteristics of wood and the quantity of wood \nthe quantity of wood produced in Quebec's private and public forests.\n\nA summary can be accessed at https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/energie-ressources-naturelles/publications-adm/strategie/FS_overview_QTPS.pdf"
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,Plano de Prevenção e Combate ao Desmatamento (PPCDQ),2010,Forest degradation|Conversion of natural habitats|Deforestation,Unsustainable logging,https://sema.ac.gov.br/ppcdq/,"O PPCDQ tem como propósito o fortalecimento e a governança ambiental no Acre, controle do desmatamento e queimadas ilegais, além de incentivar o uso sustentável dos recursos naturais. "
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Sistema de Incentivo a Serviços Ambientais - SISA (Lei 2.308/2010),2010.0,Deforestation|Forest degradation|Forest restoration,Unsustainable logging,https://www.legisweb.com.br/legislacao/?id=116550,"O Sistema tem como objetivo principal fomentar a manutenção e a ampliação da oferta de serviços e produtos ecossistêmicos, quais sejam:I O sequestro, a conservação, manutenção e aumento do estoque e a diminuição do fluxo de carbono; II A conservação da beleza cênica natural; III A conservação da sociobiodiversidade; IV A conservação das águas e dos serviços hídricos; V A regulação do clima; VI A valorização cultural e do conhecimento tradicional ecossistêmico; VII A conservação e o melhoramento do solo.Há tempos o Estado do Acre vem legislando sobre propostas específicas que contemplam políticas de serviços ambientais. No ano de 2010, as propostas amadureceram e se aprofundaram, em grande parte como decorrência das discussões globais sobre mercados de carbono, destacadamente aquelas vinculadas às Conferências da ONU como consequência do posicionamento dos membros da Convenção-Quadro sobre Mudanças Climáticas e o posterior reconhecimento da contribuição, para as mudanças climáticas, dos gases de efeito estufa decorrentes do desmatamento e degradação das florestas. Dessa maneira, potencializado pelo promissor mercado de carbono, em razão dos debates com a sociedade acreana por meio de audiências públicas e reuniões dos Conselhos de Meio Ambiente, de Florestas e de Desenvolvimento Rural Sustentável, optou-se por se construir toda a institucionalidade necessária a um amplo sistema de incentivo a serviços ambientais - o SISA. São provedores de serviços ambientais aqueles que promovam ações legítimas de preservação, conservação, recuperação e uso sustentável de recursos naturais, adequadas e convergentes com as diretrizes desta lei, com o ZEE/AC, com a Política Estadual de Valorização do Ativo Ambiental Florestal e com o PPCD/AC."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Programa Carbono Neutro MT (Decreto n. 1.160/2021),2021.0,Deforestation|Other: Redução de emissões de GEE|Forest degradation|Forest restoration|Conversion of natural habitats,,https://www.iomat.mt.gov.br/portal/visualizacoes/html/16531/#e:16531,"Cria o Programa “CARBONO NEUTRO MT”; dispõe sobre a adesão do Estado de Mato Grosso à campanha \'Race to Zero\', no âmbito da Convenção-Quadro das Nações Unidas sobre Mudança do Clima; fixa metas voluntárias de redução do desmatamento ilegal no Estado; institui o Plano de Ação para Prevenção e Controle do Desmatamento e Incêndios Florestais no Estado de Mato Grosso - PPCDIF/MT 4ª fase (2021 - 2024)."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,3,Row 3,"Política Florestal de Mato Grosso, Lei n. 233/2005",2005.0,Forest restoration|Deforestation|Conversion of natural habitats|Forest degradation,Small-scale agriculture|Unsustainable logging|Fires|Large-scale agriculture,https://www.al.mt.gov.br/legislacao/6174/visualizar,"A Política Florestal do Estado de Mato Grosso tem por objetivo assegurar a proteção da flora no território mato-grossense e permitir a exploração florestal de forma sustentável, fomentando práticas que contribuam para o desenvolvimento socioeconômico, a melhoria da qualidade ambiental e o equilíbrio ecológico. A implementação da política florestal e a execução desta lei complementar estão a cargo da Secretaria de Estado do Meio Ambiente - SEMA, sem prejuízo da atuação dos demais órgãos estaduais com atribuições ligadas, direta ou indiretamente, às atividades agrícola e florestal. Compete à SEMA, sem prejuízo das demais atribuições definidas em lei: I - exercer o poder de polícia ambiental, licenciando e fiscalizando as atividades agropecuárias e florestais, que possam causar danos aos recursos ambientais; II - exercer o controle sobre o transporte e armazenamento de matéria-prima, produtos e subprodutos florestais no Estado de Mato Grosso; III - trabalhar para conservação da cobertura florestal em todos os biomas, promovendo estratégias para o uso sustentável da terra; IV - implementar, no território mato-grossense, as medidas definidas em acordos e convenções internacionais visando reduzir a emissão de gases do efeito estufa e as mudanças climáticas."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,4,Row 4,"Lei 592/2017 - Programa de Regularização Ambiental - PRA, disciplina o Cadastro Ambiental Rural - CAR, a Regularização Ambiental dos Imóveis Rurais e o Licenciamento Ambiental das Atividades poluidoras ou utilizadoras de recursos naturais",2017.0,Conversion of natural habitats|Forest degradation|Deforestation|Forest restoration,Fires|Unsustainable logging|Large-scale agriculture|Small-scale agriculture,https://www.al.mt.gov.br/legislacao/14988/visualizar,"Dispõe sobre o Programa de Regularização Ambiental, institui o Sistema Mato-grossense de Cadastro Ambiental Rural, disciplina o Cadastro Ambiental Rural, os Procedimentos de Regularização Ambiental dos Imóveis Rurais e de Licenciamento das atividades poluidoras ou utilizadoras de recursos naturais."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,5,Row 5,"Política de REDD+, Lei 9878/2013",2013.0,Conversion of natural habitats|Deforestation|Forest degradation|Other: Mudanças Climáticas|Forest restoration,Large-scale agriculture|Fires|Unsustainable logging|Small-scale agriculture,https://www.al.mt.gov.br/legislacao/?tipo=1&restringeBusca=e&palavraChave=&numeroNorma=9878&anoNorma=&autor=&dataInicio=&dataFim=&codAssunto=&search=,"Cria o Sistema Estadual de Redução de Emissões por Desmatamento e Degradação Florestal, Conservação, Manejo Florestal Sustentável e Aumento dos Estoques de Carbono Florestal - REDD+ no Estado de Mato Grosso. O Sistema tem por objetivo promover a redução progressiva, consistente e sustentada das emissões de gases de efeito estufa decorrentes de desmatamento e degradação florestal, bem como a conservação, o manejo florestal sustentável e a manutenção e aumento dos estoques de carbono florestal, com vistas ao alcance das metas do Plano de Ação para a Prevenção e Controle do Desmatamento e Incêndios Florestais do Estado de Mato Grosso, da Política Estadual de Mudanças Climáticas, e da Política Nacional de Mudança do Clima e demais legislações pertinentes."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,6,Row 6,Plano de Prevenção e Controle do Desmatamento e Incêndios Florestais (PPCDIF),2009.0,"Forest degradation|Other: Conversão de habitats naturais, Degradação florestal, Incêndios florestais|Deforestation",Small-scale agriculture|Fires|Unsustainable logging|Large-scale agriculture,http://www.sema.mt.gov.br/index.php?option=com_content&view=article&id=106&Itemid=195 ,"O plano se relaciona com um conjunto amplo de iniciativas direcionadas ao enfrentamento do desmatamento e da degradação florestal. O PPCDQ/MT teve seu processo de elaboração centralizado na Secretaria de Estado de Meio Ambiente - SEMA que, sob as orientações da Casa Civil do Governo do Mato Grosso,articulou diferentes entidades governamentais e não governamentais, incluindo o setor privado, em discussões para elaboração do Plano. Seguindo o modelo do Plano Federal, as ações do PPCDQ/MT foram divididas em Eixos Temáticos. Diferente daquele, que é composto por três Eixos, o PPCDQ/MT apresenta um quarto Eixo Temático, o de Governança e Gestão Executiva, que busca garantir e nortear a execução e gerenciamento, compartilhado e transparente, das ações propostas.Para cada ação, responsáveis e parceiros são especificados, assim como indicadores de resultado, os quais são de interesse para ações de monitoramento e controle social, também previstas do Plano. Uma meta geral quantitativa para a diminuição do desmatamento no Estado é apresentada, numa dimensão mais audaciosa que a proposta pelo Plano Nacional de Mudanças Climáticas (PNMC). A partir da meta geral quantitativa de diminuição da taxa de desmatamento (em km2 ), apresentam-se estimativas de redução de emissões de carbono (em toneladas de CO2 equivalente), que também são projetadas em termos financeiros. Uma estimativa dos recursos financeiros existentes no âmbito do Estado (PPA/MT e parcerias) é apresentada, assim como dos recursos adicionais entendidos como necessários para suporte às ações do Plano. "
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,7,Row 7,"Estratégia Produzir, Conservar e Incluir (PCI)",2016.0,Forest degradation|Conversion of natural habitats|Forest restoration|Deforestation|Other: Produção sustentável de baixo carbono,Large-scale agriculture|Fires|Unsustainable logging|Small-scale agriculture,http://pci.mt.gov.br/,"O Estado de Mato Grosso por meio de seu governador lançou na Convenção do Clima (COP 21) realizada em Paris em dezembro de 2015, a “Estratégia: Produzir, Conservar e Incluir”, com o objetivo de captar recursos para o Estado de Mato Grosso objetivando a expansão e aumento da eficiência da produção agropecuária e florestal, a conservação dos remanescentes de vegetação nativa, recomposição dos passivos ambientais e a inclusão socioeconômica da agricultura familiar e gerar a redução de emissões e sequestro de carbono de 6 GTonCO2, mediante o controle do desmatamento e o desenvolvimento de uma economia de baixo carbono.A referida estratégia surgiu de uma construção coletiva e participativa envolvendo diferentes secretarias de estado, representantes de organizações não governamentais, empresas privadas e entidades representativas de setores da economia do Estado, partindo do pressuposto que o Estado poderia obter melhores resultados de sua atuação com o estabelecimento de parceria entre o setor público, o setor privado e o terceiro setor, buscando atender ao interesse social.A Estratégia: Produzir, Conservar e Incluir constitui um conjunto de metas para auxiliar no cumprimento de seus objetivos.Para a implementação da estratégia, foi criado o Comitê Estadual da Estratégia: Produzir, Conservar e Incluir - CEEPCI e sua estrutura organizacional, por meio do Decreto n° 468, de 31 de março de 2016. O Comitê tem como atribuição aprovar o planejamento das ações elaboradas pelas secretarias coordenadoras dos eixos temáticos, realizar o acompanhamento da implementação da estratégia e do cumprimento das metas, bem como a definição de sua estrutura de governança e mecanismos de captação de recursos.Com a administração do Governador Mauro Mendes em 2019, inicia-se uma nova fase da PCI. O novo governo estadual reafirma seu compromisso com a Estratégia e a PCI nasce como uma nova estrutura, onde todos os stakeholders podem estar representados, e em conjunto definir prioridades para a Estratégia.Com isso, a PCI pode oferecer a Mato Grosso um instrumento de articulação público privada e também de captação e gestão de recursos, transparente e eficiente na implementação de programas e projetos.O Decreto 46 de 27 de fevereiro de 2019 define que a Estratégia PCI será implementada em parceria com entidade privada sem fins lucrativos, denominada Instituto PCI."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,8,Row 8,"Política Estadual de Mudanças Climáticas, Lei 582/2017",2017.0,Forest restoration|Forest degradation|Deforestation|Other: Mudanças Climáticas|Conversion of natural habitats,Small-scale agriculture|Unsustainable logging|Fires|Large-scale agriculture,http://www.sema.mt.gov.br/index.php?option=com_docman&Itemid=52,"A Política Estadual de Mudanças Climáticas tem por objetivo integrar o esforço global promovendo medidas para alcançar as condições necessárias à adaptação aos impactos derivados das mudanças do clima, bem como contribuir para redução das emissões antropogênicas de gases de efeito estufa e o fortalecimento dos sumidouros."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,9,Row 9,"Lei nº 12.829, de 27 de março de 2025, que Institui a Política Estadual dos Serviços Ambientais.",2025,Other: Pagamento por serviços ambientais.,,,"A Política Estadual dos Serviços Ambientais - PESA que tem como objetivo disciplinar a atuação do Poder Público em relação aos serviços ambientais, de forma a promover o desenvolvimento sustentável e a aumentar a provisão desses serviços em todo território estadual. De instituição recente, a implementação desta lei ainda está em fase de preparação."
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,Política Florestal do Estado de Pernambuco,1995,Conversion of natural habitats|Forest degradation|Forest restoration|Deforestation,Forest plantations|Charcoal and fuelwood production|Unsustainable logging|Hydroelectric power|Infrastructure|Fires|Small-scale agriculture|Mining|Large-scale agriculture,https://legis.alepe.pe.gov.br/texto.aspx?id=1943&tipo=TEXTOATUALIZADO,"A Política Florestal do Estado de Pernambuco (Lei nº 11.206/1995) consiste no gerenciamento da proteção e uso das florestas e demais formas de vegetação visando melhorar e recuperar a qualidade ambiental propícia à vida e assegurar condições ao desenvolvimento sustentável. Além disso, a Política também tem por objetivos: (1) Proteção da flora e da fauna, dos processos ecológicos essenciais e a promoção do manejo ecológico das espécies e ecossistemas; (2) Controle da exploração florestal em bases conservacionistas; (3) Preservação da biodiversidade e a integridade do patrimônio genético do Estado; (4) Promoção da recuperação de áreas degradadas e a proteção de áreas ameaçadas de degradação; (5) Promoção da educação ambiental em todos os níveis de ensino e da conscientização pública para a proteção das florestas e demais formas de vegetação; (6) Desenvolvimento econômico e social visando a melhoria da qualidade de vida e a manutenção do equilíbrio ecológico; (7) Proteção dos ecossistemas dos biomas, e mananciais com a preservação de áreas representativas; (8) Estímulo ao estudo, à pesquisa e ao desenvolvimento de tecnologias orientadas para o uso racional e a proteção das florestas e demais formas de vegetação.\n\nO Cadastro Ambiental Rural (CAR), criado pela Lei nº 12.651/2012, no âmbito do Sistema Nacional de Informação sobre Meio Ambiente SINIMA, e regulamentado pela Instrução Normativa MMA nº 2 de 5 de maio de 2014, é um registro público eletrônico de âmbito nacional, obrigatório para todos os imóveis rurais. Tem a finalidade de integrar as informações ambientais das propriedades e posses rurais referentes à situação das Áreas de Preservação Permanente APP, das áreas de Reserva Legal, das florestas e dos remanescentes de vegetação nativa, das Áreas de Uso Restrito e das áreas consolidadas, compondo base de dados para controle, monitoramento, planejamento ambiental e econômico e combate ao desmatamento. O CAR contém todas as informações ambientais das propriedades e posses rurais, formando uma base de dados estratégica para o monitoramento e combate ao desmatamento das florestas e demais formas de vegetação nativa do Brasil, bem como para o planejamento ambiental e econômico dos imóveis rurais, desta forma, contribuindo com a Política Florestal do Estado. \n\nO Decreto nº 46259/2018 cria o Programa de Regularização Ambiental - PRA no Estado de Pernambuco. No seu artigo 11, afirma que a inscrição do imóvel rural no CAR é condição obrigatória para a adesão ao PRA/PE, que deve ser requerida pelo interessado até o prazo final estipulado pelo Sistema Nacional de Cadastro Ambiental Rural - SICAR. Também, que a formalização da adesão ao Programa de Regularização Ambiental, mediante assinatura de Termo de Compromisso, deve ser requerida pelo interessado junto ao órgão ambiental competente."
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Comitê Estadual de Política Florestal,2010,Other: Gestão,Unsustainable logging|Large-scale agriculture|Hydroelectric power|Mining|Fires|Forest plantations|Charcoal and fuelwood production|Small-scale agriculture|Infrastructure,http://legis.alepe.pe.gov.br/texto.aspx?id=22165&tipo=TEXTOORIGINAL,"O Comitê Estadual de Política Florestal é um instrumento previsto pela Política Florestal Estadual e tem como função a gestão integrada dos recursos florestais. Compete ao Comitê Estadual de Política Florestal: (1) articular junto aos órgãos das esferas de governo federal, estadual e municipal a implementação da Política Florestal; (2) acompanhar e apoiar as ações relativas à gestão florestal; (3) propor alternativas estratégicas para o modelo de gestão florestal; (4) estimular a participação comunitária, da sociedade civil organizada e do setor produtivo na gestão florestal; (5) apoiar os municípios na definição de diretrizes para a implantação do modelo de gestão regionalizado e integrado com a Política Florestal. Atualmente, ele não está ativo."
