disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),23,29,0,3,16,0.0,0.4,29,0,0.0,2024,100.40,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Source: Mobilitetsredegørelse for year 2024 (called 'Mobilitetsredegørelse 2025'), data from 'Transportvaneundersøgelsen (TU)'"
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),0,1,0,16,4,0,0,70,3,9,2023,103.00,,,,,,,,,,,"Modal share of walking and micromobility not available. Other refers to light and heavy goods vehicles. Private motorized vehicles include taxis and shared vehicles. This data is based on the 2023 cordon count carried out by TfWM, which included a count of journeys into the centre of Coventry during the am peak on a typical weekday via a variety of modes.\n\nThe transport strategy aims to increase walking and micromobility but faces barriers in the form of cost and technology to track these metrics. A lack of convenient and safe routes for cyclists is likely to be a barrier to higher levels of uptake but this is being addressed through infrastructure improvements."
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,No data is available for this section to be completed.\n
2025 Disclosure Cycle,779465,CDP,31054,Belfast City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),30.0,2.0,0.0,10.0,1.0,0.0,4.0,52.0,0,1.0,2019,100.00,,,,,,,,,,,"This data will be updated this year (December 2025) due to a small sample size created during methodological changes during the pandemic. The city is working towards a massive reduction in the proportions of people using private transport and to become more active travellers. Belfast city council completed a staff survey that captured the main travel to work methods, with more than half of staff using active transport methods to travel to work some/all of the time. The Council have recently commissioned an active travel plan to include all it's staff and visitors. It is expected to be completed by the end of 2025 and will include opportunities to increase active travel and reduce commuting in private vehicles to less than 40%. The council have an active travel group that seeks new ways to encourage staff to leave the car at home. Council have reduced the number of parking spaces available for staff. \nOver the past year, Belfast Grand Central Station has welcomed over 8 million people=4 million additional journeys across the wider public transport network since opening, reflecting a significant modal shift. https://www.translink.co.uk/corporate/media/pressreleases/belfast-grand-central-station-turns-one\nTranslink's Zero Emission Prog=development, build and delivery of 100 Zero Emission buses: 20 Hydroliners and 80 Electroliners.To support these vehicles the Project also undertook significant work to introduce complex electric charging hubs at 2 Belfast sites, innovative hydrogen refuelling stations and associated upgrades to maintenance facilities in Belfast Depots. This culminated in a successful launch of 100 zero emission vehicles. BelfastCityCoouncil residents survey= 2023-29% traveling sustainably -up 10% from 2019\n\nBelfast have also committed to producing a Low Emissions Vehicle Strategy that will align with a regional version being produced for Northern Ireland.\n\nA previous travel to work survey in the city indicated a decrease of 15.7 percentage points in the proportion of respondents usually driving to work from 41.8% to 26.1% (March 2020).\n\nDFI transport planning model - Eastern division transport plan Public engagement to launch plan - https://www.infrastructure-ni.gov.uk/articles/eastern-transport-plan-etp-2035\nTranslink - Better connected strategy - accessible connected and green -https://trn-stg-cdn-01.azureedge.net/mediacontainer/medialibraries/translink/publications-and-documents/corporate-publications/better-connected-2022.pdf\n"
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),28,1,0,11,6,0,1,50,0,3,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Data taken from the latest figures provided in the Scottish Household Survey on main mode of travel (%) for the local authority area of Glasgow City Council (sample size 1020).\n\nhttps://www.transport.gov.scot/media/rtapop2p/transport-and-travel-in-scotland-2023-pdf-version.pdf\n\nNo data is available for the following modes:\n> Micromobility\n> Ferries/river boats\n> Informal/paratransit/popular transit systems
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),10.7,6.5,0,0,26.6,0,4.1,29.3,0,,2024,77.20,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The District's passenger mode data is from the American Community Survey, 2025 (1 year estimates) and only captures commuter trips. The figures do not sum to 100% since this is just for commuting and the American Community Survey includes telecommute and/or telework as a \'trip\' type. Furthermore, our data for rail/metro/tram and buses are lumped together in one field, so at this time we are unable to distinguish between trips via rail vs. bus, but have included the total % on public transportation in the rail/metro/tram field. Finally, the 'other' means of commuting as listed under ACS is assumed to be biking or other micro mobility, as biking and e-scooter commute trips have accelerated in recent years from expansion of DC's bike share program, increased scooter popularity, and increased bike trail and protected lane network miles. These are lumped together under \'cycling\' in this table. \n\nThe District has historical (2011) and projected (2040) freight flow data by weight and value, demonstrating that trucking is the mode by which the overwhelming majority of freight inbound, within, outbound, and through the District travels, with a small fraction of through-traffic freight traveling via rail and a small fraction on in-bound freight coming via water. "
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),25.85,1.71,0.06,1.76,28.63,0.0,2,39.84,0,0.15,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Data obtained from Victorian Integrated Survey of Travel & Activity (VISTA) - Trips 2023/24 Dataset. (https://discover.data.vic.gov.au/dataset/victorian-integrated-survey-of-travel-and-activity-vista/resource/c37bf08d-f4d0-4c92-b341-499ceb0eab1d)\n\nPercentages were determined based on post-stratification trip weightings reported by VISTA for trips where:\n1. the trip commenced in Melbourne LGA or\n2. the trip ended in Melbourne LGA\n\nPrivate motor vehicle trips includes both drivers and passengers.\nMicromobility only includes e-scooters.\nOther refers to all other modes not captured in VISTA data.
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),23.5,1.3,7.8,0,13.8,0,0,53.6,0,0,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Data year 2024 Survey of residents of the Municipality of Rome\nPlease see also: https://www.comune.roma.it/web/it/roma-statistica-mobilita1.page
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),23.0,13.0,0.0,3.0,33.0,0.0,0.0,27.0,0,1.0,2018,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,https://www.spt.metro.tokyo.lg.jp/tosei/hodohappyo/press/2019/11/27/documents/02.pdf 2018年の東京都市圏（島しょ部を除く東京都、神奈川県、埼玉県、千葉県、茨城県南部地域）パーソントリップ調査結果における代表交通手段別分担率。鉄道33％、バス3％、自動車27％、二輪車1％、自転車13％、徒歩23％
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),5.6,2.9,0.1,1.9,5.2,0,2.8,81.2,0,0.3,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The current survey of most common mode of transport is conducted by Ministry of Transportation and Communication (MOTC) once every two years. According to the survey, the percentage of private vehicles in Taiwan are over 70% generally. Additional clarification on 80.7% private motorized transport in Kaohsiung city. Through “Second Phase (2021-2025) Greenhouse Gas Regulatory Implementation Plan,” “Net Zero Policy White Paper” and “Taiwan's Pathway to Net-Zero Emissions in 2050”, Kaohsiung dedicated in promoting public transport system, such as Kaohsiung Metro system, Light-rail, and sharing-transport (electric motorcycle, car and public/shared bicycle). Furthermore, the City encourages the full electrification of urban buses by 2030 and ferries by 2050, and introduce the 399 commuting monthly pass (valid for metro, buses, light rail, ferries, and YouBike) to encourage citizen taking public transport. To electrified private transport, we set the goal that electric scooters rate reached 15% in 2030, 50% in 2040 and sales ratio reached 100%, and electric scooters rate reached 95% in 2050. The parking lots are required to install certain amount of charging pile (depending on the size of the area) for a charging- friendly environment."
