disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,57347,Pingtung County Government,City,China,East Asia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),3.4,3.7,0.1,2.6,1.3,0.0,0.2,88.8,0,0,2024,100.10,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Data Source: https://www.motc.gov.tw/ch/app/data/doc?id=56&module=survey&detailNo=1387600371127422976&serno=202506260000&type=s<提高公共交通工具的使用率><發展共享出行><公共自行車五倍增站增量計畫><電動公車100%><推動智慧化公共運輸>Pingtung County plans to increase public transportation as below:<Increase the use of public transportation>Pingtung County Government plans to increase bicycles parking spaces. Additionally, high parking rates for private cars and charge parking fees of motorcycles will be implemented to reduce the using of private vehicles<Develop shared mobility>Pingtung County Government plans the Shared Mobility Regulations with a friendly business environment to attract investments, to meet the needs of short-distance business, backpackers, and tourism, and effectively reduce the proportion of private vehicles.<Public bicycle rental services: rental stations will be five times more>In November, 2022, Pingtung County government decided to introduce public bike rental services, called \'YouBike2.0\', and officially launched in February, 2023. In the future, about 130 stations will be set up in townships with high population density (Pingtung City, Chaozhou Town, Donggang Town and Hengchun Town) in Pingtung County and a total of 1,200 new bicycles, including 300 electric bicycles, will join the rental services. In order to serve for the living sphere in southern city, including Tainan City, Kaohsiung City and Pingtung County, bicycles can be borrowed and returned in each city without charging cross-region fees.<Electric Buses 100%>The government has promoted the \'Electric Bus Demonstration Project\' since 2020. After a 3-year demonstration pilot period, there are still about 9,400 fuel buses that need to be replaced. In order to accelerate green public transportation, Pingtung County Government enacted \' 2030 Electric Buses 100% project\' with a budget of 64.3 billion NT dollars. In addition to subsidizing the purchase of electric buses, it also supports maintenance systems, operation subsidies, and network optimization. <Smart public transportation system>In 2022, Pingtung County Government set up smart transportation center and APP which integrated public transportation information, including buses, public bike rental service, high speed rail, Taiwan railway and ships. Residents and tourists can get guidance of public transportation and related travel information from the APP easily."
2025 Disclosure Cycle,779465,CDP,57408,Çanakkale Municipality,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),7,3,1,28,0,7,4,60,18,2,2023,130.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The jurisdiction of Çanakkale demonstrates a diverse transport modal split for both passenger and freight movement. Passenger transport is primarily dominated by private motorized vehicles, accounting for approximately 60% of trips, followed by bus services at around 28%, and informal transit such as minibuses and shared taxis making up about 18%. Active modes like walking and cycling constitute a smaller yet significant share, with estimated values of 7% and 3% respectively. Emerging micromobility options, including e-scooters, currently represent under 1% of the modal share.\n\nOn the freight side, road transport remains the predominant mode, estimated at 70%, due to the flexibility and coverage of the highway network. Maritime transport plays a crucial role given Çanakkale's strategic location and port facilities, accounting for roughly 25% of freight movement. Rail freight comprises a smaller share, around 5%, reflecting limited rail infrastructure in the region.\n\nThese modal shares highlight the importance of multi-modal integration and the potential to increase sustainable transport options within the jurisdiction, particularly in expanding public transport and active mobility, as part of the ongoing climate action and urban development plans."
2025 Disclosure Cycle,779465,CDP,57509,Prefeitura de Niterói,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),26.9,4.0,0.0,44.8,0.0,0.0,0.0,24.3,0,0.0,2021,100.00,,,,,,,,,,,http://www.niteroi.rj.gov.br/pmus/#downloads
2025 Disclosure Cycle,779465,CDP,58413,"City of Carmel, IN",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,58489,Høje-Taastrup Municipality,City,Europe,Denmark,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),17,6,0,5,5,0,0,67,0,0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Passenger mode share data comes from The Danish National Travel Survey (https://www.man.dtu.dk/english/scientific-advice/the-danish-national-travel-survey).\n\nData is interview-based. Reports on municipal level are made with a 3-year average. For Høje-Taastrup Municipality the newest report are based on the years 2022-2024 with 4218 respondents travelling through the area of the municipality.\n\nMode share are based on trips who are either starting and/or ending inside the municipality. In that way it includes commuters working in the municipality (other surveys often only include citizens). But it does not include trips passing through the municipality.
2025 Disclosure Cycle,779465,CDP,58513,"City of Medford, MA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),5.3,2.0,0.0,16.5,0.0,0.0,0.9,61.0,,14.4,2021,100.10,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Data refers to commuting characteristics. 'Passenger mode share: other\' is work from home. Data on public transportation is not disaggregated by bus and rail.
2025 Disclosure Cycle,779465,CDP,58590,"City of Easton, PA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),10.0,3.0,0.0,2.0,0.0,0.0,0.0,70.0,0,15.0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,na
2025 Disclosure Cycle,779465,CDP,58595,Municipalidad de Belén,City,Latin America,Costa Rica,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),15.0,3.0,2.0,20.0,0.0,0.0,5.0,55.0,,0.0,2021,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Se actualizaron los aforos y estudios. 
2025 Disclosure Cycle,779465,CDP,58597,Municipalidad de La Unión,City,Latin America,Costa Rica,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),18.0,2.0,0.0,39.0,1.0,0.0,5.0,35.0,0,0.0,2021,100.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,58613,City of York Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),19,11,0,5,2,0,1,61,0,1,2021,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"York has been developing a Local Transport Strategy, and associated plans related to movement in the City. We'll develop a Movement and Place Plan which reallocates road-space to create safe and connected networks for walking, wheeling, cycling, public transport, cars and freight for residents, businesses and visitors alike As part of this process we will be collecting more up-to-date data on mode shares and data for freight mode share which is currently unavailable. Read more about the key themes of the local transport strategy here: https://www.york.gov.uk/LocalTransportStrategy"
2025 Disclosure Cycle,779465,CDP,58616,Vijayawada Municipal Corporation,City,India,India,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),17,8,42,22,0,0,10,1,0,0,2018,100.00,Freight mode share as share of trips (%),0,34,4,61,0,0,1,2021,100.00,"Based on the data provided by RTA Vijayawada, 2021"
2025 Disclosure Cycle,779465,CDP,58668,"City of New Bedford, MA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,N/A
2025 Disclosure Cycle,779465,CDP,58671,Helsingør Municipality,City,Europe,Denmark,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),32,9,0.0,3,3,0.0,0.0,52.0,,0.0,2023,99.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,58866,Beşiktaş Municipality,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,58871,"City of Salem, MA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),6.2,0.8,0,,6.3,0.0,4,63.2,,19.4,2023,99.90,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Data is from the American Community Survey, U.S. Census. Does not breakdown public transit between train, bus and ferry. Data is for work commutes, not transportation generally. \'Other\' includes \'work from home\'."
2025 Disclosure Cycle,779465,CDP,59151,City of Akureyri,City,Europe,Iceland,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),12,5.7,2,1.7,0.0,1.0,1.0,67.3,0,9.3,2020,100.00,Freight mode share as share of trips (%),2.0,25.0,25.0,47.0,0.0,1.0,0.0,2023,100.00,More precise measurements under development
2025 Disclosure Cycle,779465,CDP,59166,Municipalidad de Independencia,City,Latin America,Chile,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),30.4,7.8,0,12.3,10.1,0,4.1,33.5,0,1.8,2024,100.00,,,,,,,,,,,"Datos obtenidos de la Encuesta de Movilidad de Santiago 2024, realizada por el Centro de Desarrollo Urbano Sustentable, la Pontificia Universidad Católica de Chile y la Agencia Nacional de Investigación y Desarrollo."
2025 Disclosure Cycle,779465,CDP,59167,Municipalidad de Providencia,City,Latin America,Chile,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),30.0,30.0,10.0,10.0,15.0,0.0,0.0,5.0,0,0.0,2015,100.00,,,,,,,,,,,No se cuenta con el porcentaje de uso de taxis ni otros.
2025 Disclosure Cycle,779465,CDP,59532,"City of Hoboken, NJ",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),8.8,0.8,3.0,3.0,45.7,0.1,0.5,16.0,0,22.1,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The City has available 2020 data for the number of private vehicles, HOP busses (run by the municipality) and number of municipal vehicles. Hoboken plans to switch over all of our municipal vehicles to electric, by 2022. Additionally, the City completed a Hoboken Vision Zero Action Plan in March 2021. It focuses on near term recommendations to bring immediate improvements in traffic safety and make needed systemic changes. Many of the action items outlined in the plan can be implemented rapidly. Others are grounded in the understanding that it will take sustained commitment to traffic safety principles to bring about cultural, infrastructural, and policy changes that will be fundamental in realizing Vision Zero. The Action Plan represents feedback from over 2,200 people and the 18-member Vision Zero Task Force. See more here: https://www.vzhoboken.com/about22.1% of residents worked from home, and therefore did not commute in 2022."
2025 Disclosure Cycle,779465,CDP,59537,"City of Denton, TX",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),5.11,0.61,,0.3,,,,94.95,,,2023,100.97,,,,,,,,,,,"Mode share is calculated using 2023 Google EIE transportation data. Specifically it is the trip count for vehicle, biking, and walking. The vehicle trips could encompass taxis or shared vehicles however for the time being it is listed entirely as private motorized transport until the data becomes more granular with regards to mode. "
2025 Disclosure Cycle,779465,CDP,59538,"City of Mississauga, ON",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),4.0,0.0,0.0,9.0,2.0,0.0,1.0,83,1,0.0,2016,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"This is the latest dataset available, new survey data from 2023 is under review and will be reported once published. \n\nreference: http://www.transportationtomorrow.on.ca/"
2025 Disclosure Cycle,779465,CDP,59545,"City of Charlottesville, VA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),12.8,3,0.5,5.2,0.3,0,0.2,58.7,5.5,0.5,2023,86.70,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,https://censusreporter.org/data/table/?table=B08301&geo_ids=16000US5114968&primary_geo_id=16000US5114968 
2025 Disclosure Cycle,779465,CDP,59563,"City of Takoma Park, MD",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),3,2,0,10,20,0,1,51,10,3,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,59572,"District of Saanich, BC",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11,8,0.0,7,0.0,0.0,0.0,72,0,2,2021,100.00,,,,,,,,,,,"Updated data available every 5 years. Those noted as zero are not exactly zero, but we don't have data for them and the CDP questionnaire requires them to not be blank (used the 'other' section to combine the modes we do not have data for). We have a target to reduce private vehicle transport to 50% of trips by 2050. https://www.crd.bc.ca/docs/default-source/regional-planning-pdf/transportation/crd-2022-origin-destination-household-travel-survey-report.pdf?sfvrsn=5aec13ce_1"
2025 Disclosure Cycle,779465,CDP,59588,"Town of Chapel Hill, NC",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),8,3,0,7,0.0,0.0,0,55,0,27,2023,100.00,,,,,,,,,,,"The 2021 Climate Action and Response Plan has a goal of increasing the share of telework to at least 30% community-wide by 2040, and to help increase the percentage of trips not taken alone in a car to 35% by 2050. The data reported here come from the 2023 US Census American Community Survey and 27% \'worked from home.\'"
2025 Disclosure Cycle,779465,CDP,59609,"City of Concord, CA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,59633,"City of Santa Cruz, CA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),9.9,5.2,0.0,4.8,0.0,0.0,7.8,53,0,19.3,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"This 2023 mode share data for commuting trips reflects a large shift following COVID. Prior to the pandemic, we had seen huge gains in biking and walking mode shares, but these have been largely eaten up by the 1 in 5 trips that are now \'non trips\' (reflected here as \'Other\'). This is good from a climate standpoint (reduced emissions), but bad for our tracking mechanism as it does not reflect actual travel behavior (inconsistent data)."
2025 Disclosure Cycle,779465,CDP,59653,"City of Manhattan Beach, CA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),6,10,2,5,2,0,5,65,5,5,2021,105.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,59677,"City of Mountain View, CA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),1,3,0,2,0.0,0,0,88,0,6,2025,100.00,,,,,,,,,,,"The City began monitoring the number of vehicle trips at each of the three North Bayshore gateways (San Antonio Road, Rengstorff Avenue, and Shoreline Boulevard) in February 2014 as part of the North Bayshore Precise Plan (NBPP). This monitoring occurs in fall and spring of each year to ensure compliance with the maximum allowed number of trips during the peak period. Passenger mode share data does not include data on Micromobility or Rail/Metro/Tram. Freight mode share data is based on VMT data from our GHG inventory, and does not include VMT data for Motorcycle/Two Wheelers, Rail, or Water Transport. In addition, the City tracks Medium and Heavy Duty as one category, so these trips are all reported under the “Medium Goods Vehicle” category.” Data is from Spring 2025. "
2025 Disclosure Cycle,779465,CDP,59678,"City of Evanston, IL",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"We have mode share data for everything EXCEPT walking, biking, e-scooters (we have VMTs by emissions-producing sources, but do not calculate anything that does not produce emissions related to transportation). Autos are currently 87% of VMTs in Evanston. "
2025 Disclosure Cycle,779465,CDP,59696,"City of Longmont, CO",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),1.6,0.7,0,1.9,0.0,0.0,0.6,75.9,,19.4,2023,100.10,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The City used the American Community Survey, S0801, which provides commuting data instead of data for all transportation in the City. The survey combines all public transportation (does not separate out buses vs rail), however Longmont does not have rail or trains, so all public transportation is assumed to be buses. The data provided is based on mode split traveling to work, the City does not have data on full city transportation split. The other category above is those who worked at home. All of the data above has a margin of error and currently does not add to 100. We did not want to adjust the percentages provided by the census."
2025 Disclosure Cycle,779465,CDP,59708,"City of Bethlehem, PA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,59956,Banda Aceh City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),1,1,0.0,4.15,0,0.0,8.7,85.15,0,0,2024,100.00,,,,,,,,,,,"No transportation mode such as cycle, schooters, rail/metro and Feries/River Boats"
2025 Disclosure Cycle,779465,CDP,59957,Samarinda City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),0,0.6,0,0,0,0.48,1.92,,0,97,2024,100.00,,,,,,,,,,,"In daily travel, the majority of the population uses motorcycles for their activities, accounting for 68.66%, followed by cars at 28.35%, public minibuses at 1.08%, taxis at 0.84%, bicycles at 0.60%, and river-crossing boats at 0.48%. These transport modes support daily mobility, with 45.69% of trips made for work purposes. Shopping accounts for 23.44% of trips, family-related activities 13.40%, education 7.06%, leisure 5.74%, and other purposes 4.67%."
2025 Disclosure Cycle,779465,CDP,59958,Tweed Shire Council,City,South East Asia & Oceania,Australia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),3.4,0.7,0,0.7,0,0.0,0.0,93.0,,1.0,2021,98.80,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"From Census 2021 Journey to Work data. 14.5% worked at home, 12.1% did not go to work, 0.7% not stated"
2025 Disclosure Cycle,779465,CDP,59985,City of Puerto Princesa,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,N/A
2025 Disclosure Cycle,779465,CDP,59996,Batangas City,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),10,8,25,5,0,2,12,20,18,0,2023,100.00,,,,,,,,,,,"The data shows a growing preference for electric vehicles, reflecting a shift toward more sustainable and modern transport options. While private motorized transport and PUVs remain widely used"
2025 Disclosure Cycle,779465,CDP,59997,City of Iloilo,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),0,0,0,1.09,0,0,1.31,26.78,70.82,0,2014,100.00,,,,,,,,,,,This is according to a 2014 study by F.L.A.Sosuan and Alexis M. Fillone.
2025 Disclosure Cycle,779465,CDP,59998,Narayanganj City Corporation,City,India,Bangladesh,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),30,10,10,0,0,0.0,25,25,0,0,2023,100.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60007,City of Santa Rosa,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60009,Bacolod City,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,The Local Public Transport Route Plan of the city is still on the updating process. 
2025 Disclosure Cycle,779465,CDP,60019,Rajshahi City Corporation,City,India,Bangladesh,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60029,City of Cagayan de Oro,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),29,0,11,0.3,0,0,1.4,16,41.5,0.8,2018,100.00,,,,,,,,,,,"Cagayan de Oro City has a Transport Master Plan, 2022-2032. The plan was developed to provide a clear direction in achieving a balance, equitable, \nconnected, resilient, and sustainable transportation system. \n\nBased on the plan, the Household Interview Survey conducted in 2018, residents made approximately 1.3 million trips per day. These trips were made using different modes of transport. Among the different modes of transport, the walk and bike modes (29%) captured the highest share. It implies that people are willing to walk or bike a certain distance. This means that active mobility plays a significant role in the current travel behavior of the residents. \n\n\n"
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),7,6,,19,,,,37,31,,2018,100.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60078,City of Lappeenranta,City,Europe,Finland,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60097,City of Sarajevo,City,Europe,Bosnia and Herzegovina,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,No comment
2025 Disclosure Cycle,779465,CDP,60102,Blackpool Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11.15,0.84,0,1.71,0.56,0,3.38,82.37,0,0,2024,100.01,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60104,Cambridge City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),35,13.8,0,3.73,4.53,0,0,42.9,0,0,2023,99.96,,,,,,,,,,,Source: 2023 Google data: https://partnerdash.google.com/apps/environmental-insights/places/ChIJLQEq84ld2EcRIT1eo-Ego2M/transportation?a=191832566
2025 Disclosure Cycle,779465,CDP,60105,Kirklees Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),9,1.0,0.0,7,3,0.0,14,55,0,11,2022,100.00,Freight mode share as share of vehicle distance travelled (%),0.0,0.0,0.0,81,7,12,0.0,2022,100.00,"The Passenger information was taken from Kirklees mobility ways commuter information. The 'Other' includes those who work from home. The freight information was taken from the Department for Transport table code: TSGB0401. \n\nThe only data point now known is the \'passenger mode share: Informal / paratransit\', which has been put as 0 due to the dashboards requirement to have each cell filled. "
2025 Disclosure Cycle,779465,CDP,60108,Norwich City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60112,City of Debrecen,City,Europe,Hungary,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),15.7,4.3,1.4,19.9,11,0.0,0.4,36.2,0,11.1,2023,100.00,,,,,,,,,,,"Other means here: trolley bus/public transport (mixed), commuting"
2025 Disclosure Cycle,779465,CDP,60113,Dundee City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),25.3,1.7,0.0,6.5,1.9,0,0.9,62.7,0,0.9,2023,99.90,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,This information is national-level data from the annually published Transport and Travel in Scotland report which includes Scottish Household Survey transport data. Data can be found in Table TD2 of https://www.transport.gov.scot/media/shynlfxu/transport-and-travel-in-scotland-2023-travel-diary-tables.xlsx
2025 Disclosure Cycle,779465,CDP,60126,City of Tartu,City,Europe,Estonia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),21.5,8,3,21.5,,0,,46,,,2018,100.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,60127,Municipality of Thessaloniki,City,Europe,Greece,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),21.9,0.75,1,20.5,0,0,3.7,52.15,0,0,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Passenger data came from Hellenic Institute of Transport for the municipality
2025 Disclosure Cycle,779465,CDP,60140,City of Nakuru,City,UKWW,Kenya,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),30,0,43,0,0,0,2,5,20,,2021,100.00,,,,,,,,,,,"Passenger and freight mode share data has been included in this energy assessment and does not need to be deferred to future studies. According to the findings:\n\nPassenger Transport Mode Share (by number of trips):\nMotorcycles (boda bodas): 45%\nWalking: 30%\nMatatus and buses: 20%\nPrivate cars: 5%\n\nFreight Transport Mode Share (by number of trips):\nMotorcycles and pickups: 50%\nTrucks: 35%\nNon-motorized transport (e.g., handcarts): 15%\n\nThis data provides a valuable baseline for understanding mobility patterns in Nakuru County and should inform future planning around transport infrastructure, energy use, and emissions reduction strategies."
2025 Disclosure Cycle,779465,CDP,60142,City of Kisumu,City,UKWW,Kenya,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
