disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,11.1,Other: LILEE,"The underlying sub-regional fuel poverty data is available here: https://www.data.gov.uk/dataset/f3009590-2bc9-40d9-8dc3-571e6fddae45/fuel_poverty_sub-regional_statistics. There are 127,149 households in Newcastle, of which 14,044 households are classed as fuel poor, equating to 11.1% of households. "
2025 Disclosure Cycle,779465,CDP,13490,Northumberland County Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10.7,Other: Fuel poverty is measured using the Low Income Low Energy Efficiency (LILEE) indicator.,"Under LILEE, a household is considered to be fuel poor if:\nThey are living in a property with a fuel poverty energy efficiency rating of band D or lower \nAnd \nAfter spending the required amount to heat their home, they are left with a residual income that is below the official poverty line \nhttps://www.gov.uk/government/collections/fuel-poverty-statistics"
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,15.2,Other: (BEIS LILEE metric (see explanation in comment box)).,"The number of households in Nottingham that face fuel poverty is assessed using data from the Department for Energy Security and Net Zero (DESNZ), published in 2025. This data applies the LILEE (Low Income Low Energy Efficiency) metric, which defines a household as fuel poor if it lives in a property with a fuel poverty energy efficiency rating of Band D or below, and if heating the home adequately would leave the household with a residual income below the official poverty line.\nIt is important to note that there is a two-year data lag in reporting; therefore, the most recent available data reflects conditions in 2023. According to this dataset, 15.2% of households in Nottingham are considered to be in fuel poverty.\n"
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Knowledge of energy poverty is limited in Norway. A new research program has been established to gain more knowledge about the topic. For more information: https://prosjektbanken.forskningsradet.no/en/project/FORISS/336235?Kilde=FORISS&distribution=Ar&chart=bar&calcType=funding&Sprak=no&sortBy=date&sortOrder=desc&resultCount=30&offset=0&Geografi.2=B%C3%A6rum 
2025 Disclosure Cycle,779465,CDP,14136,Oxford City Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,11.7,Up to 10% of income spent on energy services,N/A
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,26,Other: 6%,"We are defining energy poverty and energy burden as households that spend more than 6% of their income on energy costs. Data for energy burden from the Oregon Department of Housing and Community Services, Affordable Housing Assessment. \n\nThe link to the web map application is here: https://geo.maps.arcgis.com/apps/webappviewer/index.html?id=b1b1281da227460ead0facfa7af7abea"
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10.9,Other: Government sub-regional fuel poverty data (Low Income Low Energy Efficiency (LILEE) fuel poverty metric),National fuel poverty statistics for Reading (https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-data-2025-2023-data)suggest 6772 households are in fuel poverty (there is a lag in the data (the latest data was published in 2025 relates to 2023). 
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0,Up to 10% of income spent on energy services,"Unfortunately we don't we have measured information on # households facing overall energy poverty. However, based on data from energy.gov's LEAD tool and census data (https://www.energy.gov/scep/slsc/lead-tool), we can surmise that the energy burden for the whole City is just 1%. We can further surmise that households within 0 - 30% of AMI are the only ones that have an energy burden above 4% (up to 8%) of income, and these households make up 15% of the total number of households in Seattle. \n\nWe also do not have customer income information (except for those customers currently enrolled in the Utility Discount Program (UDP)). Previous estimates have suggested that upwards of 90K customers would qualify for UDP, but that's only based on income and not energy burden or energy poverty. Additionally, while we don't have a codified threshold for what would constitute energy poverty, for our current energy equity rate pilot, geared toward reducing energy burdens, we're considering >4% of income spent on electricity to be energy burdened."
2025 Disclosure Cycle,779465,CDP,18078,Swale Borough Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,11.9,Up to 15% of income spent on energy services,The latest data regarding fuel/energy poverty are from 2022 and are published by Kent County Council. 
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"As informações disponíveis atualmente não permitem a quantificação confiável da pobreza energética no nível municipal mas é possível medir a vulnerabilidade à pobreza energética.\n\nTorres Vedras apresenta um Índice de Vulnerabilidade à Pobreza Energética para o Frio de 11,3 e para o Calor de 9,30\n\nO Índice de Vulnerabilidade à Pobreza Energética combina: 1) o cálculo da lacuna de desconforto térmico na estação de aquecimento usando modelagem de procura de energia e estatísticas de consumo de energia; 2) a capacidade de adaptação da população, integrando indicadores socioeconômicos como renda, desemprego, idade e educação.\nhttps://fireflyenergylab.com/energy-poverty/map\n\nO Município de Torres Vedras é parceiro, desde outubro de 2024, do projeto europeu LOCATEE, uma iniciativa apoiada pela Comissão Europeia através do programa LIFE+ que visa apoiar as autoridades locais no combate à pobreza energética nos seus territórios. (+Informação aqui: https://www.cm-tvedras.pt/artigos/detalhes/locatee-combate-a-pobreza-energetica-em-edificios-multifamiliares)\n\nEste projeto pretende desenvolver ferramentas e soluções que reforcem a cooperação entre autoridades locais, entidades de habitação e outros atores relevantes, com vista à melhoria da eficiência energética dos edifícios e à identificação de áreas prioritárias de investimento, com especial foco nos agregados em situação de vulnerabilidade.\n"
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,4.9,Up to 10% of income spent on energy services,2021 Census data reports on energy poverty across Canada by province. Census data shows that 4.9% of non-farm households in BC experience energy poverty. This is among the lowest across all provinces and territories.\nMore recent data on energy poverty specifically within the City of Vancouver's jurisdictional boundary is not available.\n\nSource: https://www150.statcan.gc.ca/n1/pub/46-28-0001/2024001/article/00001-eng.htm
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,4.4,Other: Denmark does not appear to have an official definition of energy poverty. Please see the comment for more information.,"The National Energy and Climate Plan lacks definitions, key indicators and targets to combat energy poverty. \n\nIn Denmark, energy poverty is mainly addressed through social policies. Households in a difficult economic situation may apply for financial assistance from municipalities as part of the Danish social security system. Targeted financial support is available for low-income pensioners to receive a reimbursement for heating-related expenses. Multiple programmes exist to improve the energy efficiency of housing. \n\nThe new EU energy efficiency directive will require member countries to have a definition and adress the issue, therefore Copenhagen is attempting to work on this issue in a coordinated way with the national government if possible. \n\nCopenhagen is covered almost 100% by district heating, and according to the Danish Heat Supply law, utilities are required to choose the cheapest energy source whenever they make an investment. District heating is therefore the cheapest heat supply option. The city is working to keep a district heating coverage close to 100% through the climate plan. See for example: https://www.kk.dk/sites/default/files/agenda/9d967322-92f7-4e9c-892e-3ed6a62a9eee/bd8e07b4-01d6-4233-a9d1-f92bdd5185a3-bilag-2.pdf; https://www.kk.dk/sites/default/files/agenda/80713a4c-1ae1-42f0-95aa-e67228ade379/587bf2a7-8734-4260-a59a-65097c1e6609-bilag-2.pdf; \nhttps://www.kk.dk/dagsordener-og-referater/Teknik-%20og%20Milj%C3%B8udvalget/m%C3%B8de-30092024/referat/punkt-5. \n\nThe city does not measure energy poverty. Figures reported here are national for 2024. Data source: https://energy-poverty.ec.europa.eu/epah-indicators"
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,9,Up to 10% of income spent on energy services,"A household is regarded as being in fuel poverty if they are unable to keep their home warm at a reasonable cost. In Wales, this is measured as any household that would have to spend more than 10% of their income on maintaining a satisfactory heating regime. Any household having to spend more than 20% is defined as being in severe fuel poverty. A household needing to spend between 8 and 10% is classed as being at risk of fuel poverty (i.e. they are susceptible to relatively small changes in income or energy costs). \n\nData estimate obtained from: https://www.gov.wales/fuel-poverty-interactive-dashboard \n"
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,25.0,Up to 10% of income spent on energy services,"The Fuel Poverty (Targets, Definition and Strategy) (Scotland) Act, passed in 2019, sets statutory targets for fuel poverty. The Act defines fuel poverty for a household as being where the fuel costs necessary for the home to meet a reasonable condition of heat are more than 10% of the households adjusted net income.\n\nIn Glasgow, fuel poverty rates were around 25% of households in 2019 (source: Scottish House Condition Survey: 2017-2019) however, due to cost of living / energy crisis this figure is now likely to be higher. \n\nDue to the COVID-19 pandemic, the Scottish House Condition Survey have not been able to collate information as expected; therefore we won't have access to a more recent dataset until 2026 when fuel poverty rates at a local authority level are next expected to be be released."
