disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,54670,Prefeitura Municipal de Capivari,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,54676,Prefeitura Municipal de Ponta Grossa,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,54693,Prefeitura Municipal de Ribeirão Preto,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"O município ainda não elaborou o e a análise riscos e vulnerabilidades, portanto, esses valores ainda não são quantificados."
2025 Disclosure Cycle,779465,CDP,55161,City of Iida,City,Japan,Japan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,電力、水道等に関し、希望者が提供を受けられるインフラが整備されており、エネルギー貧困は推定されない
2025 Disclosure Cycle,779465,CDP,55180,City of Shizuoka,City,Japan,Japan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,55324,Municipality of Guimarães,City,Europe,Portugal,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,18.9,Up to 10% of income spent on energy services,"Os dados considerados o para avaliar a pobreza energética no Município têm uma escala nacional. Com base na perspetiva formada pela perceção empírica, assume-se que estes valores são conservadores. Desde modo, nos dados divulgados a 6 de janeiro de 2020 pelo Eurostat, O Indicador refere-se às condições económicas para manter as casas devidamente aquecidas, sendo que cerca de 19% dos portugueses estão em situação de pobreza energética.Os dados podem ser encontrados em: https://ec.europa.eu/eurostat/web/products-eurostat-news/-/DDN-20200106-1?inheritRedirect=true&redirect=%2Feurostat%2F"
2025 Disclosure Cycle,779465,CDP,55325,Municipality of Águeda,City,Europe,Portugal,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"Até ao momento a informação atual disponível não permite a quantificação fidedigna do número de residências em pobreza energética para o nível do município.Não existem métricas que permitam aferir com clareza este indicador.Não se conhece com exatidão o n.º de fogos / residências habitacionais em Águeda.Os dados de rendimentos médios e consumos médios podem ser consultados, contudo não representam de forma adequada o cenário solicitado.Segundo pode ser consultado na página de internet do Instituto Nacional de Estatística e Censos (INE), 17,4% da população portuguesa não tem rendimentos suficientes para manter a sua residência adequadamente aquecida ou refrigerada.Pode também ser consultado no site desta entidade (Portal do INE ) que o valor de rendimento considerado limiar de pobreza para Portugal é de 6.653,00€, pelo que, considerando os rendimentos brutos declarados dos sujeitos passivos por Localização geográfica (NUTS- 2013) e Quintis de rendimento, informado pelo INE (consultar quadro anexo) os valores indicados para limiar de pobreza aproxima-se ao valor dado para o primeiro quintil, encontrando-se localizado entre o primeiro e o segundo quintil, colocando mais de 20% da população em situação de pobreza económica.O valor médio de despesa global com energia apresentado pelo INE para 2020, para o setor doméstico, é de 1.900,00€, o qual segundo o informe corresponde a cerca de 20% das despesas por alojamento, nas quais cerca de 70% corresponde a eletricidade. Este valor é 28,55% do valor considerado limiar de pobreza. Para Águeda, e considerando a distribuição dos rendimentos brutos por quintis (2.º quintil - 8573,00€) e que o consumo energético corresponde a cerca de 20% das despesas dos alojamentos em Portugal, temos que, segundo a informação apresentada em dezembro de 2021 (anexa), e cruzando com os quintis de rendimentos brutos, mais de 40% da população de Águeda vê-se localizada no grupo em que os seus rendimentos brutos ficam aquém dos valores para os quais a despesa energética corresponde a 20% ou menos do auferido."
2025 Disclosure Cycle,779465,CDP,55334,Municipality of Braga,City,Europe,Portugal,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,1,Up to 5% of income spent on energy services,"O Município de Braga lançou a 2ª edição do Programa Municipal de Combate à Pobreza Energética, em parceria com a Associação Empresarial de Braga (AEB). Este programa visa melhorar a eficiência energética e o conforto térmico das residências, oferecendo até 2.500€ por projeto, com um orçamento total de 500 mil euros até o final de 2024. Na 1ª edição, houve 419 manifestações de interesse, mas apenas 199 candidaturas foram aprovadas devido ao limite orçamental. As intervenções incluem a substituição de janelas, instalação de bombas de calor, sistemas solares, painéis fotovoltaicos, e isolamento térmico. Com o dobro das manifestações de interesse em relação ao número de beneficiários abrangidos, o programa foi ampliado para ser anual e permanente, visando atender todos os potenciais beneficiários. O critério de elegibilidade principal é possuir habitação própria permanente e ser beneficiário da tarifa social de eletricidade.\n\nEste programa destaca-se como uma estratégia essencial para reduzir a pobreza energética em Braga, abrangendo diretamente as famílias mais vulneráveis."
2025 Disclosure Cycle,779465,CDP,55468,"City of Thousand Oaks, CA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,N/A
2025 Disclosure Cycle,779465,CDP,55800,"City of Cambridge, MA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,3.7,Up to 10% of income spent on energy services,"This data is for rental properties in buildings with less than 50 residential units in Cambridge. Results show that for 'all rental' energy burden exists for 3.7%, but for 'low-income' renters this number jumps to 9.5%."
2025 Disclosure Cycle,779465,CDP,55801,"City of West Palm Beach, FL",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"The City currently doesn't have a defined threshold for energy poverty and therefore has no concrete method of measuring energy poverty. However, the City does track the areas of the county that have average incomes at or below the poverty line and use this data in tandem with energy data throughout the city to estimate what percentage of income is being spent on energy services (electricity). This helps the City identify methods to assist families with their bills and to also identify ways to source electricity from other methods (ex: using the PACE Program for residents in the area.) The City is starting to collect all necessary data and utilizing all resources (ex: DOE LEAP Tool, ) to calculate and define energy poverty in the coming years. "
2025 Disclosure Cycle,779465,CDP,56276,New Taipei City Government,City,China,East Asia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,1.16,Other: Calculated based on the number of low-income and lower-middle-income households.,"As of the first quarter of 2025, there were a total of 46,924 individuals classified as low-income or lower-middle-income in New Taipei City, accounting for 1.16% of the total population. Due to limited financial resources, basic electricity expenses represent a relatively high proportion of their household income. To address this issue, the Social Affairs Bureau conducts needs assessments on household appliances and provides subsidies for energy-efficient appliances to help reduce the electricity burden of energy-poor households.\n\nDefinition of Low-Income Households:\nRegistered or actual residents of New Taipei City whose average total household income does not exceed NT$16,000 per person per month, and whose total family-owned real estate assets do not exceed NT$4.2 million.\n\nDefinition of Lower-Middle-Income Households:\nRegistered or actual residents of New Taipei City whose average total household income does not exceed NT$24,000 per person per month (the minimum cost of living), and whose total family-owned real estate assets do not exceed NT$6.3 million."
2025 Disclosure Cycle,779465,CDP,57347,Pingtung County Government,City,China,East Asia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.0,Up to 10% of income spent on energy services,Energy poverty percentage in Taiwan: 0.06%Electricity price is comparatively cheap in Taiwan and Tai-power company also provides subsidy for low-income family to release their burden.Data source: https://www.thenewslens.com/article/157251
2025 Disclosure Cycle,779465,CDP,57408,Çanakkale Municipality,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,6.5,Up to 10% of income spent on energy services,"In our jurisdiction, energy poverty is primarily defined based on the \'10% income threshold\', where households that spend more than 10% of their income on energy needs (electricity, heating, cooking fuel, etc.) are considered energy poor.\n\nAdditionally, national surveys conducted by TÜİK (Turkish Statistical Institute) identify energy poverty through self-reported inability to adequately heat homes or difficulty in paying energy bills.\n\nDue to the lack of a localized, granular dataset, Çanakkale Municipality uses these national indicators and definitions as a proxy to estimate energy poverty levels within the city.\n\nBased on available demographic and national indicators, it is estimated that between 6,500 and 13,000 households (or approximately 18,000 to 36,000 people) in Çanakkale may be affected by energy poverty, representing 10% to 20% of the total population or household base."
2025 Disclosure Cycle,779465,CDP,57509,Prefeitura de Niterói,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Não estimado\n
2025 Disclosure Cycle,779465,CDP,58413,"City of Carmel, IN",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,58489,Høje-Taastrup Municipality,City,Europe,Denmark,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"Based on insights from the referenced report, “Private boligejere med lave indkomster” (Transition ApS, Dec 2021), several reasons support our confident assessment:\n\nLow number of households spending over 10 % of income on energy\nThe qualitative study defines energy poverty as households spending more than 10 % of their income on heating. While a few low-income respondents in the study did meet this threshold, the majority did not.\n\nThe data show that very few households approach this level, and many benefit from stable incomes, good insulation, and affordable heating systems—making energy poverty highly unlikely.\n\nThe study focuses on owner-occupied households with low income. Even within this group, several interviewees had significant home equity or savings, supporting renovation investments or reliably covering energy expenses.\n\nIn our municipality, such financial resilience is more widespread, given strong local property values and prudent household planning, further reducing risk.\n\nAlthough the study highlights a lack of awareness and barriers to accessing energy support—such as complex subsidy requirements or upfront costs—Høje-Taastrup has proactively promoted and facilitated energy renovation support programs (e.g., energy-efficient upgrades)."
2025 Disclosure Cycle,779465,CDP,58513,"City of Medford, MA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,58590,"City of Easton, PA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,17.9,Other: We assume those classified as below the poverty line are also energy poverty so apply the same percentage,None
2025 Disclosure Cycle,779465,CDP,58595,Municipalidad de Belén,City,Latin America,Costa Rica,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.0,Up to 5% of income spent on energy services,"De acuerdo con el estudio Belén Sostenible realizado en el 2020 con más de 157 indicadores, se determinó que no hay pobreza energética en el cantón de Belén y que todos cuentan con el servicio. "
2025 Disclosure Cycle,779465,CDP,58597,Municipalidad de La Unión,City,Latin America,Costa Rica,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,58613,City of York Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,12.6,Up to 10% of income spent on energy services,"Annual Fuel Poverty Statistics in England, 2025 (2024 data). Yorkshire and Humber Data Proportion of total fuel poor households (%)https://www.gov.uk/government/statistics/fuel-poverty-detailed-tables-2025-2024-data "
2025 Disclosure Cycle,779465,CDP,58616,Vijayawada Municipal Corporation,City,India,India,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No city level information available on energy poverty.
2025 Disclosure Cycle,779465,CDP,58668,"City of New Bedford, MA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,9,Other: A household with 6% or greater energy burden is considered to be a high energy burden household,https://www.energy.gov/scep/slsc/lead-tool
2025 Disclosure Cycle,779465,CDP,58671,Helsingør Municipality,City,Europe,Denmark,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,0,Other: Not an issue,"It is not currently a known issue within the jurisdiction. However, if more energy crises were to occur in the future, it could become a relevant topic. The subject has not been thoroughly researched in Denmark, as it has not traditionally been a common issue.\n\nFollowing the energy crisis in 2022 in Europe and Denmark, marked by great uncertainty and very high energy prices, there has been significantly increased political focus in Denmark on becoming self-sufficient in terms of energy. This is driven both by security policy concerns and the ambition to reduce CO₂ emissions.\n\nIf this trend continues, the likelihood of energy poverty occurring in Denmark in the future will decrease further."
2025 Disclosure Cycle,779465,CDP,58866,Beşiktaş Municipality,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"There is a lack of detailed data regarding energy poverty in the Beşiktaş district. To properly assess energy poverty, essential data such as the number of households and areas without access to energy are needed, but this information has not been obtained. However, data on the number of households receiving coal assistance within Beşiktaş have been provided, which can be used as an indicator to assess energy poverty.\n\nThe households receiving coal aid in Beşiktaş indicate that fossil fuel use still persists and that these households may be at risk of experiencing energy poverty. In neighborhoods such as Ortaköy, Abbasağa, and Vişnezade, a small number of households receive coal aid, and the use of traditional stoves suggests these households may face difficulties accessing modern energy systems.\n\nWhile fossil fuel use is decreasing overall in Beşiktaş, improving access to renewable energy remains crucial. It has been emphasized that to combat energy poverty, it is important to eliminate fossil fuel use entirely and accelerate the transition to renewable energy sources. Beşiktaş Municipality has several projects aimed at promoting sustainable energy solutions in this regard.\n\nIn conclusion, households receiving coal assistance in Beşiktaş can be considered as potentially experiencing energy poverty. However, a more comprehensive analysis is required to fully evaluate the overall energy poverty situation in the district. Issues related to access to energy and economic inequalities have not been fully identified.\n\nNo specific threshold or official criterion has been used to define and measure energy poverty in Beşiktaş. Therefore, the available data on households facing energy poverty is limited, and a more thorough investigation is necessary."
2025 Disclosure Cycle,779465,CDP,58871,"City of Salem, MA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,3,Up to 5% of income spent on energy services,na
2025 Disclosure Cycle,779465,CDP,59151,City of Akureyri,City,Europe,Iceland,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.0,Up to 5% of income spent on energy services,Energy poverty not existing
2025 Disclosure Cycle,779465,CDP,59166,Municipalidad de Independencia,City,Latin America,Chile,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,La cantidad de vivienda sin energía es menor a 50.
2025 Disclosure Cycle,779465,CDP,59167,Municipalidad de Providencia,City,Latin America,Chile,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No se estima la pobreza energética
2025 Disclosure Cycle,779465,CDP,59532,"City of Hoboken, NJ",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"As part of the Community Solar Program, the City and Hoboken Housing Authority entered into a Shared Services Agreement for the Community Solar Program to benefit HHA residents. Community Solar savings will be placed into an HHA Community Solar Fund that will go toward an energy/sustainability project with direct community benefit. Exact statistics are not available at this time. See more here: https://www.hobokennj.gov/resources/community-solar "
2025 Disclosure Cycle,779465,CDP,59536,"City of Kitchener, ON",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,19,Other: 6% of income spent on energy services,"Regional data (includes the cities of Cambridge, Kitchener and Waterloo, townships of North Dumfries, Wellesley, Wilmot and Woolwich). Reporting year 2022."
2025 Disclosure Cycle,779465,CDP,59537,"City of Denton, TX",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,59538,"City of Mississauga, ON",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,12,Other: up to 6% of income spent on energy services,"The city of Mississauga is updating the climate change action plan. Part of the plan will focus on estimating the percentage population within the jurisdiction that face energy poverty. According to Efficiency Canada 12% of Ontario households are experiencing energy poverty, https://www.efficiencycanada.org/energy-poverty-in-canada/"
2025 Disclosure Cycle,779465,CDP,59545,"City of Charlottesville, VA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"https://communitypartnerships.github.io/community-wellbeing/charlottesville-key-outcomes.html#housing-renters-and-owners This Community Wellbeing Profile indicates that a significant percentage of Charlottesville households are rent burdened, which can be related to energy poverty. "
2025 Disclosure Cycle,779465,CDP,59563,"City of Takoma Park, MD",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,59572,"District of Saanich, BC",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,15.0,Other: 6%,We follow the definition used by the Canadian Urban Sustainability Practitioners' Network based on the work of Dr. Maryam Rezaei. Home energy cost burdens are measured as the percentage of total after-tax household income spent on home heating and electricity. Most Canadians spend less than 3 per cent of after-tax income on energy for their homes. Households that spend double than the average (or 6%) are considered to be energy burdened. More information: https://energypoverty.ca/. 
2025 Disclosure Cycle,779465,CDP,59588,"Town of Chapel Hill, NC",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"We have not been able to obtain the utility and socioeconomic data within our corporate boundary to estimate energy poverty. The Census Bureau estimates that about 20% of Chapel Hill residents live below the poverty line, which can serve as an indicator for energy poverty. This means that roughly 5,000 households in Chapel Hill may be experiencing energy poverty. Based on a 2019 study from the University of North Carolina's Convergence research center, energy cost as percentage of income relative to the poverty level shows that energy poverty can range from 6.30% to 30.20% (range: 185-199% to below 50% of federal poverty level income). This suggests that it may be more than 5,000 households in Chapel Hill that are facing energy poverty. "
2025 Disclosure Cycle,779465,CDP,59609,"City of Concord, CA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,59633,"City of Santa Cruz, CA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,24.0,Up to 10% of income spent on energy services,From building electrification roadmap analysis
2025 Disclosure Cycle,779465,CDP,59653,"City of Manhattan Beach, CA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,59678,"City of Evanston, IL",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"At this time, we do not have a report on household energy poverty."
2025 Disclosure Cycle,779465,CDP,59696,"City of Longmont, CO",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Staff will explore this metric in a future Sustainability Plan update. The City does currently track the minimum wage hours needed to afford energy bill: https://indicators.longmontcolorado.gov/indicators/1718
2025 Disclosure Cycle,779465,CDP,59708,"City of Bethlehem, PA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,59956,Banda Aceh City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.0,Up to 10% of income spent on energy services,"The average monthly electricity bill can vary greatly depending on the level of consumption and the electricity tariff. For instance, one snippet mentions that the cost of electricity for a specific category (R-1/TR for 900 VA) is around Rp 1,352.00 per kWh"
2025 Disclosure Cycle,779465,CDP,59958,Tweed Shire Council,City,South East Asia & Oceania,Australia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,7,Other: Over 10% of annual household income spent on electricity,
2025 Disclosure Cycle,779465,CDP,59985,City of Puerto Princesa,City,South East Asia & Oceania,Philippines,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,9.0,Up to 5% of income spent on energy services,None
2025 Disclosure Cycle,779465,CDP,59996,Batangas City,City,South East Asia & Oceania,Philippines,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,1.33,Up to 5% of income spent on energy services,Those 5 barangays in Isla Verde has limited access to electricity. They rely on gas powered generator and majority just don't have.
2025 Disclosure Cycle,779465,CDP,59998,Narayanganj City Corporation,City,India,Bangladesh,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,35,Up to 15% of income spent on energy services,
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0,Up to 5% of income spent on energy services,100% of population or households has access to electricity\n\n
2025 Disclosure Cycle,779465,CDP,60007,City of Santa Rosa,City,South East Asia & Oceania,Philippines,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,60019,Rajshahi City Corporation,City,India,Bangladesh,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,20,,
2025 Disclosure Cycle,779465,CDP,60029,City of Cagayan de Oro,City,South East Asia & Oceania,Philippines,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Conclusive data and clear basis to measure energy poverty is not present within the available data of the LGU
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,60078,City of Lappeenranta,City,Europe,Finland,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,2.6,Other: Share of households unable to keep their home adequately warm.,National level data
2025 Disclosure Cycle,779465,CDP,60097,City of Sarajevo,City,Europe,Bosnia and Herzegovina,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No comment
2025 Disclosure Cycle,779465,CDP,60102,Blackpool Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,14.4,Other: LILEE,"Fuel poverty statistics for the North West Region are 14.4% for 2023, whilst the most recent Blackpool figure is 20.2% in 2021."
2025 Disclosure Cycle,779465,CDP,60105,Kirklees Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,18.1,"Other: LILEE indicator - If they are living in a property with a fuel poverty energy efficiency rating of band D or below and when they spend the required amount to heat their home, they are left with a residual income below the official poverty line.","Energy poverty measured using UK Government Sub-regional Fuel Poverty in England, 2024 (2022 data) - Fuel poverty in England is now measured using the Low Income Low Energy Efficiency (LILEE) indicator rather than the old Low Income High Costs (LIHC) indicator. Under the LILEE indicator, a household is considered to be fuel poor if:- they are living in a property with a fuel poverty energy efficiency rating (FPEER) of band D or below and- their disposable income (income after housing costs (AHC) and energy needs) would be below the poverty line (The poverty line being defined as an equivalised disposable income of less than 60% of the national median).There are 3 important elements in determining whether a household is fuel poor:- household income- household energy requirements - fuel prices. For the city/municipal boundary the 33185 households facing fuel poverty represents 18.1% of the total households, which is just over average for the UK. Data: https://assets.publishing.service.gov.uk/media/663a29608603389a07a6d1b4/2024_Sub-Regional_Tables_Final.xlsx \n"
2025 Disclosure Cycle,779465,CDP,60113,Dundee City Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,31.4,Up to 10% of income spent on energy services,Data source: https://statistics.gov.scot/data/fuel-poverty-shcs
2025 Disclosure Cycle,779465,CDP,60126,City of Tartu,City,Europe,Estonia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,60127,Municipality of Thessaloniki,City,Europe,Greece,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"According to Hellenic Statistic Authority, in Greece 17.1% of the households cannot afford proper heating and 28.2% are facing difficulties with the utility bills. There is no specific assessment for the jurisdiction area."
