disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of households with access to safely managed drinking water services,col3_Percentage of households with access to safely managed sanitation services,col4_Household water consumption (litres/capita/day),col5_Comment
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,City,Europe,Norway,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,96,141,"The percentage of routine water analyzes with good hygienic water quality was 100% in the first quarter of 2024. The information is based on reporting carried out by Bergen Water, which is responsible for the water and sewage services in Bergen municipality. The answer for the proportion of households with access to safely administered sanitary services shows the proportion of residents in Bergen who are connected to municipal sewage services. The figure must therefore not be interpreted directly as the proportion of Bergen's residents with access to safely administered sanitary services, as the figure will probably be quite a bit higher. The statistics are taken from Statistics Norway.\n\nURL: https://www.ssb.no/statbank/table/13144/tableViewLayout1/\n\nThe data for average household water consumption in litres per capita per day comes from official statistics from Statistics Norway. The data show estimated average household consumption per associated resident per day (l/person/day) (litres).\n\nURL: https://www.ssb.no/statbank/table/11787/tableViewLayout1/"
2025 Disclosure Cycle,779465,CDP,54509,Jönköping Municipality,City,Europe,Sweden,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,90,86,,The figures refer to connections to the municipal network. Other properties most likely have their own sewer or well.
2025 Disclosure Cycle,779465,CDP,54513,Uppsala Municipality,City,Europe,Sweden,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,132,"Ca 12 000 properties get their water from a privately or cooperatively owned well (generally mountain bored wells) not owned by the municipality, with regulations on how much water can be used. The owner has the responsibility of following the regulations of the Swedish food agency. Of drinking water provided by the municipality, about 75% is for the households (ca 210 000 inhabitants), 15% for the industry, and the rest for schools and restaurants etc."
2025 Disclosure Cycle,779465,CDP,54516,Norrköping Municipality,City,Europe,Sweden,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,91,91,203,Consumption from public water services - water consumption from industries is also included (litres/capita/day)
2025 Disclosure Cycle,779465,CDP,54518,City of Helsingborg,City,Europe,Sweden,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100,90.57,138,The percentage of households with access to safely managed sanitation service is a national average. percentage with access to safely managed drinking water and households water consumption are local data. 
2025 Disclosure Cycle,779465,CDP,54519,Lund Municipality,City,Europe,Sweden,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100.0,,,
2025 Disclosure Cycle,779465,CDP,54529,City of Leicester,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100,98.1,137.6," - Drinking water access data is 2022 UK-wide figure from World Bank development indicators: https://data.worldbank.org/indicator/SH.H2O.SMDW.ZS\n - Safe sanitation data is 2022 UK-wide figure from UK SDG reporting: https://sdgdata.gov.uk/6-2-1/\n - Water consumption data is 22/23 financial year figure for local water company Severn Trent, taken from 2024 ESG databook: https://www.severntrent.com/sustainability-strategy/reports-and-publications/"
2025 Disclosure Cycle,779465,CDP,54530,City of Brighton & Hove,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,127.2,Data from Southern Water Annual Report which provides water and waste water services in Brighton & Hove: https://www.southernwater.co.uk/media/o4tlu4gf/srn-2024-25-annual-performance-report-1-copy.pdf Water industry target is to reduce water consumption per capita to 100 litres / day by 2040.
2025 Disclosure Cycle,779465,CDP,54537,Sunderland City Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,140.0,"Northumbrian Water (NW) is responsible for supplying Sunderland with water. Sunderland is covered in its entirety by the Kielder Resource Zone (WRZ).\n\nWater supply in North East England is particularly resilient to future climate change, due to the Kielder Reservoir, and it is expected that the WRZ will be in a supply surplus up to the end of the current Northumbrian Water Resources Management Plan (WRMP) period. This means that there is widespread citywide access to safely managed drinking water and sanitation services.\n\nWithin the Kielder WRZ, average per capita consumption is currently 140l/person/day. Northumbrian Water aims to achieve a household consumption of 110l/household/day by 2050.\n\nThe Northumbrian Water Resources Management Plan 2021-2025 aims to reduce leakage by 15% between 2020 and 2025, and a further 10% over each subsequent 5-year periods through to 2045. In addition, the WRMP aims to annually reduce per capita water consumption by 0.12l/head/day (0.33 Ml/day) by delivering water efficiency activities. This will not only improve water resource efficiency and security but will also save both the company and residents money.\n\nNorthumbrian Water received a three-star rating (good company) on an Environmental Performance Assessment for 2023 by the Environment Agency.\n\nNorthumbrian Water aim to build on their three-star rating and have more than £700 million of investment planned in their current Business Plan period 2020-2025. Northumbrian Water launched their 'Improving the Water Environment' scheme, where Northumbrian Water will help to deliver improvements to water quality among other areas.\n\nThese targets include but are not specific to Sunderland; they relate to the wider region aligned to the geographic remit of Northumbrian Water."
2025 Disclosure Cycle,779465,CDP,54608,Alcaldia de Montería,City,Latin America,Colombia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services,,100,,"Según la operadora Veolia Aguas de Montería, el servicio de agua potable beneficia a más de 119 000 viviendas, alcanzando una cobertura efectiva del 100 % en la zona urbana del municipio\nDe acuerdo con datos oficiales del DANE (estudio año 2017), la cobertura del acueducto en zonas rurales de Montería se estimó en 71 %\n\nUtilizando poblaciones del DANE:\n\nZona urbana: ~402 069 personas\n\nZona rural: ~114 148 personas → focalizamos en viviendas, pero se aplica proporcionalmente a cobertura de hogares.\n\nCalculamos cobertura global aproximada:\n(402 069×1,0) + (114 148×0,71) / (402 069+114 148) ≈ (402 069+81 083) / 516 217 ≈ 94,3%\n\nEn Montería, se estima que aproximadamente el 94 % de las viviendas tiene acceso al servicio de agua potable gestionado, con cobertura plena en la zona urbana y brechas evidentes aún en áreas rurales.\n"
2025 Disclosure Cycle,779465,CDP,54617,Alcaldia de Pereira,City,Latin America,Colombia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,90,,5,
2025 Disclosure Cycle,779465,CDP,54637,Alcaldía de Cuenca,City,Latin America,Ecuador,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,79.15,,,"Las redes de distribución de Agua Potable alcanzan una cobertura del 97,85% en el área Urbana y del 88% en el área Rural."
2025 Disclosure Cycle,779465,CDP,54638,Prefeitura de Louveira,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,170,
2025 Disclosure Cycle,779465,CDP,54647,Prefeitura de Jundiaí,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,99.65,98.79,155.51,"Jundiaí é uma das melhores cidades do Brasil quando o assunto é esgoto. Atualmente, 98,81% da população urbana e rural é atendida com redes de esgoto e 100% do que é coletado é tratado, sendo devolvido à natureza com 96% de eficiência em remoção DBO. Além disso, o principal resíduo do tratamento, o lodo de esgoto, é transformado num fertilizante orgânico, de uso seguro na agricultura.\nA Companhia de Saneamento de Jundiaí, concessionária privada, construiu e opera desde 1998 a principal estação de tratamento de esgoto da cidade, a ETE Jundiaí. "
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,80.19,165,"Os dados são de 2022. Praticamente 100% da área urbana possuem água tratada.Em relação ao esgoto, vale ressaltar que 100% do esgoto coletado é tratado."
2025 Disclosure Cycle,779465,CDP,54651,Prefeitura de Santo André,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,165.84,"O consumo residencial de água em Santo André é de 165,84 litros per capita/dia, valor calculado com base nos dados de consumo total do município e em projeções populacionais. Esta estimativa reflete o padrão de consumo atual e considera as perdas na rede de distribuição, que na região do ABC Paulista atingem aproximadamente 30%, conforme identificado em estudos regionais. A previsão refere-se ao ano de 2023 e está alinhada com as métricas do Sistema Nacional de Informações sobre Saneamento (SNIS). Santo André reconhece que o acesso à água, saneamento e higiene (ASH) pode afetar diferentemente grupos vulneráveis, incluindo questões de gênero. Embora não exista atualmente um programa específico voltado exclusivamente para desigualdades de gênero em ASH, sabemos que a concessionária de Serviços de Saneamento (Sabesp), mantém políticas universais de acesso à água potável e esgotamento sanitário, que beneficiam toda a população, incluindo mulheres e crianças. Além disso, iniciativas como tarifa social e programas de educação ambiental em escolas e comunidades visam mitigar desigualdades socioeconômicas que podem ter recorte de gênero. Não foi possível obter projeções formais de consumo de água junto à Sabesp (empresa responsável pelo abastecimento na região) em tempo hábil para inclusão neste reporte. O município de Santo André reconhece a importância destes dados para o planejamento de longo prazo e buscará formalizar canais de cooperação para compilar estas informações em futuras atualizações."
2025 Disclosure Cycle,779465,CDP,54667,Prefeitura Municipal de Contagem,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,88.49,80.43,332.7,Dados extraídos de: http://www.atlasbrasil.org.br/perfil/municipio/311860#sec-habitacao\n\nhttps://cidades.ibge.gov.br/brasil/mg/contagem/pesquisa/30/84366\n
2025 Disclosure Cycle,779465,CDP,54670,Prefeitura Municipal de Capivari,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100,99,,"99% da população é atendida com coleta e afastamento do esgoto, mas apenas 33% deste é tratado atualmente."
2025 Disclosure Cycle,779465,CDP,54674,Prefeitura Municipal de Caxias do Sul,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,92,70,,
2025 Disclosure Cycle,779465,CDP,54676,Prefeitura Municipal de Ponta Grossa,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,93.03,100,2470280000,
2025 Disclosure Cycle,779465,CDP,54693,Prefeitura Municipal de Ribeirão Preto,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,99.74,99.0,240.11, Dados SNIS
2025 Disclosure Cycle,779465,CDP,54699,Prefeitura Municipal de Barueri,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,99,86,202,supply of drinking water and sewage provided by SABESP (concession)
2025 Disclosure Cycle,779465,CDP,55161,City of Iida,City,Japan,Japan,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,99.3,97.5,265.3,[安全に管理された飲料水サービス][安全に管理された衛生サービス]飯田市上下水道の概況（令和5年度版）より　給水人口普及率は99.3％、汚水処理人口普及率は97.4％　水消費量は有収水量/人口/日数
2025 Disclosure Cycle,779465,CDP,55180,City of Shizuoka,City,Japan,Japan,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,98,88.3,347,
2025 Disclosure Cycle,779465,CDP,55324,Municipality of Guimarães,City,Europe,Portugal,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,98.4,93.5,106.9,"Ano: 2024\nConsumo Faturado Doméstico (m3/ano)= 5.432.677\nClientes Domésticos (nº)= 64.172\nConsumo por alojamento (m3/aloj/ano)= 84,7\nConsumo por alojamento (m3/aloj/dia)= 232,1\n"
2025 Disclosure Cycle,779465,CDP,55325,Municipality of Águeda,City,Europe,Portugal,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,99.0,82.0,11069.0,"A AdRA - Águas da Região de Aveiro, S.A, é a entidade gestora do sistema público de abastecimento de água nos municípios de Águeda, Albergaria-a-Velha, Estarreja, Ílhavo, Murtosa, Oliveira do Bairro, Ovar, Sever do Vouga e Vagos.Enquanto entidade gestora, tem a responsabilidade de controlar a qualidade da água fornecida em conformidade com as normas legalmente estabelecidas, assegurando a sua potabilidade e a sua salubridade.A AdRA garante ao consumidor, o direito de receber água própria para o consumo humano, 24 horas por dia, 365 dias por ano.A qualidade da água pode ser consultada selecionando no mapa o município que pretende.AdRA - Mapa de Abastecimento de ÁguaA este respeito ainda referir que no portal do Instituto Nacional de Estatísticas pode ser consultado também a água segura (em %) por localização geográfica (incluíndo escala do município), correspondendo a valores de 100% em 2019 e 99,91% em 2020.No portal do INE pode ser consultado (atualização abril de 2021) os dados referentes a “Proporção de alojamentos servidos por abastecimento de água (%), por localização geográfica (NUTIII). Dados abertos, em que os indicadores, anos, e escala a incluir nos quadros podem ser alterados consoante as necessidades do utilizador (https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&indOcorrCod=0009604&xlang=pt&contexto=bd&selTab=tab2) Bem como % de alojamento servido por serviços de saneamento público.O INE permite também a consulta de consumo per capita a escala municipal, por habitante e por ano (40,4m3/hab/ano= 110,69 litros/dia) (https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&indOcorrCod=0009604&xlang=pt&contexto=bd&selTab=tab2)"
2025 Disclosure Cycle,779465,CDP,55334,Municipality of Braga,City,Europe,Portugal,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100,128,"Em 2024, toda a população d cidade de Braga estava servida por uma rede de abastecimento de água e rede de saneamento de águas residuais ou saneamento. "
2025 Disclosure Cycle,779465,CDP,55468,"City of Thousand Oaks, CA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100,100,100,"The City's water utility does not have demographic data needed to consider gender equality in water, sanitation, and hygiene. The population growth rate between 2020 and 2045 for the water service area was estimated at approximately 13 percent. This baseline is considered appropriate as per capita demands are not expected to change substantially going forward due to long-term conservation efforts that are ongoing and planned within the City and statewide. A linear growth rate for demands was assumed through 2045. Demands by water use sector were calculated based on average proportions of total water demands that each sector has historically made up. Those proportions have stayed relatively constant over the last ten years and are assumed to remain similar over the planning period. 2025 2030 2035 2040 2045 Single family 6,902 7,077 7,252 7,427 7,602 Multi-family725 743 761 780 798 Commercial 1,199 1,229 1,260 1,290 1,320 Landscape 1,403 1,439 1,474 1,510 1,546 Other 7 7 7 7 7 System Losses 455 467 478 490 501 Total 10,691 10,962 11,233 11,504 11,775"
2025 Disclosure Cycle,779465,CDP,55800,"City of Cambridge, MA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100,100.0,,There are no currently reported households that do not have access to drinking water services or sanitation services. Large multifamily buildings are required to procure private services for sanitation and waste management. 
2025 Disclosure Cycle,779465,CDP,55801,"City of West Palm Beach, FL",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,308,"The City of West Palm Beach's Public Utilities Department affirms that public water supply and wastewater collection systems cover 100% of all buildings within city limits. \n\n In CY 2024, the City of West Palm Beach reported 8,635,586 ccf or 6,459,418,328 gallons of total water use, residential water use is 4,923429 or 3,682,724,892 gallons. It is 57 % of the total water consumption. With a population of 124,148 people, the City of West Palm Beach water comsumption totals to 29,664 gallons of water annualy per capita or 81.3 gallons or 308 liters per capita a day."
2025 Disclosure Cycle,779465,CDP,56276,New Taipei City Government,City,China,East Asia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,97.96,,307,The percentage of households with access to safe drinking water is calculated by dividing the actual number of people in the water supply service area (as provided by the Taipei Water Department) by the total population of the administrative district.\n\nThe data source for household water consumption is the Annual Report of the Water Resources Agency.\n\n
2025 Disclosure Cycle,779465,CDP,57347,Pingtung County Government,City,China,East Asia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services,,99.0,,News Link: https://www.water.gov.tw/dist13/Subject/Detail/90440?nodeId=7686
2025 Disclosure Cycle,779465,CDP,57408,Çanakkale Municipality,City,UKWW,Türkiye,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,99,,,"The majority of households within Çanakkale Municipality have access to safely managed drinking water and basic sanitation services. The municipal water system provides continuous access to safe drinking water for approximately 99% of households, meeting national quality and safety standards.\n\nRegarding sanitation, around 92-94% of households in urban and peri-urban areas are connected to the municipal sewage network. Households in rural or remote areas typically rely on individual septic tanks or similar systems, which are monitored periodically.\n\nWater consumption per capita is estimated at around 160 liters per person per day, based on billing data from the municipal water utility. Efforts to promote water efficiency and reduce losses in the distribution system are ongoing.\n\nWhile water access data is publicly available through local and national sources, data on sanitation and consumption is available internally but not publicly published."
2025 Disclosure Cycle,779465,CDP,57509,Prefeitura de Niterói,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100.0,,,"todos as residências tem acesso a serviços de água potável gerenciados com segurança, entretanto dos 515.317 habitantes do ano de 2020, apenas 492.396 tem acesso ao esgotamento sanitário, totalizando 95% da população total. http://app4.mdr.gov.br/serieHistorica/#"
2025 Disclosure Cycle,779465,CDP,58413,"City of Carmel, IN",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,58489,Høje-Taastrup Municipality,City,Europe,Denmark,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,,103,This is not a problem in our municipality
2025 Disclosure Cycle,779465,CDP,58513,"City of Medford, MA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,58590,"City of Easton, PA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100,,,None
2025 Disclosure Cycle,779465,CDP,58595,Municipalidad de Belén,City,Latin America,Costa Rica,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100.0,99.0,,"Sólo se cuenta con tres plantas de tratamiento a nivel del gobierno local, a nivel privado se cuenta con más pero no se tienen datos exactos de eso. Y la mayoría de las casas cuenta con tanques sépticos en funcionamiento. El 71% tiene tanque séptico, 19% alcantarillado sanitario, 9% planta de tratamiento. "
2025 Disclosure Cycle,779465,CDP,58597,Municipalidad de La Unión,City,Latin America,Costa Rica,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report|Data is available for the percentage of households with access to safely managed drinking water services,91.0,,,"Con base en el informe de COBERTURA Y CALIDAD DEL AGUA PARA USO Y CONSUMO HUMANO SUMINISTRADA POR MUNICIPALIDADES Y LA ESPH EN EL 2021, recibido en el segundo trimestre se evidenció el cumplimiento del Reglamento para la calidad del Agua Potable. Con base en ese informe, se demostró que La Unión es uno de los gobiernos locales que suministran agua potable al 100%"
2025 Disclosure Cycle,779465,CDP,58613,City of York Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100,100,125.7,"Information from Yorkshire Water, York's regional water supplier \'Performance level - actual\n(2024-25)\' Litres/Capita/Day https://www.yorkshirewater.com/about-us/reports/\nand page 60 of https://www.yorkshirewater.com/media/wogc0ejj/annual-performance-report-2024-2025.pdf"
2025 Disclosure Cycle,779465,CDP,58616,Vijayawada Municipal Corporation,City,India,India,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100,100,156,As per the data provided by the Vijayawada Municipal Corporation.
2025 Disclosure Cycle,779465,CDP,58668,"City of New Bedford, MA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,178.0,2021 analysis: 47 Gallons per capita day
2025 Disclosure Cycle,779465,CDP,58671,Helsingør Municipality,City,Europe,Denmark,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100,100,100,Household water consumption is based on national average data collected in 2023
2025 Disclosure Cycle,779465,CDP,58866,Beşiktaş Municipality,City,UKWW,Türkiye,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,58871,"City of Salem, MA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,189.27,"Household water consumption data comes from DEP-approved performance standards for Massachusetts public water suppliers as of 9/3/25. Note: 31% UAW \n\nUnaccounted for Water (UAW) is the percent of water that cannot be accounted for by the PWS. UAW may be due to water loss through leaks (actual losses), differences between master meter and service meter totals (paper losses), and/or unmetered municipal uses such as firefighting. "
2025 Disclosure Cycle,779465,CDP,59151,City of Akureyri,City,Europe,Iceland,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100,,,"All households have access to the same sources of safely managed drinking water, as every household is linked to the central drinking water system."
2025 Disclosure Cycle,779465,CDP,59166,Municipalidad de Independencia,City,Latin America,Chile,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,620,"Datos de Superintendencia de Servicios Sanitarios, 2023"
2025 Disclosure Cycle,779465,CDP,59167,Municipalidad de Providencia,City,Latin America,Chile,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,El consumo residencial equivale al 59% del consumo de la comuna y corresponde a aproximadamente 14.126.527 metros cúbicos por año (año referencia 2018)
2025 Disclosure Cycle,779465,CDP,59532,"City of Hoboken, NJ",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100,100.0,,"The City of Hoboken's water supply comes from the Jersey City Reservoir at Boonton and the Split Rock Reservoir in RockawayTownship, NJ. All water operations are conducted by Suez. All sanitation services are performed by the North Hudson Sewerage Authority and City. "
2025 Disclosure Cycle,779465,CDP,59536,"City of Kitchener, ON",City,North America,Canada,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100,100,206.89,2021 data
