disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of households with access to safely managed drinking water services,col3_Percentage of households with access to safely managed sanitation services,col4_Household water consumption (litres/capita/day),col5_Comment
2025 Disclosure Cycle,779465,CDP,18078,Swale Borough Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,99.44,84.72,165.02,"Fonte: Relatório de Atividades de 2024 dos SMAS de Torres Vedras\nhttps://www.smastv.pt/files/documents/ra_2024_am_final.pdf\n\nHousehold water consumption: 165,02\n3447275m3\nCensos 2021: 83 072 habitantes\n\n\n"
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,384,"The figure is for all of the Metro Region, not only Vancouver. According to Metro Vancouver site: \'The average day per capita water use indicator describes the average annual daily volume of potable water supplied by Metro Vancouver, divided by the serviced population, in a calendar year. Average daily water demand is less sensitive to prevailing weather conditions in any given year and, over longer periods of time, is influenced by trends in conservation and water use efficiency. \' There are supply risks as a result of reduced snowpack in winter and lower than expected levels in reservoirs, exacerbated by longer, hotter summers. At current rates of water consumption, this could cause water stress in terms of availability and accessibility. Action to address risk include the Clean Water Program, which will expand water conservation programs across all consumer sectors and all City facilities and parks, with a goal to reduce city water consumption per-capita to 260L by 2028, as well as continuing programs include hydrant leak detection improvements (projected annual savings of $200,000 and 2 million litres of water), and water efficiency retrofits in City-owned buildings. See: https://metrovancouver.org/about-us/dashboards/water/per-capita-water-use"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100,100,99,n/a
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,134.8,Average for the Severn Trent region 
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,No data is available for this section to be completed.
2025 Disclosure Cycle,779465,CDP,31054,Belfast City Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,95,82.0,145.0,Source - NI Water 
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,99.99,99.99,,No comments
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,375.7,Based on annual citywide water consumption (potable water for residential & commercial) for 2023 / population.
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100,100.0,141,Household water consumption figures are sourced from our two water retailers Greater Western Water and South East Water. \n\nThis consumption figure is slightly higher than pre-COVID datasets
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,97.32,,249,Data % households with access from 2024 ACEA data (confidential) \nData WATER CONSUMPATION from 2022 Roma Capitale Statistic Office database at https://www.comune.roma.it/web/it/roma-statistica-ambiente1.page
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100.0,99.7,221,安全に管理された飲料水サービスを利用可能な世帯の割合：「東京都の水道」（令和6年版）各種統計数値P13\nhttps://www.hokeniryo.metro.tokyo.lg.jp/documents/ d/hokeniryo/2025-04-23-094136-016\n安全に管理された衛生サービスを利用可能な世帯の割合：公益社団法人日本下水道協会ホームページ\nhttps://www.jswa.jp/sewage/qa/rate/\n東京都HP　リットル/人/日の単位で家庭での平均水消費量に関するデータ：もっと知りたい水道のこと\nhttps://www.waterworks.metro.tokyo.lg.jp//faq/qa-14#2
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,96.96,96.92,281,"Data are retrieved from:https://www.wra.gov.tw/News_Content.aspx?n=2945&s=7417, https://www.wra.gov.tw/News_Content.aspx?n=2945&s=7414"
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,293,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/suido-gesui/suido/suidoujigyou/jigyogaiyou.files/0145_20241022.pdf
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,194,
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,99,91,260,"According to the Johannesburg Water 2024/25 Business Plan, the City has made substantial progress in extending access to basic water and sanitation services, though challenges remain in certain areas.\nAccess to safely managed drinking water: Approximately 99% of households in Johannesburg have access to safely managed drinking water. This includes piped water inside dwellings, yards, or from a community standpipe within 200 metres. This near-universal coverage highlights the City's success in providing reliable water services across its jurisdiction. \nAccess to safely managed sanitation services: Around 91% of households have access to safely managed sanitation facilities, including flush toilets connected to the sewer system, septic tanks, or ventilated improved pit latrines. However, the remaining 9% represents a significant service backlog, particularly in informal settlements where infrastructure is less developed\n\nHousehold water consumption: On average, households in Johannesburg consume 260 litres per person per day (l/c/d). This is relatively high by global urban standards, placing pressure on the city's limited water resources. Managing demand through efficiency measures and reducing system losses are therefore key priorities."
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,315,Treated water volumes from Toronto Water flow meters. Population data for household water consumption from Statistics Canada
2025 Disclosure Cycle,779465,CDP,31146,Addis Ababa City Administration,City,UKWW,Ethiopia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,100,121.29,The municipality of Athens is provided with water by the Athens Water Supply and Sewerage Company (EYDAP S.A.). Further information can be found in its annual report: https://www.eydap.gr/userfiles/Presentations/presentations/EYDAP_SustainableDevelopment_2023.pdf and also on the data provided by the City of Athens on the 2022 Climate Action Plan (p.13).
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,,Source: National Statistical Office
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,,
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,98.41,97.83,183,Información del año 2024
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,543,"El valor informado corresponde a la dotación de agua aportada por la empresa \'AySA\' a todos sus clientes de la Región Metropolitana de Buenos Aires y no solo a la Ciudad de Buenos Aires informado en su Informe de Sostenibilidad (AySA, 2023). La dotación de agua es la cantidad de agua asignada a cada habitante, considerando todos los consumos de los servicios y las pérdidas físicas que existen en cualquier sistema de distribución."
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100,100,169.77,Dados: SINISA 2024
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,202,"(A) Provided daily average water amount in 2024 is 3,172,186,000 L.\n\n(B) Population of Istanbul in 2024 is 15,701,662.\n\nHousehold water consumption = A / B ~ 202 L/per capita/day\n\nNumbers taken from ISKI's Annual Report 2024 can be reached by this link: https://hizmetler.iski.gov.tr/ekitap/faaliyet_raporu_2024/"
