disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total quantity of food procured (tonnes),col2_Breakdown of procured food by food group,col3_Year data applies to,col4_Comment
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,1797.9,"1. En el marco de la estrategia de crear espacios de comercialización (mercados campesinos). El total de toneladas alimentos frescos que se comercializaron en el año 2023 fue de 764.9 Ton: - Frutas: 382,26\nGranos y cereales: 0,52\nHongos comestibles: 6.29\nOtros productos frescos: 0,18\nTubérculos, raíces y plátanos: 141\nVerduras y hortalizas: 234,69\n\n2. La SDDE-DERAA sirve como vehículo de crecimiento para las asociaciones campesinas a través de los encadenamientos para la comercialización con los diferentes aliados públicos y privados (estrategia compras públicas) y el uso de la plataforma logística los Luceros para el acopio y distribución de los productos, esto permite que la última milla sea un proceso amigable para nuestra ciudad reduciendo los problemas de movilidad. El total de alimentos que se comercializaron durante el 2023 fue de 1033 Ton:\nArroz: 573.6 \nAbarrotes: 231,7\nVerduras, tubérculos, chocolate, huevos y frutas: 227,8\n\n",2023,"No se cuenta con información para el 2024. De la información actualmente disponible para el año 2023 se relaciona lo siguiente:\n\n1. Mercados campesinos: Son un esquema de circuitos cortos de comercialización de bienes y servicios agropecuarios, cuyo objetivo es facilitar el encuentro sin intermediarios entre productores de la ruralidad bogotana y de la región con los consumidores del Distrito Capital.\n\n2. La Secretaría Distrital de Desarrollo Económico sirve como vehículo de crecimiento de las asociaciones campesinas a través del uso de la Plataforma Logística Los Luceros (PLL), mediante un objeto vinculante como lo son los Memorandos de Entendimiento, y acta de entrega de espacios como lo son las bahías para que desde allí se realice principalmente un proceso de cross docking; el que consiste en la llegada del alimento a la PLL desde las regiones en las cuales se tienen asociados; posterior a ello se genera el alistamiento, empaque y distribución de los productos que se comercializan con los diferentes aliados públicos y privados con los que se han generado relación comercial.\n"
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,33817,"Los tipos de alimentos considerados son:- Lácteos- Carnes (vacuna y pollo)- Verduras- Tuberculos- Cereales- Frutas- Grasas- Alimentos procesados (galletas dulces, pan, etc.)-Legumbres",2023,"Los alimentos considerados corresponden a aquellos servidos en escuelas públicas y en hogares de niños, adultos y otros centros comunitarios de la Ciudad de Buenos Aires. Además, se incluyen 36.000.000 raciones entregadas a Centros de Primera Infancia(CPI) creados por decreto 306/09 y a efectores propios de los Programas a cargo de la Dirección General de la Mujer, Dirección General de Niñez y Adolescencia y Dirección General de Políticas Sociales en Adicciones, dependientes de la Subsecretaría Fortalecimiento Personal, Familiar y Comunitario del Ministerio de Desarrollo Humano y Hábitat."
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,23230,"Média anual de alimentos adquiridos/ distribuídos pelo Município. \n\nMerenda Escolar: 21.700 t/ano (média) - estimativa com base em 54,2 milhões de refeições/ano x 400g/refeição (peso médio)\n\nBanco de Alimentos: 400 t/ano (1.600 t entre 2020-2024: média de 400t/ano)\n\nPrograma Câmbio Verde: 600 t/ano (55 t/mes x 12 meses: 600 t/ano)\n\nRestaurantes Populares: 530 t/ano média ( 1,3 milhão refeições/ ano x 400g/refeição (peso médio) \n\n",2024,"O município de Curitiba adquire e distribui, em média, cerca de 23 mil toneladas de alimentos por ano em suas instalações e programas públicos, incluindo escolas municipais (merenda escolar), Restaurantes Populares, Banco de Alimentos e o programa Câmbio Verde. A maior parte desse volume refere-se à alimentação escolar, responsável por aproximadamente 21,7 mil toneladas anuais, seguida pelo Câmbio Verde (660 t/ano), Banco de Alimentos (400 t/ano) e Restaurantes Populares (530 t/ano). Esses números refletem o esforço da cidade em garantir segurança alimentar, com destaque para a oferta regular de hortifrutis, grãos e proteínas para a população em idade escolar e em situação de vulnerabilidade."
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,29896.437,"The average amount of \'meat\' consumed per person in our institution throughout 2022 is \'20.75 kilograms/year\'. The average consumption of \'dairy\' products per capita in our institution during 2022 is \'5.88 kilograms/year\'. In 2022, \'20 million meals\' were served as an institution. Average \'calorie\' consumption per person in 2022 is \'1100 kcal\'.",2022.0,"This value (quantity of food procured) consists of 8 of service buildings', 110 of external directorates' and 8 of Fire Station's dining hall. IMM served food to 6,496,426 people/employees in 2022."
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,810,No data available,2024,"Except for the university canteens, there is no data collection in unit of tonnes available. Only the number of meals were counted. Total number of meals at the university canteens 2024:1.752.617 (approx. 810 tonnes) \nTotal number of meals in municipal canteens in 2024: 51.287 \nTotal number of meals in municipal kindergardens only available for 2023: 258.778\nTotal number of meals in public schools 2024: 614.000 \nThe tendering process for the four public secondary schools in Heidelberg has now been successfully completed. Since 1 September 2024, certain product groups and food components in subsidised school lunches must be exclusively organic in order to ensure an organic content of 50 per cent. The organic content has also been gradually increased in the 18 primary schools. Depending on the caterer, this is also up to 50 per cent. This also applies to meals in municipal kindergardens."
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,Tidak ada data yang relevan untuk pertanyaan ini.,,TIdak ada data yang relevan untuk pertanyaan ini.
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,0,,Data not available
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,NA,,NA
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,No data available
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,2990,Se adjunta el desgloce de los alimentos usados en los 3 programas alimentarios de la municipalidad\n\n- Programa Vaso de Leche\n- Programa Hambre Cero ,2022,"Para el año 2023, no hay un dato exacto de alimento de la cantidad de alimentos adquiridos por la municipalidad, sien embargo, se conoce que se destinaron alimentos a 2,174 ollas comunes, así mismo, durante este año se designó un presupuesto de 2,135,690.48 soles para la adquisición de alimentos para programas sociales. "
