disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Installed capacity (MW)^,"col2_If you have no installed capacity data to report, please select a notation key to explain why^",col3_Annual generation (MWh)^,"col4_If you have no generation data to report, please select a notation key to explain why^",col5_Year data applies to,col6_Comment
2025 Disclosure Cycle,779465,CDP,50664,Municipality of Almada,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0,Not Occurring (NO),0,Not Occurring (NO),2025,not occuring or negligible
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,15.7,Not Occurring (NO),,Not Estimated (NE),2024,"Valores municipais para a capacidade instalada fornecida pela E-REDES, entidade responsável pela distribuição de energia elétrica em Portugal: https://e-redes.opendatasoft.com/pages/transicao_energetica_por_concelho/?refine.con_name=Matosinhos"
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,,Not Estimated (NE),,Not Estimated (NE),2024,"Não é possível estimar a quantidade de energia solar térmica gerada em todo o território. Para isso, seriam necessários dados de todos os tipos de edifícios, incluindo edifícios residenciais privados."
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,8140,,14.928,,2023,Valores nacionais e não apenas do limite de jurisdição. Em Portugal não existem estes dados para os limites de jurisdição.
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,5809,,13.157,,2023,Valores nacionais e não apenas do limite de jurisdição. Em Portugal não existem estes dados para os limites de jurisdição.
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),772,,3.066,,2023,Valores nacionais para a biomassa e o biogás e não apenas do limite de jurisdição. Em Portugal não existem estes dados para os limites de jurisdição.
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,34,,0.206,,2023,Valores nacionais e não apenas do limite de jurisdição. Em Portugal não existem estes dados para os limites de jurisdição.
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,89,,0.456,,2023,Dados associados aos Resíduos Sólidos Urbanos como fonte de energia. Valores nacionais e não apenas do limite de jurisdição. Em Portugal não existem estes dados para os limites de jurisdição.\nDados nacionais provenientes de: https://www.dgeg.gov.pt/pt/estatistica/energia/publicacoes/estatisticas-rapidas-das-renovaveis/\nDados nacionais provenientes dos Quadros 1 e 4 do ficheiro excel de 2023: https://www.dgeg.gov.pt/pt/estatistica/energia/publicacoes/estatisticas-rapidas-das-renovaveis/
2025 Disclosure Cycle,779465,CDP,50674,Municipality of Viseu,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,7.93,,,Not Estimated (NE),2023,
2025 Disclosure Cycle,779465,CDP,50674,Municipality of Viseu,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,50674,Municipality of Viseu,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,13.9,,,Not Estimated (NE),2021,
2025 Disclosure Cycle,779465,CDP,50674,Municipality of Viseu,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,12.3,,,Not Estimated (NE),2021,
2025 Disclosure Cycle,779465,CDP,50674,Municipality of Viseu,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),15,,,Not Estimated (NE),2021,
2025 Disclosure Cycle,779465,CDP,50674,Municipality of Viseu,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,,Not Estimated (NE),,Not Estimated (NE),2021,
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,,Not Estimated (NE),0.226,,2019,"O município de Évora produziu inventários de energia renovável produzida localmente relativos aos anos de 2019, 2013 e 2009 (ano base) no âmbito da iniciativa Pacto dos autarcas apresentados no documento anexado na pergunta 3.1.1. "
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,0.4,,500,Not Estimated (NE),2024,\n
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0,Not Estimated (NE),0,Not Estimated (NE),2024,"The absence of comprehensive data can be primarily attributed to limitations in governmental reporting mechanisms. Unfortunately, there has been a significant lack of detailed and consistent data collection at the local and national levels, particularly concerning small-scale domestic production. In many cases, these smaller, decentralised systems, such as domestic solar energy production, are not sufficiently monitored or accounted for within broader city-wide or national energy statistics.\n\nMoreover, the production in question is of a small-scale, decentralised nature, predominantly occurring at the domestic level. This form of production often escapes inclusion in larger datasets, as governmental bodies have not yet established adequate frameworks to track or integrate these contributions into official records. Consequently, despite its potential significance, this form of production remains largely unaccounted for, contributing to the data gaps we currently face.\n\n"
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0,Not Estimated (NE),0,Not Estimated (NE),2024,"The absence of comprehensive data can be primarily attributed to limitations in governmental reporting mechanisms. Unfortunately, there has been a significant lack of detailed and consistent data collection at the local and national levels, particularly concerning small-scale domestic production. In many cases, these smaller, decentralised systems, such as domestic solar energy production, are not sufficiently monitored or accounted for within broader city-wide or national energy statistics.\n\nMoreover, the production in question is of a small-scale, decentralised nature, predominantly occurring at the domestic level. This form of production often escapes inclusion in larger datasets, as governmental bodies have not yet established adequate frameworks to track or integrate these contributions into official records. Consequently, despite its potential significance, this form of production remains largely unaccounted for, contributing to the data gaps we currently face.\n\n"
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0,Not Estimated (NE),0,Not Estimated (NE),2024,"The absence of comprehensive data can be primarily attributed to limitations in governmental reporting mechanisms. Unfortunately, there has been a significant lack of detailed and consistent data collection at the local and national levels, particularly concerning small-scale domestic production. In many cases, these smaller, decentralised systems, such as domestic solar energy production, are not sufficiently monitored or accounted for within broader city-wide or national energy statistics.\n\nMoreover, the production in question is of a small-scale, decentralised nature, predominantly occurring at the domestic level. This form of production often escapes inclusion in larger datasets, as governmental bodies have not yet established adequate frameworks to track or integrate these contributions into official records. Consequently, despite its potential significance, this form of production remains largely unaccounted for, contributing to the data gaps we currently face.\n\n"
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0,Not Occurring (NO),0,Not Estimated (NE),2024,"The absence of comprehensive data can be primarily attributed to limitations in governmental reporting mechanisms. Unfortunately, there has been a significant lack of detailed and consistent data collection at the local and national levels, particularly concerning small-scale domestic production. In many cases, these smaller, decentralised systems, such as domestic solar energy production, are not sufficiently monitored or accounted for within broader city-wide or national energy statistics.\n\nMoreover, the production in question is of a small-scale, decentralised nature, predominantly occurring at the domestic level. This form of production often escapes inclusion in larger datasets, as governmental bodies have not yet established adequate frameworks to track or integrate these contributions into official records. Consequently, despite its potential significance, this form of production remains largely unaccounted for, contributing to the data gaps we currently face.\n\n"
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0,Not Occurring (NO),0,Not Estimated (NE),2024,"The absence of comprehensive data can be primarily attributed to limitations in governmental reporting mechanisms. Unfortunately, there has been a significant lack of detailed and consistent data collection at the local and national levels, particularly concerning small-scale domestic production. In many cases, these smaller, decentralised systems, such as domestic solar energy production, are not sufficiently monitored or accounted for within broader city-wide or national energy statistics.\n\nMoreover, the production in question is of a small-scale, decentralised nature, predominantly occurring at the domestic level. This form of production often escapes inclusion in larger datasets, as governmental bodies have not yet established adequate frameworks to track or integrate these contributions into official records. Consequently, despite its potential significance, this form of production remains largely unaccounted for, contributing to the data gaps we currently face.\n\n"
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0,Not Occurring (NO),0,Not Estimated (NE),2024,"The absence of comprehensive data can be primarily attributed to limitations in governmental reporting mechanisms. Unfortunately, there has been a significant lack of detailed and consistent data collection at the local and national levels, particularly concerning small-scale domestic production. In many cases, these smaller, decentralised systems, such as domestic solar energy production, are not sufficiently monitored or accounted for within broader city-wide or national energy statistics.\n\nMoreover, the production in question is of a small-scale, decentralised nature, predominantly occurring at the domestic level. This form of production often escapes inclusion in larger datasets, as governmental bodies have not yet established adequate frameworks to track or integrate these contributions into official records. Consequently, despite its potential significance, this form of production remains largely unaccounted for, contributing to the data gaps we currently face.\n\n"
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,0,Not Estimated (NE),6785.74,,2023,Holy Cross is 7% solar
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0,Not Estimated (NE),0,Not Estimated (NE),2023,n/a
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0,Not Estimated (NE),35280.4,,2023,Aspen Electric is 46% hydropower\nHoly Cross Energy is 3% hydro 
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0,Not Estimated (NE),83829.2,,2023,Aspen Electric is 53% wind\nHoly Cross is 48% wind 
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0,Not Estimated (NE),4581.31,,,Holy Cross is 4% biomass
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0,Not Estimated (NE),0,Not Estimated (NE),2023,n/a
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0,Not Estimated (NE),0,Not Estimated (NE),2023,n/a
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,,Not Estimated (NE),,Not Estimated (NE),,"Local generation of renewable energy is not yet recorded. Renewable energy is only considered within the provincial grid electricity mix, as reported by the Independent Electricity System Operator (IESO) for Ontario"
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,,Not Estimated (NE),,Not Estimated (NE),,"Local generation of renewable energy is not yet recorded. Renewable energy is only considered within the provincial grid electricity mix, as reported by the Independent Electricity System Operator (IESO) for Ontario"
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,,Not Estimated (NE),,Not Estimated (NE),,"Local generation of renewable energy is not yet recorded. Renewable energy is only considered within the provincial grid electricity mix, as reported by the Independent Electricity System Operator (IESO) for Ontario"
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,,Not Estimated (NE),,Not Estimated (NE),,"Local generation of renewable energy is not yet recorded. Renewable energy is only considered within the provincial grid electricity mix, as reported by the Independent Electricity System Operator (IESO) for Ontario"
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),,Not Estimated (NE),,Not Estimated (NE),,"Local generation of renewable energy is not yet recorded. Renewable energy is only considered within the provincial grid electricity mix, as reported by the Independent Electricity System Operator (IESO) for Ontario"
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,,Not Estimated (NE),,Not Estimated (NE),,"Local generation of renewable energy is not yet recorded. Renewable energy is only considered within the provincial grid electricity mix, as reported by the Independent Electricity System Operator (IESO) for Ontario"
2025 Disclosure Cycle,779465,CDP,53829,"City of Kingston, ON",City,North America,Canada,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,,Not Estimated (NE),,Not Estimated (NE),,"Local generation of renewable energy is not yet recorded. Renewable energy is only considered within the provincial grid electricity mix, as reported by the Independent Electricity System Operator (IESO) for Ontario"
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,19.32,,37047.21,,2024,We received solar capacity data from our utilities and we calculated the generation internally.
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0,Not Occurring (NO),0,Not Occurring (NO),,not applicable
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0,Not Occurring (NO),0,Not Occurring (NO),,not applicable
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0,Not Occurring (NO),0,Not Occurring (NO),,not applicable
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0,Not Occurring (NO),0,Not Occurring (NO),,not applicable
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0,Not Occurring (NO),0,Not Occurring (NO),,not applicable
2025 Disclosure Cycle,779465,CDP,53921,"City of Tempe, AZ",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0,Not Occurring (NO),0,Not Occurring (NO),,not applicable
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,0,Not Estimated (NE),0,Not Estimated (NE),2022,Electric utility is an investor-owned utility not city-owned so data was not available at time of reporting.
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0,Not Occurring (NO),0,Not Occurring (NO),2022,No known installations within boundary
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,42.4,,174920,,2022,"Three dams operate within the jurisdiction boundary. Two owned by the local utility Avista, and one owned by the City of Spokane.\n\nAvista:\n- Upper Falls Hydroelectric Development (10MW)\n- Monroe Street Hydroelectric Development (14.8MW)\n\nCity of Spokane:\n- Upriver Hydroelectric Dam (17.6 MW)"
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0,Not Occurring (NO),0,Not Occurring (NO),2022,No known installations within boundary
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0,Not Estimated (NE),0,Not Estimated (NE),2022,Data sources are unknown
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0,Not Occurring (NO),0,Not Occurring (NO),2022,No known installations within boundary
2025 Disclosure Cycle,779465,CDP,54029,"City of Spokane, WA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,26,,130201,,2022,Waste-to-Energy generation from municipal solid waste
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,9.7,,8781,,2022,"Capacity data is estimated since the City and LPC do not have access to data on all renewable energy generated in-boundary, but data represents all solar interconnections approved by the LPC as of 2022.\nGeneration data is estimated based on total consumption and generation mix provided by City's LPC for CY2022.\n"
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,,Not Estimated (NE),,Not Estimated (NE),,Likely included in Solar PV totals. The City and LPC do not have access to data on all renewable energy generated in-boundary.\n
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,,Not Estimated (NE),348205,,2022,Capacity data is not available since the City and LPC do not have access to data on all renewable energy generated in-boundary.\nGeneration data is estimated based on total consumption and generation mix provided by City's LPC for CY2022.
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,,Not Estimated (NE),61070,,2022,Capacity data is not available since the City and LPC do not have access to data on all renewable energy generated in-boundary.\nGeneration data is estimated based on total consumption and generation mix provided by City's LPC for CY2022.
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),,Not Estimated (NE),5915,,2022,Capacity data is not available since the City and LPC do not have access to data on all renewable energy generated in-boundary.\nGeneration data is estimated based on total consumption and generation mix provided by City's LPC for CY2022.
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,,Not Estimated (NE),,Not Estimated (NE),,The City and LPC do not have access to data on all renewable energy generated within our boundary.
2025 Disclosure Cycle,779465,CDP,54048,"City of Knoxville, TN",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,,Not Estimated (NE),1381027,,2022,Represents nuclear generation.\nCapacity data is not available since the City and LPC do not have access to data on all renewable energy generated in-boundary.\nGeneration data is estimated based on total consumption and generation mix provided by City's LPC for CY2022.\n
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,36.5,,50418.748,,2024,no comments
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0,Not Occurring (NO),0,Not Occurring (NO),2024,no comments
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.07,,110.448,,2024,no comments
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0,Not Occurring (NO),0,Not Occurring (NO),2024,de minimus
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0,Not Occurring (NO),0,Not Occurring (NO),2024,no comments
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0,Not Occurring (NO),0,Not Occurring (NO),2024,no comments
2025 Disclosure Cycle,779465,CDP,54066,"City of Fort Collins, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0,Not Occurring (NO),0,Not Occurring (NO),2024,assumed to be de minimus
2025 Disclosure Cycle,779465,CDP,54075,"City of Lakewood, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,30.9,,34545,,2024,Data provided by utility provider Xcel Energy. 
2025 Disclosure Cycle,779465,CDP,54075,"City of Lakewood, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0.0,Not Occurring (NO),0.0,Not Occurring (NO),2024,Solar thermal capacity/generation is insignificant.
2025 Disclosure Cycle,779465,CDP,54075,"City of Lakewood, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.0,Not Occurring (NO),0.0,Not Occurring (NO),2024,Hydropower capacity and generation is not occurring within jurisdiction boundary.
2025 Disclosure Cycle,779465,CDP,54075,"City of Lakewood, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0.0,Not Occurring (NO),0.0,Not Occurring (NO),2024,Wind capacity and generation is insignificant within jurisdiction boundary.
2025 Disclosure Cycle,779465,CDP,54075,"City of Lakewood, CO",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0.0,Not Occurring (NO),0.0,Not Occurring (NO),2024,Bioenergy capacity and generation is not occurring within jurisdiction boundary.
