disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Source of jurisdiction's water supply,col2_Are you able to report volumetric data for this source?,col3_Annual volume of water withdrawn per source (in megalitres) ,col4_Projected level of change over next 5-10 years,col5_Comment
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,11602.0,About the same volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,144950.0,Higher volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,Ground water (non-renewable),Yes,0.0,About the same volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",5,Row 5,Desalinated seawater,Yes,0.0,About the same volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Desalinated seawater,Yes,4767780.24,Higher volume projected to be withdrawn,An increase in consumption was noted due to increase in population
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Ground water (renewable),Yes,1755,Less volume projected to be withdrawn,There is a reduction in groundwater use as a result of groundwater demand reduction efforts. 
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,City,Europe,Sweden,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,25703,About the same volume projected to be withdrawn,"The reported volume is the delivered volume to Malmö municipality during last year based on measurements at Sydvattens transmission points to the local distribution network managed by VA SYD. \n\nMost of the water supplied to Malmö by Sydvatten comes from the water treatment plant Vombverket where water is withdrawn from Lake Vombsjön and infiltrated in infiltration dams to form ground water. A smaller share of the supplied volume comes from the water treatment plant Ringsjöverket which uses lake surface water from Lake Bolmen. The volumes Sydvatten withdraw from the lakes do not only supply Malmö municipality, therefore the supplied volume to VA SYD/Malmö is reported.\n"
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,City,Europe,Sweden,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,3500,About the same volume projected to be withdrawn,The reported volume is an estimation of the annual production last year at Bulltofta water treatment plant managed by VA SYD. The volume is calculated using data collected by Sydvatten and VA SYD. Note that the actual withdrawn volume from the ground water source is likely a higher number.
2025 Disclosure Cycle,779465,CDP,43970,Alcaldía Distrital de Barranquilla,City,Latin America,Colombia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,284903.5,Higher volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,44076,Bursa Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,69041.79,Do not know,
2025 Disclosure Cycle,779465,CDP,44076,Bursa Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,193708.01,Do not know,
2025 Disclosure Cycle,779465,CDP,44080,City of Kitakyushu,City,Japan,Japan,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,34868,About the same volume projected to be withdrawn,"（34,868のうち伏流水932）（R6年度）"
2025 Disclosure Cycle,779465,CDP,44080,City of Kitakyushu,City,Japan,Japan,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Other: 貯水池,Yes,71124,About the same volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,229181,Less volume projected to be withdrawn,"1) The total water withdrawal for 2022 was 232,204 megaliters, and for 2023 it was 229,181 megaliters.\n\n2) Water consumption in Daegu Metropolitan City is expected to continue decreasing due to the following factors: \n- (1) One of the main policies of Daegu is water reuse. \n- (2) By managing water demand and promoting water recycling, water consumption is gradually declining. \n- (3) Additionally, the decrease in Daegu's population and the increase in water rates are contributing factors to the reduction in water consumption."
2025 Disclosure Cycle,779465,CDP,44181,Gwangju Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,86875,Less volume projected to be withdrawn,기후변화로 인한 가뭄의 심화로 매년 취수량이 줄어들 것으로 예상됨
2025 Disclosure Cycle,779465,CDP,44184,Ulsan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,131531,Do not know,기후변화에 따라 강수량 가감폭 예측 불가
2025 Disclosure Cycle,779465,CDP,44185,Suwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,122597,About the same volume projected to be withdrawn,수원시 2023년 급수사용량(㎥)을 백만리터로 변환 후 입력함\n[자료 링크]\nhttps://stat.kosis.kr/statHtml_host/statHtml.do?orgId=611&tblId=DT_GC00031&conn_path=I2&dbUser=NSI_IN_611
2025 Disclosure Cycle,779465,CDP,44187,Goyang City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,123370,Less volume projected to be withdrawn,"Goyang City is a large city with a population of 1.08 million, and with the steady increase in tap water consumption, the city is focusing on implementing water supply policies to ensure the continuous provision of clean and safe water. As of 2025, Goyang City supplies an average of 338,000 tons of domestic water per day. Water drawn from Lake Paldang is purified at the Ilsan, Goyang, and Deoksu purification plants, then transported through 2,071 km of water pipelines to 18 reservoirs before being supplied to households.\n\nIn preparation for the influx of population and increased water demand resulting from the Wondang redevelopment project, Goyang City is expanding the Jukyo Reservoir, located within Masang Park in Jukyo-dong, Deogyang-gu. According to the Basic Waterworks Maintenance Plan, the expansion project will add 4,400㎥ to the existing reservoir capacity of 2,800㎥, and construction will commence this June.\n\nWhen the expansion is completed in 2027, the total reservoir capacity will increase to 7,200㎥, enabling a more stable supply of tap water to nearby residents\n\nhttps://www.goyang.go.kr/news/user/bbs/BD_selectBbs.do?q_bbsCode=1090&q_estnColumn1=Y&q_bbscttSn=20250407162416278"
2025 Disclosure Cycle,779465,CDP,44188,Yongin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,
2025 Disclosure Cycle,779465,CDP,44191,Ansan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Jurisdiction does not have this data,,,,-
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (non-renewable),No,,,No related data
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),No,,,No related data
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,No related data
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,551880,Higher volume projected to be withdrawn,"Total 5,84,401 megalitres water will be withdrawn by 2030. "
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (non-renewable),Yes,61320,Higher volume projected to be withdrawn,"Total 64,933 megalitres water will be withdrawn by 2030 from ground water resources. "
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,20468,About the same volume projected to be withdrawn,"Existen varios puntos de captación de aguas superficiales, siendo la más importante la de los embalses del río Zadorra."
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,61401325,About the same volume projected to be withdrawn,"Suministro a ETAP Casablanca: \n- 56.035.680 m3 (56.035,680 Ml; 91,26% de 61.401.325) captado de Yesa\n- 5.004.379 m3 (5.004,379 Ml; 8,15% de 61.401.325) captado de Canal \n- 361.267 m3 (361,267 Ml; 0,59 % de 61.401.325) captado de Ebro."
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,19656,About the same volume projected to be withdrawn,Total captado de ACUAES-YESA para Villarrapa
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,22127.345,About the same volume projected to be withdrawn,"The drinking water distributed in Porto by the municipal utility company Águas e Energia do Porto is provided by the multi-municipal company Águas do Douro e Paiva. The natural water is abstracted in the Douro River and Paiva River, and it's treated in Lever Drinking Water Treatment Plant (DWTP). Águas e Energia do Porto has been increasing its efficiency and environmental sustainability by significantly reducing Non-Revenue Water and water losses in the network. Thus, it has been possible to reduce the volume of drinking water purchased from our supplier trough environmental savings. However, the company is at a level in which public water network consumption has stabilised and neither major increase or reductions are expected in the coming 5 years. "
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,91627,About the same volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,16039.17,About the same volume projected to be withdrawn,"Ground water comes from a well field in the Missouri River aquifer and accounts for the remaining 10% of raw water for our city. Per our Water Department, the projected level of change over the next 5 to 10 years would be “about the same” considering our population growth is minimal (less than 1% per year) compared to other cities. The change compared to last year's reporting is due to an improved data source. This data is for the water department system, which covers some areas outside KCMO city limits."
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,142400.38,About the same volume projected to be withdrawn,"Surface water comes from the Missouri River and accounts for approximately 89% of the raw water. Per our Water Department, the projected level of change over the next 5 to 10 years would be “about the same” considering our population growth is minimal (less than 1% per year) compared to other cities. The change compared to last year's reporting is due to an improved data source. This data is for the water department system, which covers some areas outside KCMO city limits."
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,195382,Higher volume projected to be withdrawn,For data year 2024
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,162671,Higher volume projected to be withdrawn,"Data reported for annual volume is information for calendar year 2023. Metro Water Services withdrew 42,973,180,000 gallons of water in 2024. This is equivalent to 162671 megalitres per year. Projected flow demand for 2045 is 160 MGD (an additional 10% necessary for treatment)"
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Jurisdiction does not have this data,,,,Data available is the one provided below
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Other: 80% of our potable water is sourced from Rand Water which a water board established to supply bulk water to municipalities, The balance of the water is supplied through own sources (springs and treatment of surface water.",Yes,49825291.0,Higher volume projected to be withdrawn,"This calculation represents the number of litres that are treated to a potable standard at our four water treatment plants (Rietvlei, Roodeplaat, Temba, Bronkhorstspruit)"
2025 Disclosure Cycle,779465,CDP,49367,Freetown City,City,UKWW,Sierra Leone,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,3976.38,Much less volume projected to be withdrawn,"The breakdown of the total water consumption of 3,976.38 megaliters is as follows:\nResidential houses: 3,932.16 megaliters\nPrivate yards: 16.32 megaliters\nPublic taps: 21.00 megaliters\nOther sources: 6.90 megaliters\n\nhttps://drive.google.com/file/d/1VeRgbk7NuI6rwpyS9_6sRIIYF38TrQn9/view?usp=drive_linkhttps://docs.google.com/document/d/1MeUJR-lHyyor5zJrfU1XMkrI_ye5WWCM/edit?usp=drive_link&ouid=106501364108744895643&rtpof=true&sd=true"
2025 Disclosure Cycle,779465,CDP,49385,Bandung City,City,South East Asia & Oceania,Indonesia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,Sumber dari Perumda Tirtawening
2025 Disclosure Cycle,779465,CDP,49389,Kyoto City,City,Japan,Japan,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,185894,Less volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,23000,Higher volume projected to be withdrawn,"The water in Turku is artificial groundwater produced by Turun Seudun Vesi. The artificial groundwater plant's raw water is taken from the clear water river, Kokemäenjoki, which is suitable for producing artificial groundwater in terms of its physical, chemical and microbiological properties. The quality of the river water is monitored with continuous meters.\n\nTurun Seudun Vesi delivers approximately 23 million cubic meters of water to Turku and surrounding regions (Kaarina, Lieto, Masku, Naantali, Nousiainen, Paimio, Parainen and Raisio). https://turunseudunvesi.fi/"
2025 Disclosure Cycle,779465,CDP,50355,Ayuntamiento de Tijuana,City,Latin America,Mexico,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Jurisdiction does not have this data,,,,
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Other: Treated wastewater,Yes,72,About the same volume projected to be withdrawn,"Given the integration of water conservation projects into Hermosillo's Urban Development Plan, along with the construction of additional infrastructure to improve water supply (including the wastewater treatment plant), first-use water extraction is not expected to fall below 50% for at least the next five years. Therefore, assuming other factors remain constant, wastewater treatment volumes are expected to stay roughly the same."
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,82,Less volume projected to be withdrawn,The estimated value is lower due to a high vulnerability to drought conditions.
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Other: Water transferred by aqueduct.,Yes,75000,About the same volume projected to be withdrawn,This volume of water transferred corresponds to the aqueduct's maximum capacity.
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,43,Less volume projected to be withdrawn,The estimated value is lower due to significant vulnerability to drought.
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,300,Do not know,"El principal suministro y fuente de agua desde donde se extrae el recurso que abastece a la ciudad proviene del río Paraná, a través de la Planta Potabilizadora ubicada en el barrio Arroyito. Asimismo, se complementa este servicio con la extracción de agua subterránea de perforaciones en el Parque Regional Sur, lo que a su vez, permite un mejor aprovechamiento del recurso. Los datos de consumo se estiman de manera aproximada, basados en el consumo per cápita. Un pequeño porcentaje del territorio no cuenta con suministro de agua por red y utiliza agua de napas subterráneas. Aunque no se dispone de cifras precisas sobre los volúmenes extraídos, se considera que son reducidos. La empresa pública y sociedad anónima Aguas Santafesinas (ASSA) está realizando y planificando obras para aumentar el agua potable disponible a través de mejoras en la infraestructura, como el caso en el Acueducto Gran Rosario, incorporación de nuevas perforaciones, entre otros.\nhttps://www.aguassantafesinas.com.ar/portal/quienes-somos/rosario/\n"
2025 Disclosure Cycle,779465,CDP,50383,Prefeitura de Sorocaba,City,Latin America,Brazil,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,,,
2025 Disclosure Cycle,779465,CDP,50383,Prefeitura de Sorocaba,City,Latin America,Brazil,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,,,
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,"A fonte de abastecimento de água do município é prioriariamente do Rio Parnaíba, através da captação e tratamento realizado em duas Estações de Tratamento (ETA Sul e ETA Norte). Na zona rural ainda existe uso de poços por comunidades."
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),No,,,"A fonte de abastecimento de água do município é prioriariamente do Rio Parnaíba, através da captação e tratamento realizado em duas Estações de Tratamento (ETA Sul e ETA Norte). Na zona rural ainda existe uso de poços por comunidades."
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,62594,About the same volume projected to be withdrawn,Data from the water utility.
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (non-renewable),No,,,Data from the water utility.
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Ground water (renewable),Yes,48339,About the same volume projected to be withdrawn,"Data from the water utility. The aquifer beneath Albuquerque has seen increases in depth to water over the last 15 years, with up to 40 feet in some areas. "
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,Desalinated seawater,No,,,We do not have this resource.
2025 Disclosure Cycle,779465,CDP,50550,"City of Buffalo, NY",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,91606.9652,About the same volume projected to be withdrawn,https://buffalowater.org/wp-content/uploads/2025/06/2024-2025-Water-Quality-Report.pdf\n\nConverted through Google
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (non-renewable),Yes,298.127,Do not know,Carlisle Groundwater Aquifer
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (non-renewable),Yes,160.348,Do not know,Freelton Groundwater Aquifer
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Ground water (non-renewable),Yes,11.053,Do not know,Greensville Groundwater Aquifer
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,Ground water (non-renewable),Yes,32.805,Do not know,Lynden Groundwater Aquifer
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",5,Row 5,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,75490.0,Do not know,Pending completion of Master Plan. From Lake Ontario
2025 Disclosure Cycle,779465,CDP,50579,"City of Winnipeg, MB",City,North America,Canada,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,60225,Higher volume projected to be withdrawn,"Water comes from Shoal Lake, which is part of the Lake of the Woods, directly impacting Shoal Lake First Nations 39 and 40. Population is expected to increase modestly over the next 5-10 years, with roughly proportional increase in water consumption."
2025 Disclosure Cycle,779465,CDP,50664,Municipality of Almada,City,Europe,Portugal,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,18000,Higher volume projected to be withdrawn,Projected +1%/year
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,City,Europe,Portugal,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,11802711,Higher volume projected to be withdrawn,"INDAQUA Matosinhos is supplied by Águas do Douro e Paiva, whose water is sourced from the Douro River."
2025 Disclosure Cycle,779465,CDP,50678,Municipality of Évora,City,Europe,Portugal,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,"A albufeira do Monte Novo, situada na freguesia de Nossa Senhora de Machede, é a principal origem de água para abastecimento do concelho, a qual é reforçada com água proveniente da albufeira de Alqueva sempre que necessário. Existem ainda 5 pontos de origem subterrânea: 2 na Graça do Divor, 2 na Torre de Coelheiros e 1 em Na Srª da Tourega (S. Brás do Regedouro). Existe ainda 1 ponto de abastecimento à Estacão de Alcáçovas, através de conduta adutora com origem na albufeira de Alvito (concelho de Viana do Alentejo). No ano de 2023 o município contabilizou o consumo total de 4691691 m3 de água destinada a abastecimento."
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,2765109,Do not know,water collected in the municipality
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,17505580,Do not know,EPAL - Empresa Portuguesa das Águas Livres (Portuguese Water Company)
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,City,Europe,Portugal,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,60995,Do not know,SMAS Sintra (Sintra Municipal Water Company)
