disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Source of jurisdiction's water supply,col2_Are you able to report volumetric data for this source?,col3_Annual volume of water withdrawn per source (in megalitres) ,col4_Projected level of change over next 5-10 years,col5_Comment
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,262026,About the same volume projected to be withdrawn,https://www.usbr.gov/lc/region/g4000/4200Rpts/DecreeRpt/2024/2024.pdf
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,88533,Less volume projected to be withdrawn,"1. water.nv.gov\n2. water rights\n3. Groundwater Basin Summaries (AKA \'underground active\')\n4. Basin: search for 212: Las Vegas Valley\n5. Ensure popups aren't blocked, and hydrographic area summary will pop up\n6. Scroll to bottom and add in the Underground total and the Other Ground Water Total\n7. (87,250.53 + 1,282.56)= 88,533.09\n"
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,60800,Higher volume projected to be withdrawn,Supply in 5 year average from 2015-2019. Sales data from 2018-2019
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,492000.0,Less volume projected to be withdrawn,Supply in 5 year average from 2015-2019. Sales data from 2018-2019
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,224896.8,About the same volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,"There are risks to the future ecological status of the water bodies (as defined by the Water Framework Directive) in the Nottinghamshire region through abstraction from water sources and operations that have a detrimental impact on the environment, and low flows. This could impact sources from which Nottingham relies on for abstraction. It is expected population and housing numbers will continue to grow across the region and we need to be able to meet that growth in demand for water services.\n\nThe combined impact of increasing demand and the impacts of climate change pose a longer term risk to the supply/demand deficit for the Nottinghamshire water resource zone."
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (non-renewable),No,,,"Although the Severn Trent Water Resources Management Plan does not split Nottingham out from Nottinghamshire, there is the potential that waterbodies within Nottingham, or those from which water is abstracted from the wider region used by Nottingham citizens, are at risk of deterioration due to future increases in abstraction (up to 2027) or reduced river flows due to climate change impacts.\n\nBroadly, the challenges around unsustainable abstraction mean that there is a need to reduce pressure on some of the groundwater bodies from which our borehole sources abstract. In the future, to prevent deterioration there can be no sustained increase in the amount we abstract from a number of our region's groundwater bodies."
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Ground water (renewable),No,,,"Although the Severn Trent Water Resources Management Plan does not split Nottingham out from Nottinghamshire, there is the potential that waterbodies within Nottingham, or those from which water is abstracted from the wider region used by Nottingham citizens, are at risk of deterioration due to future increases in abstraction (up to 2027) or reduced river flows due to climate change impacts.\n\nBroadly, the challenges around unsustainable abstraction mean that there is a need to reduce pressure on some of the groundwater bodies from which our borehole sources abstract. In the future, to prevent deterioration there can be no sustained increase in the amount we abstract from a number of our region's groundwater bodies."
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,81397,About the same volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,8000,,
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,141383.399,About the same volume projected to be withdrawn,Data from Portland Water Bureau 2023
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,8182.962,About the same volume projected to be withdrawn,Data from Portland Water Bureau 2023
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,111596.55,Less volume projected to be withdrawn,"2025 update: SPU produced 45.3 billion gallons of treated drinking water in 2024. Of that, 2.55 billion gallons were lost to leakage. Seattle's water comes from two large, protected watersheds in the Cascade Mountains: 65 percent from the Cedar River Watershed and 35 percent from the South Fork Tolt River Watershed. Saving Water Partnership set a 10-year (2019-2028) conservation goal to keep the total average annual retail water use of its members below 110 million gallons per day (mgd) through 2028, despite forecasted population growth, by reducing per capita water use. In 2024, our customers met this goal, using 94.5 mgd. \nhttps://www.seattle.gov/documents/Departments/SPU/Services/Water/Reports/Water%20Quality/2024_SPU-Drinking-Water-Quality-Report.pdf\n\n2024 Update: 45.8 billion annual gallons in 2023. 28% volume from South Fork Tolt River, 72% from Cedar River. SPU produced 45.8 billion gallons of treated drinking water in 2023. In 2023 1.6 million \nSeattle residents used about 96.3 million gallons per day, beating SPU's conservation goal of 110 million gallons per day through 2028. https://www.seattle.gov/documents/Departments/SPU/Services/Water/Reports/Water%20Quality/2023WaterQualityAnnualReport.pdf"
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,60090.45,Less volume projected to be withdrawn,"2025 update: SPU produced 45.3 billion gallons of treated drinking water in 2024. Of that, 2.55 billion gallons were lost to leakage. Seattle's water comes from two large, protected watersheds in the Cascade Mountains: 65 percent from the Cedar River Watershed and 35 percent from the South Fork Tolt River Watershed. Saving Water Partnership set a 10-year (2019-2028) conservation goal to keep the total average annual retail water use of its members below 110 million gallons per day (mgd) through 2028, despite forecasted population growth, by reducing per capita water use. In 2024, our customers met this goal, using 94.5 mgd. \nhttps://www.seattle.gov/documents/Departments/SPU/Services/Water/Reports/Water%20Quality/2024_SPU-Drinking-Water-Quality-Report.pdf"
